date,total load,irradiation
01/01 00:00:00,476.83398400566773,0.0
01/01 01:00:00,500.2790720866167,0.0
01/01 02:00:00,499.4677989391139,0.0
01/01 03:00:00,504.97802678284694,0.0
01/01 04:00:00,505.59634565313905,0.0
01/01 05:00:00,520.2528356437658,0.0
01/01 06:00:00,584.4202987266872,22.0
01/01 07:00:00,592.6252841648261,193.29
01/01 08:00:00,598.8233885710522,279.24
01/01 09:00:00,608.7964617453401,500.8
01/01 10:00:00,605.0544740079023,674.51
01/01 11:00:00,613.3294941253552,724.02
01/01 12:00:00,610.470460656731,681.8
01/01 13:00:00,612.0034244497832,581.44
01/01 14:00:00,599.6541217787262,431.58
01/01 15:00:00,611.5613455191937,214.9
01/01 16:00:00,620.3286417929396,77.67
01/01 17:00:00,623.396276316426,0.0
01/01 18:00:00,571.08161217432,0.0
01/01 19:00:00,566.9227578663308,0.0
01/01 20:00:00,561.652231009373,0.0
01/01 21:00:00,551.7385241739184,0.0
01/01 22:00:00,530.4890836341814,0.0
01/01 23:00:00,523.4815672095549,0.0
01/02 00:00:00,574.7569595613277,0.0
01/02 01:00:00,570.8005832325113,0.0
01/02 02:00:00,582.2092272597528,0.0
01/02 03:00:00,575.1699779253768,0.0
01/02 04:00:00,578.2650453941424,0.0
01/02 05:00:00,598.0616615511136,0.0
01/02 06:00:00,691.649241994995,71.0
01/02 07:00:00,793.924267651748,251.89
01/02 08:00:00,1547.2744234834058,414.86
01/02 09:00:00,1520.5771535588867,641.42
01/02 10:00:00,1518.066784901585,875.24
01/02 11:00:00,1527.7730092935958,993.82
01/02 12:00:00,1456.8763376897105,1061.36
01/02 13:00:00,1530.1027909260042,1061.12
01/02 14:00:00,1504.5486381945216,994.67
01/02 15:00:00,1531.001372608428,886.71
01/02 16:00:00,1518.0704112715284,722.72
01/02 17:00:00,1018.6383088407288,507.29
01/02 18:00:00,807.5832709656843,315.22
01/02 19:00:00,814.1856215521902,139.51
01/02 20:00:00,778.6411926235363,0.0
01/02 21:00:00,770.5763087352725,0.0
01/02 22:00:00,703.4374207190081,0.0
01/02 23:00:00,652.930097828443,0.0
01/03 00:00:00,572.9667521969427,0.0
01/03 01:00:00,566.1122430972528,0.0
01/03 02:00:00,577.7437157430047,0.0
01/03 03:00:00,566.4611334460483,0.0
01/03 04:00:00,574.7103880168725,0.0
01/03 05:00:00,596.0901869363288,0.0
