Latitude (decimal degrees):	45.062
Longitude (decimal degrees):	7.663
Elevation (m):	252
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0030,0.0,0.0,0.0,0.55,0.0
20050101:0130,0.0,0.0,-0.17,0.55,0.0
20050101:0230,0.0,0.0,-0.23,0.55,0.0
20050101:0330,0.0,0.0,-0.25,0.55,0.0
20050101:0430,0.0,0.0,-0.41,0.69,0.0
20050101:0530,0.0,0.0,-0.66,0.76,0.0
20050101:0630,0.0,0.0,-0.86,0.76,0.0
20050101:0730,13.3,2.38,-1.15,0.62,0.0
20050101:0830,141.11,10.22,-0.69,0.62,0.0
20050101:0930,249.66,16.4,1.4,0.48,0.0
20050101:1030,336.86,20.44,4.12,0.21,0.0
20050101:1130,359.26,21.93,5.72,0.41,0.0
20050101:1230,337.61,20.69,6.51,0.69,0.0
20050101:1330,266.96,16.87,6.89,0.76,0.0
20050101:1430,153.46,10.87,6.7,0.69,0.0
20050101:1530,16.2,3.16,5.91,0.55,0.0
20050101:1630,0.0,0.0,4.83,0.69,0.0
20050101:1730,0.0,0.0,4.09,1.03,0.0
20050101:1830,0.0,0.0,3.31,1.1,0.0
20050101:1930,0.0,0.0,1.66,1.03,0.0
20050101:2030,0.0,0.0,1.1,0.83,0.0
20050101:2130,0.0,0.0,0.91,0.76,0.0
20050101:2230,0.0,0.0,0.82,0.69,0.0
20050101:2330,0.0,0.0,0.77,0.76,0.0
20050102:0030,0.0,0.0,0.82,0.83,0.0
20050102:0130,0.0,0.0,1.25,0.83,0.0
20050102:0230,0.0,0.0,1.57,0.97,0.0
20050102:0330,0.0,0.0,1.24,1.1,0.0
20050102:0430,0.0,0.0,1.08,1.1,0.0
20050102:0530,0.0,0.0,1.42,0.9,0.0
20050102:0630,0.0,0.0,1.22,0.83,0.0
20050102:0730,13.1,2.39,0.73,0.76,0.0
20050102:0830,132.96,10.24,1.03,0.69,0.0
20050102:0930,241.11,16.44,2.6,0.69,0.0
20050102:1030,329.01,20.5,5.06,0.34,0.0
20050102:1130,330.21,22.01,6.95,0.34,0.0
20050102:1230,313.06,20.79,7.97,0.48,0.0
20050102:1330,261.96,16.99,8.53,0.62,0.0
20050102:1430,146.36,10.99,8.83,0.69,0.0
20050102:1530,16.55,3.29,7.59,1.03,0.0
20050102:1630,0.0,0.0,6.52,1.03,0.0
20050102:1730,0.0,0.0,5.66,1.03,0.0
20050102:1830,0.0,0.0,4.24,1.03,0.0
20050102:1930,0.0,0.0,4.31,1.17,0.0
20050102:2030,0.0,0.0,2.71,1.31,0.0
20050102:2130,0.0,0.0,1.35,1.38,0.0
20050102:2230,0.0,0.0,0.56,1.38,0.0
20050102:2330,0.0,0.0,0.34,1.31,0.0
20050103:0030,0.0,0.0,0.82,1.17,0.0
20050103:0130,0.0,0.0,0.39,0.97,0.0
20050103:0230,0.0,0.0,-0.18,0.97,0.0
20050103:0330,0.0,0.0,-0.53,1.1,0.0
20050103:0430,0.0,0.0,-0.65,1.1,0.0
20050103:0530,0.0,0.0,-0.52,1.17,0.0
20050103:0630,0.0,0.0,-1.5,1.59,0.0
20050103:0730,14.05,2.4,-0.68,1.66,0.0
20050103:0830,136.41,10.27,-1.44,1.79,0.0
20050103:0930,261.81,16.49,1.27,1.38,0.0
20050103:1030,344.51,20.57,3.94,0.97,0.0
20050103:1130,374.16,22.1,5.83,0.48,0.0
20050103:1230,349.21,20.9,6.98,0.34,0.0
20050103:1330,274.31,17.11,7.49,0.55,0.0
20050103:1430,161.01,11.13,7.43,0.55,0.0
20050103:1530,17.7,3.43,6.66,0.28,0.0
20050103:1630,0.0,0.0,5.81,0.28,0.0
20050103:1730,0.0,0.0,4.98,1.03,0.0
20050103:1830,0.0,0.0,4.45,1.31,0.0
20050103:1930,0.0,0.0,4.65,1.38,0.0
20050103:2030,0.0,0.0,3.41,1.24,0.0
20050103:2130,0.0,0.0,2.67,1.24,0.0
20050103:2230,0.0,0.0,2.17,1.17,0.0
20050103:2330,0.0,0.0,1.73,1.03,0.0
20050104:0030,0.0,0.0,1.32,0.9,0.0
20050104:0130,0.0,0.0,1.23,0.9,0.0
20050104:0230,0.0,0.0,1.14,0.97,0.0
20050104:0330,0.0,0.0,1.13,0.83,0.0
20050104:0430,0.0,0.0,1.01,0.69,0.0
20050104:0530,0.0,0.0,0.67,0.76,0.0
20050104:0630,0.0,0.0,0.25,0.69,0.0
20050104:0730,13.7,2.41,0.1,0.48,0.0
20050104:0830,145.36,10.31,0.33,0.55,0.0
20050104:0930,261.46,16.55,2.35,0.48,0.0
20050104:1030,340.86,20.65,5.4,0.28,0.0
20050104:1130,370.91,22.2,7.5,0.28,0.0
20050104:1230,347.86,21.02,8.75,0.34,0.0
20050104:1330,274.31,17.24,9.39,0.62,0.0
20050104:1430,161.76,11.26,9.38,0.69,0.0
20050104:1530,36.24,3.57,8.65,0.83,0.0
20050104:1630,0.0,0.0,7.59,1.1,0.0
20050104:1730,0.0,0.0,7.07,1.03,0.0
20050104:1830,0.0,0.0,5.57,0.83,0.0
20050104:1930,0.0,0.0,3.51,0.34,0.0
