Bus ID, Position, Size, Type, District, Voltage, Active Power, Reactive Power
0, (0;0), , HV_sub, , 70000, , 
1, (100;0), , HV_sub, , 70000, , 
2, (0;40), , MV_sub, A, 15000, , 
3, (50;90), , MV_sub, A, 15000, , 
4, (80;90), , MV_sub, B, 15000, , 
5, (100;110), , MV_sub, B, 15000, , 
8, (11;48), , LV_load, A, 400, 1.0, 0.2
9, (25;38), , LV_load, A, 400, 1.5, 0.38
10, (51;42), , LV_load, A, 400, 2.0, 0.57
11, (0;64), , LV_load, A, 400, 2.5, 0.82
16, (129;138), , LV_load, B, 400, 3.0, -0.43
17, (105;88), , LV_load, B, 400, 3.5, 0.81
18, (130;92), , LV_load, B, 400, 1.2, 0.24
19, (81;115), , LV_load, B, 400, 1.8, 0.52
20, (103;114), , LV_load, B, 400, 2.2, -0.51
21, (10;70), , MV_load, A, 15000, 10, 4.84
22, (20;80), , MV_load, A, 15000, 11, 5.83
23, (40;80), , MV_load, A, 15000, 12, 6.54
24, (90;120), , MV_load, B, 15000, 10, 3.92
25, (120;120), , MV_load, B, 15000, 12, -5.07
26, (120;100), , MV_load, B, 15000, 13, 6.56
27, (60;120), , HV_sub, , 70000, , 





