date,total load,irradiation
01/01 00:00:00,307.3951597288769,0.0
01/01 01:00:00,310.8169862877205,0.0
01/01 02:00:00,296.3090884427221,0.0
01/01 03:00:00,297.3182960465726,0.0
01/01 04:00:00,297.3596557634489,0.0
01/01 05:00:00,316.1624867902403,0.0
01/01 06:00:00,415.94184957183427,22.0
01/01 07:00:00,474.4567544393068,193.29
01/01 08:00:00,501.26318264901914,279.24
01/01 09:00:00,471.40576325758843,500.8
01/01 10:00:00,422.4023815043226,674.51
01/01 11:00:00,422.49270000342455,724.02
01/01 12:00:00,424.2658876893842,681.8
01/01 13:00:00,414.7343261666801,581.44
01/01 14:00:00,410.573839553956,431.58
01/01 15:00:00,419.68358820942143,214.9
01/01 16:00:00,457.72084790824624,77.67
01/01 17:00:00,510.7737626042145,0.0
01/01 18:00:00,518.2240744508254,0.0
01/01 19:00:00,515.7986137907316,0.0
01/01 20:00:00,526.9140648211783,0.0
01/01 21:00:00,500.38197356059726,0.0
01/01 22:00:00,432.44418604251257,0.0
01/01 23:00:00,370.4847357207763,0.0
01/02 00:00:00,352.0817339365463,0.0
01/02 01:00:00,341.1878876976012,0.0
01/02 02:00:00,336.55168266087134,0.0
01/02 03:00:00,332.7507727408534,0.0
01/02 04:00:00,332.86092156451804,0.0
01/02 05:00:00,362.2401875196021,0.0
01/02 06:00:00,497.52859688780813,71.0
01/02 07:00:00,626.3125042544905,251.89
01/02 08:00:00,1068.535262547842,414.86
01/02 09:00:00,1029.2594360764983,641.42
01/02 10:00:00,971.3368107324474,875.24
01/02 11:00:00,977.3712168781423,993.82
01/02 12:00:00,943.360843930927,1061.36
01/02 13:00:00,979.0383304562645,1061.12
01/02 14:00:00,959.3751320936796,994.67
01/02 15:00:00,973.4854350516265,886.71
01/02 16:00:00,1004.3651270841624,722.72
01/02 17:00:00,776.1364531324052,507.29
01/02 18:00:00,660.1006213603525,315.22
01/02 19:00:00,666.5264149366367,139.51
01/02 20:00:00,674.7249263108121,0.0
01/02 21:00:00,633.0237737918045,0.0
01/02 22:00:00,531.4585596330933,0.0
01/02 23:00:00,443.2743172082537,0.0
01/03 00:00:00,349.8589354503608,0.0
01/03 01:00:00,337.70743184062565,0.0
01/03 02:00:00,334.1887932445579,0.0
01/03 03:00:00,328.7921917984254,0.0
01/03 04:00:00,330.44338840226123,0.0
01/03 05:00:00,359.96145931045095,0.0
01/03 06:00:00,507.8601915405976,38.0
01/03 07:00:00,638.053535720247,205.82
01/03 08:00:00,1055.4753311892046,422.59
01/03 09:00:00,1032.3473048983783,640.42
