date,total load,irradiation
01/01 00:00:00,80.24108967092491,1000.0
01/01 01:00:00,82.04503945504759,0.0
01/01 02:00:00,82.47492120270981,0.0
01/01 03:00:00,83.61797810618542,0.0
01/01 04:00:00,75.02285332063943,0.0
01/01 05:00:00,77.25854660128557,0.0
01/01 06:00:00,82.6671041568651,0.0
01/01 07:00:00,83.11058719167953,13.3
01/01 08:00:00,78.28350468388112,141.11
01/01 09:00:00,79.52358784804149,249.66
01/01 10:00:00,78.0174157308619,336.86
01/01 11:00:00,81.3846322333231,359.26
01/01 12:00:00,81.1700326373267,337.61
01/01 13:00:00,81.12689755780251,266.96
01/01 14:00:00,81.36331206537912,153.46
01/01 15:00:00,84.20035367361535,16.2
01/01 16:00:00,83.68119573423994,0.0
01/01 17:00:00,78.14562537414974,0.0
01/01 18:00:00,79.09372630136359,0.0
01/01 19:00:00,84.41957393359306,0.0
01/01 20:00:00,81.73300842430095,0.0
01/01 21:00:00,79.15019809893973,0.0
01/01 22:00:00,82.46653967398908,0.0
01/01 23:00:00,86.19623935064595,0.0
01/02 00:00:00,80.14081879696676,0.0
01/02 01:00:00,84.22976344814323,0.0
01/02 02:00:00,75.35053128657205,0.0
01/02 03:00:00,79.42129450159476,0.0
01/02 04:00:00,80.50168236587791,0.0
01/02 05:00:00,77.38106213871245,0.0
01/02 06:00:00,78.98911913093043,0.0
01/02 07:00:00,76.72040811299196,13.1
01/02 08:00:00,80.96068036265233,132.96
01/02 09:00:00,76.62541561310857,241.11
01/02 10:00:00,81.83206473043708,329.01
01/02 11:00:00,76.75067983694908,330.21
01/02 12:00:00,77.68002885903036,313.06
01/02 13:00:00,77.30906953564282,261.96
01/02 14:00:00,85.16617497368452,146.36
01/02 15:00:00,84.15840825763951,16.55
01/02 16:00:00,78.01166781950046,0.0
01/02 17:00:00,77.83382829001027,0.0
01/02 18:00:00,78.91567997054632,0.0
01/02 19:00:00,81.83421138059876,0.0
01/02 20:00:00,78.62528543383505,0.0
01/02 21:00:00,81.51014221305556,0.0
01/02 22:00:00,76.85089742367767,0.0
01/02 23:00:00,78.05198099010468,0.0
01/03 00:00:00,81.56758651974926,0.0
01/03 01:00:00,82.80234571744259,0.0
01/03 02:00:00,77.94300997307388,0.0
01/03 03:00:00,76.90047157775894,0.0
01/03 04:00:00,84.13381986005494,0.0
01/03 05:00:00,78.1998659782833,0.0
01/03 06:00:00,78.849756885865,0.0
01/03 07:00:00,85.1082995368537,14.05
01/03 08:00:00,78.83945182018269,136.41
01/03 09:00:00,82.09567282019121,261.81
01/03 10:00:00,77.23178996768932,344.51
01/03 11:00:00,84.90489723312885,374.16
01/03 12:00:00,85.64125508829198,349.21
01/03 13:00:00,83.95167450324718,274.31
01/03 14:00:00,82.68659787426574,161.01
01/03 15:00:00,84.1813822401248,17.7
01/03 16:00:00,81.8422312014474,0.0
01/03 17:00:00,79.06343821310509,0.0
01/03 18:00:00,81.76124542399656,0.0
01/03 19:00:00,76.61344528763655,0.0
01/03 20:00:00,77.43427227590617,0.0
01/03 21:00:00,77.99063159455201,0.0
01/03 22:00:00,78.05679184836397,0.0
01/03 23:00:00,78.6925997630562,0.0
01/04 00:00:00,83.63858783775252,0.0
01/04 01:00:00,81.66306298091072,0.0
01/04 02:00:00,82.28510666467191,0.0
01/04 03:00:00,78.81503951221934,0.0
01/04 04:00:00,74.22526240441117,0.0
01/04 05:00:00,73.70284409304942,0.0
01/04 06:00:00,78.90941741352336,0.0
01/04 07:00:00,81.01443031526813,13.7
01/04 08:00:00,82.52003845790274,145.36
01/04 09:00:00,82.196095570606,261.46
01/04 10:00:00,82.15437530255244,340.86
01/04 11:00:00,76.34566425295415,370.91
01/04 12:00:00,80.72620583266101,347.86
01/04 13:00:00,77.29505706570782,274.31
01/04 14:00:00,81.21130795123004,161.76
01/04 15:00:00,80.4097642496342,36.24
01/04 16:00:00,82.34090145160832,0.0
01/04 17:00:00,73.25680430819911,0.0
01/04 18:00:00,82.90193038483127,0.0
01/04 19:00:00,78.80947227364786,0.0
01/04 20:00:00,76.44004859384883,0.0
01/04 21:00:00,80.51132548831477,0.0
01/04 22:00:00,75.65606108597103,0.0
01/04 23:00:00,80.86963744569368,0.0
01/05 00:00:00,74.10370283561346,0.0
01/05 01:00:00,75.23287588571631,0.0
01/05 02:00:00,79.98936529729036,0.0
01/05 03:00:00,83.66856578389203,0.0
01/05 04:00:00,82.47584448445247,0.0
01/05 05:00:00,84.22590329232281,0.0
01/05 06:00:00,78.2230576885816,0.0
01/05 07:00:00,78.93170818082916,15.65
01/05 08:00:00,78.84988194614257,124.26
01/05 09:00:00,79.33105946078214,226.11
01/05 10:00:00,82.47329221985981,294.91
01/05 11:00:00,77.11988074572139,329.96
01/05 12:00:00,82.87569506543504,317.06
01/05 13:00:00,82.67030155834324,245.91
01/05 14:00:00,81.12947986675113,123.76
01/05 15:00:00,82.55662265979079,31.71
01/05 16:00:00,78.29945851000485,0.0
01/05 17:00:00,81.21683117216298,0.0
01/05 18:00:00,81.64931031858616,0.0
01/05 19:00:00,78.96311830593812,0.0
01/05 20:00:00,81.5391159947341,0.0
01/05 21:00:00,74.69945912588331,0.0
01/05 22:00:00,73.57411106175458,0.0
01/05 23:00:00,83.41675304683594,0.0
01/06 00:00:00,78.43155658317269,0.0
01/06 01:00:00,80.50705481063723,0.0
01/06 02:00:00,82.45059157475794,0.0
01/06 03:00:00,81.22718796044386,0.0
01/06 04:00:00,86.28992242459428,0.0
01/06 05:00:00,78.41480319849538,0.0
01/06 06:00:00,78.8794231573941,0.0
01/06 07:00:00,83.8274961037843,12.75
01/06 08:00:00,74.34373741058252,115.76
01/06 09:00:00,76.14636163233988,222.91
01/06 10:00:00,84.07563807157959,299.91
01/06 11:00:00,79.45351330828122,358.71
01/06 12:00:00,78.43587255487655,346.41
01/06 13:00:00,75.98683954004731,276.61
01/06 14:00:00,77.95504988629293,164.61
01/06 15:00:00,81.48177061274959,38.76
01/06 16:00:00,78.51048034728437,0.0
01/06 17:00:00,79.13350653759369,0.0
01/06 18:00:00,83.77927543523374,0.0
01/06 19:00:00,78.60255629973682,0.0
01/06 20:00:00,85.29314282860025,0.0
01/06 21:00:00,84.71945267266253,0.0
01/06 22:00:00,79.39776108348785,0.0
01/06 23:00:00,82.09123253214578,0.0
01/07 00:00:00,79.38376516243353,0.0
01/07 01:00:00,81.47782732399243,0.0
01/07 02:00:00,82.38706739599037,0.0
