date,total load,irradiation
01/01 00:00:00,170.18426620178457,1000.0
01/01 01:00:00,172.53927187939954,0.0
01/01 02:00:00,174.73328737829408,0.0
01/01 03:00:00,173.07988834714934,0.0
01/01 04:00:00,165.14733885205612,0.0
01/01 05:00:00,172.165369317465,0.0
01/01 06:00:00,178.51772877434706,0.0
01/01 07:00:00,172.09581448279934,13.3
01/01 08:00:00,172.10525295943458,141.11
01/01 09:00:00,169.54609181548642,249.66
01/01 10:00:00,168.36734310446573,336.86
01/01 11:00:00,173.26930446982328,359.26
01/01 12:00:00,171.34675815987987,337.61
01/01 13:00:00,173.60170463865694,266.96
01/01 14:00:00,175.3925413825217,153.46
01/01 15:00:00,175.45455641722572,16.2
01/01 16:00:00,169.84582226502792,0.0
01/01 17:00:00,169.21333528463177,0.0
01/01 18:00:00,168.44246531635795,0.0
01/01 19:00:00,174.87532549937953,0.0
01/01 20:00:00,179.41275464778653,0.0
01/01 21:00:00,177.1385765943101,0.0
01/01 22:00:00,171.13026027378453,0.0
01/01 23:00:00,169.56714936605715,0.0
01/02 00:00:00,170.80727028547926,0.0
01/02 01:00:00,181.27262918686827,0.0
01/02 02:00:00,169.99507817640165,0.0
01/02 03:00:00,172.2224915789137,0.0
01/02 04:00:00,179.10042166916074,0.0
01/02 05:00:00,168.25131969525916,0.0
01/02 06:00:00,169.8363196350299,0.0
01/02 07:00:00,169.51671660838375,13.1
01/02 08:00:00,175.3186103466942,132.96
01/02 09:00:00,179.63537023228034,241.11
01/02 10:00:00,171.9118004526522,329.01
01/02 11:00:00,169.1637360771981,330.21
01/02 12:00:00,172.45028119538293,313.06
01/02 13:00:00,175.25330632480865,261.96
01/02 14:00:00,174.39525124224917,146.36
01/02 15:00:00,181.4949195182142,16.55
01/02 16:00:00,172.49297243608268,0.0
01/02 17:00:00,181.3915254085257,0.0
01/02 18:00:00,170.95528201277722,0.0
01/02 19:00:00,166.683068054284,0.0
01/02 20:00:00,167.39369189965586,0.0
01/02 21:00:00,177.47555176497318,0.0
01/02 22:00:00,167.95133645500758,0.0
01/02 23:00:00,168.28483596876967,0.0
01/03 00:00:00,173.78124564583524,0.0
01/03 01:00:00,171.52125745683136,0.0
01/03 02:00:00,170.209681374056,0.0
01/03 03:00:00,174.96877275652733,0.0
01/03 04:00:00,164.267518931773,0.0
01/03 05:00:00,163.68067669725403,0.0
01/03 06:00:00,171.97410633619114,0.0
01/03 07:00:00,167.83528040094092,14.05
01/03 08:00:00,162.21769392218823,136.41
01/03 09:00:00,171.2035598762597,261.81
01/03 10:00:00,166.38385683393923,344.51
01/03 11:00:00,171.797847130239,374.16
01/03 12:00:00,172.93145407407877,349.21
01/03 13:00:00,178.3820442151275,274.31
01/03 14:00:00,177.1589449211539,161.01
01/03 15:00:00,166.64523885427508,17.7
01/03 16:00:00,168.24163090067245,0.0
01/03 17:00:00,173.90743191871658,0.0
01/03 18:00:00,167.39513869659459,0.0
01/03 19:00:00,166.32773820658363,0.0
01/03 20:00:00,177.14690313380927,0.0
01/03 21:00:00,168.36632019722984,0.0
01/03 22:00:00,179.6829494524419,0.0
01/03 23:00:00,164.06738712570862,0.0
01/04 00:00:00,171.51391247023923,0.0
01/04 01:00:00,168.76941685135876,0.0
01/04 02:00:00,171.84258422047142,0.0
01/04 03:00:00,170.2371241020412,0.0
01/04 04:00:00,167.51643596865082,0.0
01/04 05:00:00,168.12525171799518,0.0
01/04 06:00:00,177.09442173370297,0.0
01/04 07:00:00,168.02624792995243,13.7
01/04 08:00:00,168.36477948691584,145.36
01/04 09:00:00,173.10110372198523,261.46
01/04 10:00:00,176.91580010119011,340.86
01/04 11:00:00,169.05617684778986,370.91
01/04 12:00:00,164.46783795116673,347.86
