Line ID,from bus,to bus
0,0,16
1,0,50
2,0,2
3,0,33
4,16,29
5,16,20
6,16,18
7,16,27
8,16,30
9,16,31
10,16,21
11,16,24
12,16,23
13,16,19
14,16,25
15,16,17
16,16,15
17,16,28
18,16,22
19,16,26
20,29,20
21,29,18
22,29,27
23,29,30
24,29,31
25,29,21
26,29,24
27,29,23
28,29,19
29,29,25
30,29,17
31,29,15
32,29,28
33,29,22
34,29,26
35,20,18
36,20,27
37,20,30
38,20,31
39,20,21
40,20,24
41,20,23
42,20,19
43,20,25
44,20,17
45,20,15
46,20,28
47,20,22
48,20,26
49,18,27
50,18,30
51,18,31
52,18,21
53,18,24
54,18,23
55,18,19
56,18,25
57,18,17
58,18,15
59,18,28
60,18,22
61,18,26
62,27,30
63,27,31
64,27,21
65,27,24
66,27,23
67,27,19
68,27,25
69,27,17
70,27,15
71,27,28
72,27,22
73,27,26
74,30,31
75,30,21
76,30,24
77,30,23
78,30,19
79,30,25
80,30,17
81,30,15
82,30,28
83,30,22
84,30,26
85,31,21
86,31,24
87,31,23
88,31,19
89,31,25
90,31,17
91,31,15
92,31,28
93,31,22
94,31,26
95,21,24
96,21,23
97,21,19
98,21,25
99,21,17
100,21,15
101,21,28
102,21,22
103,21,26
104,24,23
105,24,19
106,24,25
107,24,17
108,24,15
109,24,28
110,24,22
111,24,26
112,23,19
113,23,25
114,23,17
115,23,15
116,23,28
117,23,22
118,23,26
119,19,25
120,19,17
121,19,15
122,19,28
123,19,22
124,19,26
125,25,17
126,25,15
127,25,28
128,25,22
129,25,26
130,17,15
131,17,28
132,17,22
133,17,26
134,15,28
135,15,22
136,15,26
137,28,22
138,28,26
139,22,26
140,50,47
141,50,44
142,50,43
143,50,53
144,50,45
145,50,49
146,50,51
147,50,54
148,50,48
149,50,55
150,50,52
151,50,46
152,47,44
153,47,43
154,47,53
155,47,45
156,47,49
157,47,51
158,47,54
159,47,48
160,47,55
161,47,52
162,47,46
163,44,43
164,44,53
165,44,45
166,44,49
167,44,51
168,44,54
169,44,48
170,44,55
171,44,52
172,44,46
173,43,53
174,43,45
175,43,49
176,43,51
177,43,54
178,43,48
179,43,55
180,43,52
181,43,46
182,53,45
183,53,49
184,53,51
185,53,54
186,53,48
187,53,55
188,53,52
189,53,46
190,45,49
191,45,51
192,45,54
193,45,48
194,45,55
195,45,52
196,45,46
197,49,51
198,49,54
199,49,48
200,49,55
201,49,52
202,49,46
203,51,54
204,51,48
205,51,55
206,51,52
207,51,46
208,54,48
209,54,55
210,54,52
211,54,46
212,48,55
213,48,52
214,48,46
215,55,52
216,55,46
217,52,46
218,2,6
219,2,12
220,2,11
221,2,14
222,2,9
223,2,13
224,2,3
225,2,5
226,2,8
227,2,10
228,2,7
229,2,1
230,2,4
231,6,12
232,6,11
233,6,14
234,6,9
235,6,13
236,6,3
237,6,5
238,6,8
239,6,10
240,6,7
241,6,1
242,6,4
243,12,11
244,12,14
245,12,9
246,12,13
247,12,3
248,12,5
249,12,8
250,12,10
251,12,7
252,12,1
253,12,4
254,11,14
255,11,9
256,11,13
257,11,3
258,11,5
259,11,8
260,11,10
261,11,7
262,11,1
263,11,4
264,14,9
265,14,13
266,14,3
267,14,5
268,14,8
269,14,10
270,14,7
271,14,1
272,14,4
273,9,13
274,9,3
275,9,5
276,9,8
277,9,10
278,9,7
279,9,1
280,9,4
281,13,3
282,13,5
283,13,8
284,13,10
285,13,7
286,13,1
287,13,4
288,3,5
289,3,8
290,3,10
291,3,7
292,3,1
293,3,4
294,5,8
295,5,10
296,5,7
297,5,1
298,5,4
299,8,10
300,8,7
301,8,1
302,8,4
303,10,7
304,10,1
305,10,4
306,7,1
307,7,4
308,1,4
309,33,36
310,33,40
311,33,32
312,33,39
313,33,38
314,33,42
315,33,37
316,33,34
317,33,35
318,33,41
319,36,40
320,36,32
321,36,39
322,36,38
323,36,42
324,36,37
325,36,34
326,36,35
327,36,41
328,40,32
329,40,39
330,40,38
331,40,42
332,40,37
333,40,34
334,40,35
335,40,41
336,32,39
337,32,38
338,32,42
339,32,37
340,32,34
341,32,35
342,32,41
343,39,38
344,39,42
345,39,37
346,39,34
347,39,35
348,39,41
349,38,42
350,38,37
351,38,34
352,38,35
353,38,41
354,42,37
355,42,34
356,42,35
357,42,41
358,37,34
359,37,35
360,37,41
361,34,35
362,34,41
363,35,41
