Line ID,from bus,to bus
0,0,2
1,0,3
2,0,4
3,0,5
4,0,6
5,0,7
6,1,2
7,1,3
8,1,4
9,1,5
10,1,6
11,1,7
12,2,43
13,2,44
14,2,45
15,3,43
16,3,44
17,3,45
18,4,46
19,4,47
20,4,48
21,5,46
22,5,47
23,5,48
24,6,49
25,6,50
26,6,51
27,7,49
28,7,50
29,7,51
30,8,2
31,8,3
32,9,2
33,9,3
34,10,4
35,10,5
36,11,4
37,11,5
38,12,4
39,12,5
40,13,6
41,13,7
42,14,6
43,14,7
44,15,6
45,15,7
46,16,6
47,16,7
48,8,17
49,8,18
50,8,19
51,8,20
52,8,21
53,8,22
54,8,23
55,8,24
56,9,17
57,9,18
58,9,19
59,9,20
60,9,21
61,9,22
62,9,23
63,9,24
64,10,25
65,10,26
66,10,27
67,10,28
68,10,29
69,10,30
70,10,31
71,10,32
72,11,25
73,11,26
74,11,27
75,11,28
76,11,29
77,11,30
78,11,31
79,11,32
80,12,25
81,12,26
82,12,27
83,12,28
84,12,29
85,12,30
86,12,31
87,12,32
88,13,33
89,13,34
90,13,35
91,13,36
92,13,37
93,13,38
94,13,39
95,13,40
96,13,41
97,13,42
98,14,33
99,14,34
100,14,35
101,14,36
102,14,37
103,14,38
104,14,39
105,14,40
106,14,41
107,14,42
108,15,33
109,15,34
110,15,35
111,15,36
112,15,37
113,15,38
114,15,39
115,15,40
116,15,41
117,15,42
118,16,33
119,16,34
120,16,35
121,16,36
122,16,37
123,16,38
124,16,39
125,16,40
126,16,41
127,16,42
128,43,44
129,43,45
130,44,45
131,46,47
132,46,48
133,47,48
134,49,50
135,49,51
136,50,51
137,17,18
138,17,19
139,17,20
140,17,21
141,17,22
142,17,23
143,17,24
144,18,19
145,18,20
146,18,21
147,18,22
148,18,23
149,18,24
150,19,20
151,19,21
152,19,22
153,19,23
154,19,24
155,20,21
156,20,22
157,20,23
158,20,24
159,21,22
160,21,23
161,21,24
162,22,23
163,22,24
164,23,24
165,25,26
166,25,27
167,25,28
168,25,29
169,25,30
170,25,31
171,25,32
172,26,27
173,26,28
174,26,29
175,26,30
176,26,31
177,26,32
178,27,28
179,27,29
180,27,30
181,27,31
182,27,32
183,28,29
184,28,30
185,28,31
186,28,32
187,29,30
188,29,31
189,29,32
190,30,31
191,30,32
192,31,32
193,33,34
194,33,35
195,33,36
196,33,37
197,33,38
198,33,39
199,33,40
200,33,41
201,33,42
202,34,35
203,34,36
204,34,37
205,34,38
206,34,39
207,34,40
208,34,41
209,34,42
210,35,36
211,35,37
212,35,38
213,35,39
214,35,40
215,35,41
216,35,42
217,36,37
218,36,38
219,36,39
220,36,40
221,36,41
222,36,42
223,37,38
224,37,39
225,37,40
226,37,41
227,37,42
228,38,39
229,38,40
230,38,41
231,38,42
232,39,40
233,39,41
234,39,42
235,40,41
236,40,42
237,41,42
