Bus ID, Position, Size, Type, District, Voltage, Active Power, Reactive Power
0, (0;0), , HV_sub, , 40000, , 
1, (100;0), , HV_sub, , 40000, , 
2, (0;40), , MV_sub, A, 15000, , 
3, (50;90), , MV_sub, A, 15000, , 
4, (80;90), , MV_sub, B, 15000, , 
5, (100;110), , MV_sub, B, 15000, , 
6, (110;60), , MV_sub, C, 15000, , 
7, (150;10), , MV_sub, C, 15000, , 
8, (20;50), , LV_sub, A, 400, , 
9, (40;70), , LV_sub, A, 400, , 
10, (90;100), , LV_sub, B, 400, , 
11, (110;110), , LV_sub, B, 400, , 
12, (100;130), , LV_sub, B, 400, , 
13, (150;20), , LV_sub, C, 400, , 
14, (130;30), , LV_sub, C, 400, , 
15, (140;40), , LV_sub, C, 400, , 
16, (120;50), , LV_sub, C, 400, , 
17, (11;48), , LV_load, A, 400, 10, 1
18, (25;38), , LV_load, A, 400, 15, 2
19, (51;42), , LV_load, A, 400, 20, 3
20, (0;64), , LV_load, A, 400, 25, 4
21, (24;67), , LV_load, A, 400, 12, 1
22, (52;67), , LV_load, A, 400, 18, 2
23, (0;90), , LV_load, A, 400, 22, 3
24, (23;91), , LV_load, A, 400, 26, 4
25, (129;138), , LV_load, B, 400, 30, 5
26, (105;88), , LV_load, B, 400, 35, 6
27, (130;92), , LV_load, B, 400, 12, 1
28, (81;115), , LV_load, B, 400, 18, 2
29, (103;114), , LV_load, B, 400, 22, 3
30, (128;116), , LV_load, B, 400, 28, 4
31, (78;138), , LV_load, B, 400, 26, 4
32, (104;138), , LV_load, B, 400, 30, 5
33, (111;12), , LV_load, C, 400, 32, 5
34, (126;12), , LV_load, C, 400, 38, 6
35, (143;8), , LV_load, C, 400, 14, 2
36, (158;10), , LV_load, C, 400, 16, 3
37, (110;26), , LV_load, C, 400, 20, 4
38, (125;25), , LV_load, C, 400, 24, 5
39, (144;27), , LV_load, C, 400, 28, 6
40, (159;26), , LV_load, C, 400, 32, 7
41, (111;45), , LV_load, C, 400, 34, 6
42, (126;44), , LV_load, C, 400, 36, 7
43, (10;60), , MV_load, A, 15000, 100, 10
44, (20;80), , MV_load, A, 15000, 110, 9
45, (40;80), , MV_load, A, 15000, 120, 11
46, (90;120), , MV_load, B, 15000, 100, 6
47, (120;130), , MV_load, B, 15000, 120, 10
48, (120;100), , MV_load, B, 15000, 130, 12
49, (130;20), , MV_load, C, 15000, 120, 11
50, (120;40), , MV_load, C, 15000, 110, 7
51, (150;40), , MV_load, C, 15000, 110, 7




