Bus ID, Position, Size, Type, District, Voltage, Active Power, Reactive Power
0, (0;0), , HV_sub, , 40000, , 
1, (100;0), , HV_sub, , 40000, , 
2, (0;40), , MV_sub, A, 15000, , 
3, (50;90), , MV_sub, A, 15000, , 
4, (80;90), , MV_sub, B, 15000, , 
5, (100;110), , MV_sub, B, 15000, , 
8, (11;48), , LV_load, A, 400, 1.0, 1
9, (25;38), , LV_load, A, 400, 1.5, 2
10, (51;42), , LV_load, A, 400, 2.0, 3
11, (0;64), , LV_load, A, 400, 2.5, 4
16, (129;138), , LV_load, B, 400, 3.0, 5
17, (105;88), , LV_load, B, 400, 3.5, 6
18, (130;92), , LV_load, B, 400, 1.2, 1
19, (81;115), , LV_load, B, 400, 1.8, 2
20, (103;114), , LV_load, B, 400, 2.2, 3
34, (10;60), , MV_load, A, 15000, 10, 10
35, (20;80), , MV_load, A, 15000, 11, 9
36, (40;80), , MV_load, A, 15000, 12, 11
37, (90;120), , MV_load, B, 15000, 10, 6
38, (120;130), , MV_load, B, 15000, 12, 10
39, (120;100), , MV_load, B, 15000, 13, 12





