Name,periods,buses,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,456705.7302598417
C_subs,,,,,,,,,17423.705503299203
C_losses,1.0,,,,,,,,0.00655586928895115
C_losses,2.0,,,,,,,,0.006074751598298926
C_inv,,,,,,,,,15378.518508092813
C_PV,,,,,,,,,58842.20870707174
C_electricity,1.0,,,,,,,,0.0
C_electricity,2.0,,,,,,,,0.0
subs_hv_inst_cost,,,,,,,,,20000.0
subs_mv_inst_cost,,,,,,,,,200000.0
PV_inst_cost,,,,,,,,,11000.0
C_storage,,8.0,,,,,,,0.0
C_storage,,9.0,,,,,,,0.0
C_storage,,10.0,,,,,,,0.0
C_storage,,11.0,,,,,,,0.0
C_storage,,16.0,,,,,,,0.0
C_storage,,17.0,,,,,,,0.0
C_storage,,18.0,,,,,,,0.0
C_storage,,19.0,,,,,,,0.0
C_storage,,20.0,,,,,,,0.0
C_storage,,21.0,,,,,,,0.0
C_storage,,22.0,,,,,,,0.0
C_storage,,23.0,,,,,,,0.0
C_storage,,24.0,,,,,,,0.0
C_storage,,25.0,,,,,,,0.0
C_storage,,26.0,,,,,,,0.0
unserved_fictitious_power_cost,,,,,,,,,0.0
line_opt,,,0.0,Poppy,,,,,1.0
line_opt,,,0.0,Oxlip,,,,,0.0
line_opt,,,0.0,Daisy,,,,,0.0
line_opt,,,0.0,Tulip,,,,,0.0
line_opt,,,1.0,Poppy,,,,,0.0
line_opt,,,1.0,Oxlip,,,,,0.0
line_opt,,,1.0,Daisy,,,,,0.0
line_opt,,,1.0,Tulip,,,,,0.0
line_opt,,,2.0,Poppy,,,,,0.0
line_opt,,,2.0,Oxlip,,,,,0.0
line_opt,,,2.0,Daisy,,,,,0.0
line_opt,,,2.0,Tulip,,,,,0.0
line_opt,,,3.0,Poppy,,,,,0.0
line_opt,,,3.0,Oxlip,,,,,0.0
line_opt,,,3.0,Daisy,,,,,0.0
line_opt,,,3.0,Tulip,,,,,0.0
line_opt,,,4.0,Poppy,,,,,0.0
line_opt,,,4.0,Oxlip,,,,,0.0
line_opt,,,4.0,Daisy,,,,,0.0
line_opt,,,4.0,Tulip,,,,,0.0
line_opt,,,5.0,Poppy,,,,,0.0
line_opt,,,5.0,Oxlip,,,,,0.0
line_opt,,,5.0,Daisy,,,,,0.0
line_opt,,,5.0,Tulip,,,,,0.0
line_opt,,,6.0,Poppy,,,,,0.0
line_opt,,,6.0,Oxlip,,,,,0.0
line_opt,,,6.0,Daisy,,,,,0.0
line_opt,,,6.0,Tulip,,,,,0.0
line_opt,,,7.0,Poppy,,,,,1.0
line_opt,,,7.0,Oxlip,,,,,0.0
line_opt,,,7.0,Daisy,,,,,0.0
line_opt,,,7.0,Tulip,,,,,0.0
line_opt,,,8.0,Poppy,,,,,1.0
line_opt,,,8.0,Oxlip,,,,,0.0
line_opt,,,8.0,Daisy,,,,,0.0
line_opt,,,8.0,Tulip,,,,,0.0
line_opt,,,9.0,Poppy,,,,,0.0
line_opt,,,9.0,Oxlip,,,,,0.0
line_opt,,,9.0,Daisy,,,,,0.0
line_opt,,,9.0,Tulip,,,,,0.0
line_opt,,,10.0,Poppy,,,,,0.0
line_opt,,,10.0,Oxlip,,,,,0.0
line_opt,,,10.0,Daisy,,,,,0.0
line_opt,,,10.0,Tulip,,,,,0.0
line_opt,,,11.0,Poppy,,,,,0.0
line_opt,,,11.0,Oxlip,,,,,0.0
line_opt,,,11.0,Daisy,,,,,0.0
line_opt,,,11.0,Tulip,,,,,0.0
line_opt,,,12.0,Poppy,,,,,0.0
line_opt,,,12.0,Oxlip,,,,,0.0
line_opt,,,12.0,Daisy,,,,,0.0
line_opt,,,12.0,Tulip,,,,,0.0
line_opt,,,13.0,Poppy,,,,,0.0
line_opt,,,13.0,Oxlip,,,,,0.0
line_opt,,,13.0,Daisy,,,,,0.0
line_opt,,,13.0,Tulip,,,,,0.0
line_opt,,,14.0,Poppy,,,,,0.0
line_opt,,,14.0,Oxlip,,,,,0.0
line_opt,,,14.0,Daisy,,,,,0.0
line_opt,,,14.0,Tulip,,,,,0.0
line_opt,,,15.0,Poppy,,,,,0.0
line_opt,,,15.0,Oxlip,,,,,0.0
line_opt,,,15.0,Daisy,,,,,0.0
line_opt,,,15.0,Tulip,,,,,0.0
