Date,Total_Load,SUN
01/01  01:00:00,1672.2312872442653,0.0
01/01  02:00:00,1675.3924576608474,0.0
01/01  03:00:00,1664.897846677333,0.0
01/01  04:00:00,1661.9891291862452,0.0
01/01  05:00:00,1687.6224539647685,0.0
01/01  06:00:00,1768.9932736765525,0.0
01/01  07:00:00,2020.7433480279497,0.0
01/01  08:00:00,2121.7585980221174,0.0
01/01  09:00:00,2274.8731922383668,6.0
01/01  10:00:00,2265.2431753751703,37.98
01/01  11:00:00,2252.7757839965425,98.36
01/01  12:00:00,2312.8462102667104,130.41
01/01  13:00:00,2272.285339906183,83.23
01/01  14:00:00,2247.7785465532384,48.96
01/01  15:00:00,2222.9908093968843,26.93
01/01  16:00:00,2254.66430377843,0.0
01/01  17:00:00,2237.596311904483,0.0
01/01  18:00:00,2295.57755686836,0.0
01/01  19:00:00,2174.28836750317,0.0
01/01  20:00:00,2155.249038615992,0.0
01/01  21:00:00,2151.8907129692902,0.0
01/01  22:00:00,2096.641402718442,0.0
01/01  23:00:00,1924.674139406915,0.0
01/01  24:00:00,1803.9523877180143,0.0
01/02  01:00:00,1891.182388920564,0.0
01/02  02:00:00,1862.3239549533757,0.0
01/02  03:00:00,1871.6964509331556,0.0
01/02  04:00:00,1852.5855984731652,0.0
01/02  05:00:00,1880.946626066572,0.0
01/02  06:00:00,1994.4997729882975,0.0
01/02  07:00:00,2363.1718991390317,0.0
01/02  08:00:00,2918.01207091243,0.0
01/02  09:00:00,5067.822760173312,4.0
01/02  10:00:00,5021.108955398346,11.2
01/02  11:00:00,4994.63883910017,15.14
01/02  12:00:00,5046.430680658297,18.18
01/02  13:00:00,4800.109632279581,19.19
01/02  14:00:00,5004.637586750847,17.17
01/02  15:00:00,4966.922435877628,11.11
01/02  16:00:00,5029.943888743037,0.0
01/02  17:00:00,4869.717800959773,0.0
01/02  18:00:00,3559.5188728597136,0.0
01/02  19:00:00,3028.1861158194833,0.0
01/02  20:00:00,3016.815052363678,0.0
01/02  21:00:00,2869.0982807451032,0.0
01/02  22:00:00,2802.7383253650582,0.0
01/02  23:00:00,2481.5686968168725,0.0
01/02  24:00:00,2177.650890455097,0.0
01/03  01:00:00,1885.0037571097694,0.0
01/03  02:00:00,1856.4657339558928,0.0
01/03  03:00:00,1863.9334276941115,0.0
01/03  04:00:00,1844.2498483224508,0.0
01/03  05:00:00,1876.3463371813648,0.0
01/03  06:00:00,1993.2254600257127,0.0
01/03  07:00:00,2367.3364715256394,0.0
01/03  08:00:00,2920.116780401146,0.0
01/03  09:00:00,5024.185320409501,4.0
01/03  10:00:00,4967.13525203177,17.53
01/03  11:00:00,4893.381117671323,36.13
01/03  12:00:00,4898.637120543883,57.4
01/03  13:00:00,4640.39889988586,76.22
01/03  14:00:00,4842.245790683143,76.36
01/03  15:00:00,4813.579184678604,55.32
01/03  16:00:00,4975.877785425231,0.0
01/03  17:00:00,4875.806283385625,0.0
01/03  18:00:00,3553.714612567527,0.0
01/03  19:00:00,3025.386134391725,0.0
01/03  20:00:00,2999.161204645103,0.0
01/03  21:00:00,2853.326056631468,0.0
01/03  22:00:00,2805.5134408060635,0.0
01/03  23:00:00,2475.9053910170815,0.0
01/03  24:00:00,2170.109313510736,0.0
01/04  01:00:00,1881.0403228536122,0.0
01/04  02:00:00,1855.6064744496152,0.0
01/04  03:00:00,1853.9418989048738,0.0
01/04  04:00:00,1839.351455523129,0.0
01/04  05:00:00,1869.2813576794902,0.0
01/04  06:00:00,1989.267688454036,0.0
01/04  07:00:00,2360.4883487982625,0.0
01/04  08:00:00,2913.7779581476602,0.0
01/04  09:00:00,5004.615735164654,5.0
01/04  10:00:00,4933.971037234175,23.15
01/04  11:00:00,4905.6560635896585,32.86
01/04  12:00:00,4963.783313969093,35.74
01/04  13:00:00,4729.32274065296,33.59
01/04  14:00:00,4943.444524288806,26.51
01/04  15:00:00,4929.65756478274,16.22
01/04  16:00:00,4993.523606808637,0.0
01/04  17:00:00,4863.402501730387,0.0
01/04  18:00:00,3550.55435909192,0.0
01/04  19:00:00,3017.248518721437,0.0
01/04  20:00:00,2998.7162867979387,0.0
