Name,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
line_opt,,23.0,Poppy,,,,,,0.0
line_opt,,23.0,Oxlip,,,,,,0.0
line_opt,,23.0,Daisy,,,,,,0.0
line_opt,,23.0,Tulip,,,,,,0.0001866481755112
line_act_plus,,23.0,,,,,,,0.0001865675320788
line_act_minus,,23.0,,,,,,,0.0
current_squared_k,1.0,23.0,Poppy,,,,,,0.0
current_squared_k,1.0,23.0,Oxlip,,,,,,0.0
current_squared_k,1.0,23.0,Daisy,,,,,,0.0
current_squared_k,1.0,23.0,Tulip,,,,,,0.0
current_squared_k,2.0,23.0,Poppy,,,,,,0.0
current_squared_k,2.0,23.0,Oxlip,,,,,,0.0
current_squared_k,2.0,23.0,Daisy,,,,,,0.0
current_squared_k,2.0,23.0,Tulip,,,,,,0.0
current_squared_k,3.0,23.0,Poppy,,,,,,0.0
current_squared_k,3.0,23.0,Oxlip,,,,,,0.0
current_squared_k,3.0,23.0,Daisy,,,,,,0.0
current_squared_k,3.0,23.0,Tulip,,,,,,0.0
current_squared_k,4.0,23.0,Poppy,,,,,,0.0
current_squared_k,4.0,23.0,Oxlip,,,,,,0.0
current_squared_k,4.0,23.0,Daisy,,,,,,0.0
current_squared_k,4.0,23.0,Tulip,,,,,,0.0
current_squared_k,5.0,23.0,Poppy,,,,,,0.0
current_squared_k,5.0,23.0,Oxlip,,,,,,0.0
current_squared_k,5.0,23.0,Daisy,,,,,,0.0
current_squared_k,5.0,23.0,Tulip,,,,,,0.0
current_squared_k,6.0,23.0,Poppy,,,,,,0.0
current_squared_k,6.0,23.0,Oxlip,,,,,,0.0
current_squared_k,6.0,23.0,Daisy,,,,,,0.0
current_squared_k,6.0,23.0,Tulip,,,,,,0.0
current_squared_k,7.0,23.0,Poppy,,,,,,0.0
current_squared_k,7.0,23.0,Oxlip,,,,,,0.0
current_squared_k,7.0,23.0,Daisy,,,,,,0.0
current_squared_k,7.0,23.0,Tulip,,,,,,0.0
current_squared_k,8.0,23.0,Poppy,,,,,,0.0
current_squared_k,8.0,23.0,Oxlip,,,,,,0.0
current_squared_k,8.0,23.0,Daisy,,,,,,-8.388715677881783e-06
current_squared_k,8.0,23.0,Tulip,,,,,,8.388715677881783e-06
current_squared_k,9.0,23.0,Poppy,,,,,,0.0
current_squared_k,9.0,23.0,Oxlip,,,,,,0.0
current_squared_k,9.0,23.0,Daisy,,,,,,0.0
current_squared_k,9.0,23.0,Tulip,,,,,,0.0
current_squared_k,10.0,23.0,Poppy,,,,,,0.0
current_squared_k,10.0,23.0,Oxlip,,,,,,0.0
current_squared_k,10.0,23.0,Daisy,,,,,,0.0
current_squared_k,10.0,23.0,Tulip,,,,,,0.0
current_squared_k,11.0,23.0,Poppy,,,,,,0.0
current_squared_k,11.0,23.0,Oxlip,,,,,,0.0
current_squared_k,11.0,23.0,Daisy,,,,,,0.0
current_squared_k,11.0,23.0,Tulip,,,,,,0.0
current_squared_k,12.0,23.0,Poppy,,,,,,0.0
current_squared_k,12.0,23.0,Oxlip,,,,,,0.0
current_squared_k,12.0,23.0,Daisy,,,,,,0.0
current_squared_k,12.0,23.0,Tulip,,,,,,0.0
current_squared_k,13.0,23.0,Poppy,,,,,,0.0
current_squared_k,13.0,23.0,Oxlip,,,,,,0.0
current_squared_k,13.0,23.0,Daisy,,,,,,0.0
current_squared_k,13.0,23.0,Tulip,,,,,,0.0
current_squared_k,14.0,23.0,Poppy,,,,,,0.0
current_squared_k,14.0,23.0,Oxlip,,,,,,0.0
current_squared_k,14.0,23.0,Daisy,,,,,,0.0
current_squared_k,14.0,23.0,Tulip,,,,,,0.0
current_squared_k,15.0,23.0,Poppy,,,,,,0.0
current_squared_k,15.0,23.0,Oxlip,,,,,,0.0
current_squared_k,15.0,23.0,Daisy,,,,,,0.0
current_squared_k,15.0,23.0,Tulip,,,,,,0.0
current_squared_k,16.0,23.0,Poppy,,,,,,0.0
current_squared_k,16.0,23.0,Oxlip,,,,,,0.0
current_squared_k,16.0,23.0,Daisy,,,,,,0.0
current_squared_k,16.0,23.0,Tulip,,,,,,0.0
current_squared_k,17.0,23.0,Poppy,,,,,,0.0
current_squared_k,17.0,23.0,Oxlip,,,,,,0.0
current_squared_k,17.0,23.0,Daisy,,,,,,0.0
current_squared_k,17.0,23.0,Tulip,,,,,,0.0
current_squared_k,18.0,23.0,Poppy,,,,,,0.0
current_squared_k,18.0,23.0,Oxlip,,,,,,0.0
current_squared_k,18.0,23.0,Daisy,,,,,,0.0
current_squared_k,18.0,23.0,Tulip,,,,,,0.0
current_squared_k,19.0,23.0,Poppy,,,,,,0.0
current_squared_k,19.0,23.0,Oxlip,,,,,,0.0
current_squared_k,19.0,23.0,Daisy,,,,,,0.0
current_squared_k,19.0,23.0,Tulip,,,,,,0.0
current_squared_k,20.0,23.0,Poppy,,,,,,0.0
current_squared_k,20.0,23.0,Oxlip,,,,,,0.0
current_squared_k,20.0,23.0,Daisy,,,,,,0.0
current_squared_k,20.0,23.0,Tulip,,,,,,0.0
current_squared_k,21.0,23.0,Poppy,,,,,,0.0
current_squared_k,21.0,23.0,Oxlip,,,,,,0.0
current_squared_k,21.0,23.0,Daisy,,,,,,0.0
current_squared_k,21.0,23.0,Tulip,,,,,,0.0
current_squared_k,22.0,23.0,Poppy,,,,,,0.0
current_squared_k,22.0,23.0,Oxlip,,,,,,0.0
current_squared_k,22.0,23.0,Daisy,,,,,,0.0
current_squared_k,22.0,23.0,Tulip,,,,,,0.0
current_squared_k,23.0,23.0,Poppy,,,,,,0.0
current_squared_k,23.0,23.0,Oxlip,,,,,,0.0
current_squared_k,23.0,23.0,Daisy,,,,,,0.0
current_squared_k,23.0,23.0,Tulip,,,,,,0.0
current_squared_k,24.0,23.0,Poppy,,,,,,0.0
current_squared_k,24.0,23.0,Oxlip,,,,,,0.0
current_squared_k,24.0,23.0,Daisy,,,,,,0.0
current_squared_k,24.0,23.0,Tulip,,,,,,0.0
current_squared,1.0,23.0,,,,,,,0.0
current_squared,2.0,23.0,,,,,,,0.0
current_squared,3.0,23.0,,,,,,,0.0
current_squared,4.0,23.0,,,,,,,0.0
current_squared,5.0,23.0,,,,,,,0.0
current_squared,6.0,23.0,,,,,,,0.0
current_squared,7.0,23.0,,,,,,,0.0
current_squared,8.0,23.0,,,,,,,0.0
current_squared,9.0,23.0,,,,,,,0.0
current_squared,10.0,23.0,,,,,,,0.0
current_squared,11.0,23.0,,,,,,,0.0
current_squared,12.0,23.0,,,,,,,0.0
current_squared,13.0,23.0,,,,,,,0.0
current_squared,14.0,23.0,,,,,,,0.0
current_squared,15.0,23.0,,,,,,,0.0
current_squared,16.0,23.0,,,,,,,0.0
current_squared,17.0,23.0,,,,,,,0.0
current_squared,18.0,23.0,,,,,,,0.0
current_squared,19.0,23.0,,,,,,,0.0
current_squared,20.0,23.0,,,,,,,0.0
current_squared,21.0,23.0,,,,,,,0.0
current_squared,22.0,23.0,,,,,,,0.0
current_squared,23.0,23.0,,,,,,,0.0
current_squared,24.0,23.0,,,,,,,0.0
current_slack,1.0,23.0,Poppy,,,,,,0.0
current_slack,1.0,23.0,Oxlip,,,,,,0.0
current_slack,1.0,23.0,Daisy,,,,,,0.0
current_slack,1.0,23.0,Tulip,,,,,,0.0
current_slack,2.0,23.0,Poppy,,,,,,0.0
current_slack,2.0,23.0,Oxlip,,,,,,0.0
current_slack,2.0,23.0,Daisy,,,,,,0.0
current_slack,2.0,23.0,Tulip,,,,,,0.0
current_slack,3.0,23.0,Poppy,,,,,,0.0
current_slack,3.0,23.0,Oxlip,,,,,,0.0
current_slack,3.0,23.0,Daisy,,,,,,0.0
current_slack,3.0,23.0,Tulip,,,,,,0.0
current_slack,4.0,23.0,Poppy,,,,,,0.0
current_slack,4.0,23.0,Oxlip,,,,,,0.0
current_slack,4.0,23.0,Daisy,,,,,,0.0
current_slack,4.0,23.0,Tulip,,,,,,0.0
current_slack,5.0,23.0,Poppy,,,,,,0.0
current_slack,5.0,23.0,Oxlip,,,,,,0.0
current_slack,5.0,23.0,Daisy,,,,,,0.0
current_slack,5.0,23.0,Tulip,,,,,,0.0
current_slack,6.0,23.0,Poppy,,,,,,0.0
current_slack,6.0,23.0,Oxlip,,,,,,0.0
current_slack,6.0,23.0,Daisy,,,,,,0.0
current_slack,6.0,23.0,Tulip,,,,,,0.0
current_slack,7.0,23.0,Poppy,,,,,,0.0
current_slack,7.0,23.0,Oxlip,,,,,,0.0
current_slack,7.0,23.0,Daisy,,,,,,0.0
current_slack,7.0,23.0,Tulip,,,,,,0.0
current_slack,8.0,23.0,Poppy,,,,,,0.0
current_slack,8.0,23.0,Oxlip,,,,,,0.0
current_slack,8.0,23.0,Daisy,,,,,,0.0
current_slack,8.0,23.0,Tulip,,,,,,0.0
current_slack,9.0,23.0,Poppy,,,,,,0.0
current_slack,9.0,23.0,Oxlip,,,,,,0.0
current_slack,9.0,23.0,Daisy,,,,,,0.0
current_slack,9.0,23.0,Tulip,,,,,,0.0
current_slack,10.0,23.0,Poppy,,,,,,0.0
current_slack,10.0,23.0,Oxlip,,,,,,0.0
current_slack,10.0,23.0,Daisy,,,,,,0.0
current_slack,10.0,23.0,Tulip,,,,,,0.0
current_slack,11.0,23.0,Poppy,,,,,,0.0
current_slack,11.0,23.0,Oxlip,,,,,,0.0
current_slack,11.0,23.0,Daisy,,,,,,0.0
current_slack,11.0,23.0,Tulip,,,,,,0.0
current_slack,12.0,23.0,Poppy,,,,,,0.0
current_slack,12.0,23.0,Oxlip,,,,,,0.0
current_slack,12.0,23.0,Daisy,,,,,,0.0
current_slack,12.0,23.0,Tulip,,,,,,0.0
current_slack,13.0,23.0,Poppy,,,,,,0.0
current_slack,13.0,23.0,Oxlip,,,,,,0.0
current_slack,13.0,23.0,Daisy,,,,,,0.0
current_slack,13.0,23.0,Tulip,,,,,,0.0
current_slack,14.0,23.0,Poppy,,,,,,0.0
current_slack,14.0,23.0,Oxlip,,,,,,0.0
current_slack,14.0,23.0,Daisy,,,,,,0.0
current_slack,14.0,23.0,Tulip,,,,,,0.0
current_slack,15.0,23.0,Poppy,,,,,,0.0
current_slack,15.0,23.0,Oxlip,,,,,,0.0
current_slack,15.0,23.0,Daisy,,,,,,0.0
current_slack,15.0,23.0,Tulip,,,,,,0.0
current_slack,16.0,23.0,Poppy,,,,,,0.0
current_slack,16.0,23.0,Oxlip,,,,,,0.0
current_slack,16.0,23.0,Daisy,,,,,,0.0
current_slack,16.0,23.0,Tulip,,,,,,0.0
current_slack,17.0,23.0,Poppy,,,,,,0.0
current_slack,17.0,23.0,Oxlip,,,,,,0.0
