Line ID,from bus,to bus
0,0,1
1,0,2
2,0,3
3,0,4
4,1,2
5,1,3
6,1,4
7,2,3
8,2,4
9,3,4
10,0,5
11,3,5
12,4,6
13,0,6
14,1,5
15,1,6
16,2,5
17,2,6
18,3,6
19,4,5
20,5,6
21,0,7
22,0,8
23,0,9
24,0,10
25,0,11
26,0,12
27,0,13
28,0,14
29,0,15
30,0,16
31,0,17
32,0,18
33,0,19
34,0,20
35,1,7
36,1,8
37,1,9
38,1,10
39,1,11
40,1,12
41,1,13
42,1,14
43,1,15
44,1,16
45,1,17
46,1,18
47,1,19
48,1,20
49,2,7
50,2,8
51,2,9
52,2,10
53,2,11
54,2,12
55,2,13
56,2,14
57,2,15
58,2,16
59,2,17
60,2,18
61,2,19
62,2,20
63,3,7
64,3,8
65,3,9
66,3,10
67,3,11
68,3,12
69,3,13
70,3,14
71,3,15
72,3,16
73,3,17
74,3,18
75,3,19
76,3,20
77,4,7
78,4,8
79,4,9
80,4,10
81,4,11
82,4,12
83,4,13
84,4,14
85,4,15
86,4,16
87,4,17
88,4,18
89,4,19
90,4,20
91,5,7
92,5,8
93,5,9
94,5,10
95,5,11
96,5,12
97,5,13
98,5,14
99,5,15
100,5,16
101,5,17
102,5,18
103,5,19
104,5,20
105,6,7
106,6,8
107,6,9
108,6,10
109,6,11
110,6,12
111,6,13
112,6,14
113,6,15
114,6,16
115,6,17
116,6,18
117,6,19
118,6,20
119,7,8
120,7,9
121,7,10
122,7,11
123,7,12
124,7,13
125,7,14
126,7,15
127,7,16
128,7,17
129,7,18
130,7,19
131,7,20
132,8,9
133,8,10
134,8,11
135,8,12
136,8,13
137,8,14
138,8,15
139,8,16
140,8,17
141,8,18
142,8,19
143,8,20
144,9,10
145,9,11
146,9,12
147,9,13
148,9,14
149,9,15
150,9,16
151,9,17
152,9,18
153,9,19
154,9,20
155,10,11
156,10,12
157,10,13
158,10,14
159,10,15
160,10,16
161,10,17
162,10,18
163,10,19
164,10,20
165,11,12
166,11,13
167,11,14
168,11,15
169,11,16
170,11,17
171,11,18
172,11,19
173,11,20
174,12,13
175,12,14
176,12,15
177,12,16
178,12,17
179,12,18
180,12,19
181,12,20
182,13,14
183,13,15
184,13,16
185,13,17
186,13,18
187,13,19
188,13,20
189,14,15
190,14,16
191,14,17
192,14,18
193,14,19
194,14,20
195,15,16
196,15,17
197,15,18
198,15,19
199,15,20
200,16,17
201,16,18
202,16,19
203,16,20
204,17,18
205,17,19
206,17,20
207,18,19
208,18,20
209,19,20
