date,total load,irradiation
01/01 00:00:00,720.4916663613044,0.0
01/01 01:00:00,631.1296150096106,0.0
01/01 02:00:00,683.2418465124898,0.0
01/01 03:00:00,696.4480561036819,0.0
01/01 04:00:00,692.4750641605649,0.0
01/01 05:00:00,673.514023691517,0.0
01/01 06:00:00,711.6679795102511,0.0
01/01 07:00:00,713.6890944641484,13.3
01/01 08:00:00,725.4917832607191,141.11
01/01 09:00:00,736.2828522672743,249.66
01/01 10:00:00,697.2525660014517,336.86
01/01 11:00:00,721.7341671373546,359.26
01/01 12:00:00,714.935083856835,337.61
01/01 13:00:00,704.5246902523047,266.96
01/01 14:00:00,703.8108585141932,153.46
01/01 15:00:00,735.9884654358536,16.2
01/01 16:00:00,685.8339227492562,0.0
01/01 17:00:00,700.7332341375611,0.0
01/01 18:00:00,702.045896568101,0.0
01/01 19:00:00,708.6385094798753,0.0
01/01 20:00:00,701.6003536540063,0.0
01/01 21:00:00,685.6835295390717,0.0
01/01 22:00:00,686.6685520731016,0.0
01/01 23:00:00,676.5587821256898,0.0
01/02 00:00:00,669.425531527615,0.0
01/02 01:00:00,685.801918718949,0.0
01/02 02:00:00,699.1449245527783,0.0
01/02 03:00:00,684.3055388258601,0.0
01/02 04:00:00,679.9756541448977,0.0
01/02 05:00:00,738.3348656096845,0.0
01/02 06:00:00,699.6615701835028,0.0
01/02 07:00:00,650.0275082561748,13.1
01/02 08:00:00,676.6712873527391,132.96
01/02 09:00:00,702.1409325806092,241.11
01/02 10:00:00,716.7252216798206,329.01
01/02 11:00:00,723.9857796706212,330.21
01/02 12:00:00,706.9367771661998,313.06
01/02 13:00:00,705.3770733770625,261.96
01/02 14:00:00,675.8624422050257,146.36
01/02 15:00:00,679.9388495681306,16.55
01/02 16:00:00,708.9447734617004,0.0
01/02 17:00:00,744.1163631703503,0.0
01/02 18:00:00,714.7855483173387,0.0
01/02 19:00:00,699.0023512303516,0.0
01/02 20:00:00,722.6538770605182,0.0
