date,total load,irradiation
01/01 00:00:00,2063.0829369892463,0.0
01/01 01:00:00,2167.744801437761,0.0
01/01 02:00:00,2154.383050439851,0.0
01/01 03:00:00,2179.1183216407967,0.0
01/01 04:00:00,2181.4742058286006,0.0
01/01 05:00:00,2205.4882197167326,0.0
01/01 06:00:00,2511.3583237696503,0.0
01/01 07:00:00,2578.3919386975826,0.0
01/01 08:00:00,2708.5829716842068,0.0
01/01 09:00:00,2749.0379125732234,8.08
01/01 10:00:00,2728.844821696734,37.89
01/01 11:00:00,2752.944174077623,21.25
01/01 12:00:00,2769.9149647133117,27.28
01/01 13:00:00,2766.3232426844647,30.27
01/01 14:00:00,2739.3450154219813,23.22
01/01 15:00:00,2778.459478152732,9.14
01/01 16:00:00,2698.2481479297066,0.0
01/01 17:00:00,2659.630623989098,0.0
01/01 18:00:00,2457.6022314525403,0.0
01/01 19:00:00,2443.113811384488,0.0
01/01 20:00:00,2446.246054885955,0.0
01/01 21:00:00,2403.5769274749346,0.0
01/01 22:00:00,2331.178269739201,0.0
01/01 23:00:00,2267.430006546694,0.0
01/02 00:00:00,2503.4342428128343,0.0
01/02 01:00:00,2486.453708083535,0.0
01/02 02:00:00,2526.7208708705543,0.0
01/02 03:00:00,2493.0477113548523,0.0
01/02 04:00:00,2495.7356435701054,0.0
01/02 05:00:00,2562.51620099238,0.0
01/02 06:00:00,3014.112474457789,0.0
01/02 07:00:00,3767.310217474694,0.0
01/02 08:00:00,7357.414791517429,0.0
01/02 09:00:00,7206.778636508682,3.0
01/02 10:00:00,7059.305740782404,19.18
01/02 11:00:00,6912.213897518977,69.47
01/02 12:00:00,6647.991719991565,60.39
01/02 13:00:00,6925.983669868387,142.41
01/02 14:00:00,6837.824954874105,99.28
01/02 15:00:00,6928.5060661732305,100.22
01/02 16:00:00,6811.859432927791,19.53
01/02 17:00:00,4733.647803874294,0.0
01/02 18:00:00,3769.8485113808692,0.0
01/02 19:00:00,3801.093658421337,0.0
01/02 20:00:00,3553.270978942636,0.0
01/02 21:00:00,3468.4913900240376,0.0
01/02 22:00:00,3186.8083355131535,0.0
01/02 23:00:00,2844.7809762542383,0.0
01/03 00:00:00,2482.010023655795,0.0
01/03 01:00:00,2462.022485145474,0.0
01/03 02:00:00,2498.3811006155142,0.0
01/03 03:00:00,2460.3879778612772,0.0
01/03 04:00:00,2486.068892701536,0.0
01/03 05:00:00,2549.9890476089367,0.0
01/03 06:00:00,3036.418043926666,0.0
01/03 07:00:00,3794.3235937693025,0.0
01/03 08:00:00,7286.1085524320615,0.0
01/03 09:00:00,7163.191988210804,16.31
01/03 10:00:00,6982.861396548663,37.9
01/03 11:00:00,6912.517889963677,73.97
01/03 12:00:00,6599.016130379,83.35
01/03 13:00:00,6936.2009052805615,200.44
01/03 14:00:00,6792.646032560977,176.09
01/03 15:00:00,6887.047191584348,123.32
01/03 16:00:00,6959.638412775218,27.93
01/03 17:00:00,4804.918453288958,0.0
01/03 18:00:00,3853.666399327493,0.0
01/03 19:00:00,3785.4039969067467,0.0
01/03 20:00:00,3531.3950118447647,0.0
01/03 21:00:00,3464.1227663900777,0.0
01/03 22:00:00,3150.4173168448024,0.0
01/03 23:00:00,2797.1738177516145,0.0
01/04 00:00:00,2456.7523617971465,0.0
01/04 01:00:00,2452.024871231704,0.0
01/04 02:00:00,2456.047995128723,0.0
01/04 03:00:00,2430.7923823421356,0.0
01/04 04:00:00,2439.9578500342313,0.0
01/04 05:00:00,2527.769193567882,0.0
01/04 06:00:00,2992.4429140510697,0.0
01/04 07:00:00,3751.588403636671,0.0
01/04 08:00:00,7207.543026680367,0.0
01/04 09:00:00,7039.158009131227,21.71
01/04 10:00:00,6857.21253467205,73.23
01/04 11:00:00,6902.65587886952,120.7
01/04 12:00:00,6616.239826758658,228.21
01/04 13:00:00,6926.084551538387,201.43
01/04 14:00:00,6831.345718893621,173.21
01/04 15:00:00,6915.138224143599,112.72
01/04 16:00:00,6922.786267140868,15.61
01/04 17:00:00,4798.8439889958545,0.0
01/04 18:00:00,3824.7208357237982,0.0
01/04 19:00:00,3775.431477206267,0.0
01/04 20:00:00,3578.1550351658284,0.0
01/04 21:00:00,3474.0561924403173,0.0
01/04 22:00:00,3153.202397669467,0.0
01/04 23:00:00,2827.822304078461,0.0
01/05 00:00:00,2509.6479347117984,0.0
01/05 01:00:00,2480.498796132135,0.0
01/05 02:00:00,2463.8096003502255,0.0
01/05 03:00:00,2445.45819334028,0.0
01/05 04:00:00,2459.433940417097,0.0
01/05 05:00:00,2575.2601664059284,0.0
01/05 06:00:00,2956.353818837514,0.0
01/05 07:00:00,3744.7646821695057,0.0
01/05 08:00:00,7151.101682408697,1.0
01/05 09:00:00,6800.544684969039,60.76
01/05 10:00:00,6703.116924926697,114.14
01/05 11:00:00,6707.292232953865,171.61
01/05 12:00:00,6398.104597124326,208.73
01/05 13:00:00,6699.39073159148,228.42
01/05 14:00:00,6646.44145626158,192.76
01/05 15:00:00,6661.963532449974,133.19
01/05 16:00:00,6671.978667064044,30.87
01/05 17:00:00,4680.13848012592,0.0
01/05 18:00:00,3736.5318056554315,0.0
01/05 19:00:00,3738.943058611398,0.0
01/05 20:00:00,3469.9228489887746,0.0
01/05 21:00:00,3361.7239684267115,0.0
01/05 22:00:00,3121.863945863915,0.0
01/05 23:00:00,2849.8618848367228,0.0
01/06 00:00:00,2510.8111014528154,0.0
01/06 01:00:00,2496.9319590076407,0.0
01/06 02:00:00,2478.206919060374,0.0
01/06 03:00:00,2462.6802340262707,0.0
01/06 04:00:00,2504.0370694923995,0.0
01/06 05:00:00,2549.975095371124,0.0
01/06 06:00:00,2927.595860953405,0.0
01/06 07:00:00,3758.381574922013,0.0
01/06 08:00:00,7214.868792535377,0.0
