Name,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,3323.4768909218797
C_subs_hv,,,,,,,,,1186.2119410939943
C_subs_mv,,,,,,,,,485.1099939365061
C_inv,,,,,,,,,270.3588319537375
C_PV,,,,,,,,,419.4
C_storage_capacity,,,,,,,,,0.0
subs_hv_inst_cost,,,,,,,,,10.0
subs_mv_inst_cost,,,,,,,,,400.0
PV_inst_cost,,,,,,,,,50.0
storage_inst_cost,,,,,,,,,-3.2085642794150555e-09
C_electricity,1.0,,,,,,,,0.17501367027550768
C_electricity,2.0,,,,,,,,0.17465671189275184
C_electricity,3.0,,,,,,,,0.17434458731262276
C_electricity,4.0,,,,,,,,0.17497054848938223
C_electricity,5.0,,,,,,,,0.17906307952751643
C_electricity,6.0,,,,,,,,0.1996681102547842
C_electricity,7.0,,,,,,,,0.2342227088387493
C_electricity,8.0,,,,,,,,0.40481042524010685
C_electricity,9.0,,,,,,,,0.40253913977400485
C_electricity,10.0,,,,,,,,0.4006681560476101
C_electricity,11.0,,,,,,,,0.38396489429754593
C_electricity,12.0,,,,,,,,0.372841421538214
C_electricity,13.0,,,,,,,,0.4041879971713008
C_electricity,14.0,,,,,,,,0.41115229828765104
C_electricity,15.0,,,,,,,,0.4151741793828979
C_electricity,16.0,,,,,,,,0.40646285423601175
C_electricity,17.0,,,,,,,,0.296821768822035
C_electricity,18.0,,,,,,,,0.2465029000311406
C_electricity,19.0,,,,,,,,0.24700021030631572
C_electricity,20.0,,,,,,,,0.23627700744104776
C_electricity,21.0,,,,,,,,0.23071350004899555
C_electricity,22.0,,,,,,,,0.21644059849452735
C_electricity,23.0,,,,,,,,0.19742092611907278
C_electricity,24.0,,,,,,,,0.17604556102136462
C_losses,1.0,,,,,,,,6.769013821781988e-05
C_losses,2.0,,,,,,,,6.642089816671347e-05
C_losses,3.0,,,,,,,,6.57893400278989e-05
C_losses,4.0,,,,,,,,6.636583533503706e-05
C_losses,5.0,,,,,,,,7.346954322221782e-05
C_losses,6.0,,,,,,,,0.0001033205670765813
C_losses,7.0,,,,,,,,0.00014584495233868494
C_losses,8.0,,,,,,,,0.0005731734219452973
C_losses,9.0,,,,,,,,0.0005520650460885373
C_losses,10.0,,,,,,,,0.0005529895975004632
C_losses,11.0,,,,,,,,0.0004888635546356875
C_losses,12.0,,,,,,,,0.0004702698091269322
C_losses,13.0,,,,,,,,0.0005728822080793383
C_losses,14.0,,,,,,,,0.000594524998597523
C_losses,15.0,,,,,,,,0.000614649904596906
C_losses,16.0,,,,,,,,0.0006633970588543662
C_losses,17.0,,,,,,,,0.0003552119158462978
C_losses,18.0,,,,,,,,0.0002283917883116653
C_losses,19.0,,,,,,,,0.00022007889718774873
C_losses,20.0,,,,,,,,0.00018688327685066638
C_losses,21.0,,,,,,,,0.00016458898619556444
C_losses,22.0,,,,,,,,0.00013296999152680994
C_losses,23.0,,,,,,,,0.00010410675415901248
C_losses,24.0,,,,,,,,7.04594489605986e-05
unserved_fictitious_power_cost,,,,,,,,,0.0
line_opt,,0.0,Maryjane,,,,,,0.0
line_opt,,1.0,Maryjane,,,,,,1.0
line_opt,,2.0,Maryjane,,,,,,0.0
line_opt,,3.0,Maryjane,,,,,,1.0
line_opt,,4.0,Maryjane,,,,,,0.0
line_opt,,5.0,Maryjane,,,,,,1.0
line_opt,,6.0,Maryjane,,,,,,1.0
line_opt,,7.0,Maryjane,,,,,,1.0
line_opt,,8.0,Maryjane,,,,,,0.0
line_opt,,9.0,Maryjane,,,,,,1.0
line_opt,,10.0,Maryjane,,,,,,0.0
line_opt,,11.0,Maryjane,,,,,,1.0
line_opt,,12.0,Maryjane,,,,,,1.0
line_opt,,13.0,Maryjane,,,,,,1.0
line_opt,,14.0,Maryjane,,,,,,1.0
line_opt,,15.0,Maryjane,,,,,,0.0
