date,total load,irradiation
01/01 00:00:00,13127.335112215687,0.0
01/01 01:00:00,13722.321515331547,0.0
01/01 02:00:00,13634.101442083444,0.0
01/01 03:00:00,13771.843110565667,0.0
01/01 04:00:00,13809.664589273822,0.0
01/01 05:00:00,14106.893459571307,0.0
01/01 06:00:00,16251.772885334374,0.0
01/01 07:00:00,16783.362398995116,0.0
01/01 08:00:00,17517.077149045526,0.0
01/01 09:00:00,17827.482436748334,8.08
01/01 10:00:00,17851.264779294208,37.89
01/01 11:00:00,18106.783728993258,21.25
01/01 12:00:00,18236.054868361494,27.28
01/01 13:00:00,18180.449461786644,30.27
01/01 14:00:00,17979.29500917018,23.22
01/01 15:00:00,18273.122395662056,9.14
01/01 16:00:00,18089.475961717864,0.0
01/01 17:00:00,17928.424138988357,0.0
01/01 18:00:00,16419.830697254045,0.0
01/01 19:00:00,16210.772531471057,0.0
01/01 20:00:00,16173.823502258934,0.0
01/01 21:00:00,15831.05020429806,0.0
01/01 22:00:00,15143.590817544231,0.0
01/01 23:00:00,14542.782021322782,0.0
01/02 00:00:00,16028.656767428229,0.0
01/02 01:00:00,15880.703847693507,0.0
01/02 02:00:00,16124.581680494366,0.0
01/02 03:00:00,15905.691361885078,0.0
01/02 04:00:00,15954.052784802643,0.0
01/02 05:00:00,16513.926218182398,0.0
01/02 06:00:00,19624.90200655754,0.0
01/02 07:00:00,24668.19963455364,0.0
01/02 08:00:00,49272.033499354446,0.0
01/02 09:00:00,48230.92834539733,3.0
01/02 10:00:00,47278.83571868574,19.18
01/02 11:00:00,46311.771463329904,69.47
01/02 12:00:00,44534.63062746303,60.39
01/02 13:00:00,46331.09650504554,142.41
01/02 14:00:00,45610.11606590694,99.28
01/02 15:00:00,46282.125745395555,100.22
01/02 16:00:00,46278.41460688469,19.53
01/02 17:00:00,32297.555838787477,0.0
01/02 18:00:00,25332.448530780654,0.0
01/02 19:00:00,25436.944764798798,0.0
01/02 20:00:00,23635.12296008987,0.0
01/02 21:00:00,22798.846631627606,0.0
01/02 22:00:00,20719.143726119888,0.0
01/02 23:00:00,18441.093129632045,0.0
01/03 00:00:00,15902.857233799103,0.0
01/03 01:00:00,15727.678326646877,0.0
01/03 02:00:00,15954.643144240823,0.0
01/03 03:00:00,15695.760008696117,0.0
01/03 04:00:00,15879.762694794743,0.0
01/03 05:00:00,16433.801619755664,0.0
01/03 06:00:00,19756.25176545339,0.0
01/03 07:00:00,24810.63396623639,0.0
01/03 08:00:00,48787.23531006637,0.0
01/03 09:00:00,48009.89260032986,16.31
01/03 10:00:00,46875.047346994725,37.9
01/03 11:00:00,46429.431794669654,73.97
01/03 12:00:00,44376.933989963596,83.35
01/03 13:00:00,46534.37509987944,200.44
01/03 14:00:00,45473.729846055474,176.09
01/03 15:00:00,46122.07304380169,123.32
01/03 16:00:00,47337.611838590834,27.93
01/03 17:00:00,32852.609329441635,0.0
01/03 18:00:00,25951.90580113435,0.0
01/03 19:00:00,25400.570401943634,0.0
01/03 20:00:00,23533.99126942964,0.0
01/03 21:00:00,22791.47552439988,0.0
01/03 22:00:00,20499.798119570703,0.0
01/03 23:00:00,18165.961180194572,0.0
01/04 00:00:00,15747.813879946538,0.0
01/04 01:00:00,15679.770481877853,0.0
01/04 02:00:00,15692.315616720634,0.0
01/04 03:00:00,15520.62618150231,0.0
01/04 04:00:00,15610.570278588415,0.0
01/04 05:00:00,16301.892569069538,0.0
01/04 06:00:00,19495.10039361687,0.0
01/04 07:00:00,24562.67189030364,0.0
01/04 08:00:00,48291.343969570444,0.0
01/04 09:00:00,47168.0980423744,21.71
01/04 10:00:00,46002.77338912335,73.23
01/04 11:00:00,46364.47274609789,120.7
01/04 12:00:00,44467.16389072792,228.21
01/04 13:00:00,46459.48996487282,201.43
01/04 14:00:00,45696.410131671575,173.21
01/04 15:00:00,46309.10953939319,112.72
01/04 16:00:00,47074.3686921583,15.61
01/04 17:00:00,32786.56495020005,0.0
01/04 18:00:00,25746.6928531671,0.0
01/04 19:00:00,25347.814716594552,0.0
01/04 20:00:00,23839.44436084273,0.0
01/04 21:00:00,22849.19521363776,0.0
01/04 22:00:00,20508.473941395274,0.0
01/04 23:00:00,18356.931048118928,0.0
01/05 00:00:00,16079.100277072885,0.0
01/05 01:00:00,15854.920817896073,0.0
01/05 02:00:00,15746.489761968132,0.0
01/05 03:00:00,15609.06562303967,0.0
01/05 04:00:00,15732.160047515115,0.0
01/05 05:00:00,16601.294264193853,0.0
01/05 06:00:00,19235.6241765596,0.0
01/05 07:00:00,24482.86030865302,0.0
01/05 08:00:00,47883.607640840484,1.0
01/05 09:00:00,45514.97907506786,60.76
01/05 10:00:00,44927.62598845117,114.14
01/05 11:00:00,45027.017399887634,171.61
01/05 12:00:00,42982.64022473853,208.73
01/05 13:00:00,44946.753622063545,228.42
01/05 14:00:00,44502.44998403758,192.76
01/05 15:00:00,44621.83220003902,133.19
01/05 16:00:00,45400.480974841616,30.87
01/05 17:00:00,32009.69719807695,0.0
01/05 18:00:00,25187.66103198965,0.0
01/05 19:00:00,25080.99094685903,0.0
01/05 20:00:00,23084.17106682027,0.0
01/05 21:00:00,22060.435569427656,0.0
01/05 22:00:00,20270.892937602242,0.0
01/05 23:00:00,18477.085097017516,0.0
01/06 00:00:00,16079.193497291253,0.0
01/06 01:00:00,15950.175940636836,0.0
01/06 02:00:00,15826.981551883015,0.0
01/06 03:00:00,15716.933908981588,0.0
