Name,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,1795.3404847159252
C_subs_hv,,,,,,,,,2000.0
C_subs_mv,,,,,,,,,608.9969305435552
C_inv,,,,,,,,,2410.2363942156057
C_PV,,,,,,,,,419.4
C_storage_capacity,,,,,,,,,43.08017455307311
subs_hv_inst_cost,,,,,,,,,10.0
subs_mv_inst_cost,,,,,,,,,400.0
PV_inst_cost,,,,,,,,,50.0
storage_inst_cost,,,,,,,,,61.5
C_electricity,1.0,,,,,,,,0.14094586099485718
C_electricity,2.0,,,,,,,,0.1405610835405774
C_electricity,3.0,,,,,,,,0.14023621519981105
C_electricity,4.0,,,,,,,,0.14087305178650694
C_electricity,5.0,,,,,,,,0.14530856792688374
C_electricity,6.0,,,,,,,,0.1718852559027423
C_electricity,7.0,,,,,,,,0.21805924295615164
C_electricity,8.0,,,,,,,,0.7
C_electricity,9.0,,,,,,,,0.7
C_electricity,10.0,,,,,,,,0.7
C_electricity,11.0,,,,,,,,0.7
C_electricity,12.0,,,,,,,,0.7
C_electricity,13.0,,,,,,,,0.7
C_electricity,14.0,,,,,,,,0.7
C_electricity,15.0,,,,,,,,0.7
C_electricity,16.0,,,,,,,,0.7
C_electricity,17.0,,,,,,,,0.27353196421143744
C_electricity,18.0,,,,,,,,0.22314835302650873
C_electricity,19.0,,,,,,,,0.2234710084621871
C_electricity,20.0,,,,,,,,0.21019140899545455
C_electricity,21.0,,,,,,,,0.2026561802632509
C_electricity,22.0,,,,,,,,0.1835167547012826
C_electricity,23.0,,,,,,,,0.16395412865121534
C_electricity,24.0,,,,,,,,0.14202688773726405
C_losses,1.0,,,,,,,,0.0004320219444256764
C_losses,2.0,,,,,,,,0.00041905933128668607
C_losses,3.0,,,,,,,,0.0004130711049634594
C_losses,4.0,,,,,,,,0.00041821893260305087
C_losses,5.0,,,,,,,,0.00048571728456289455
C_losses,6.0,,,,,,,,0.0007925881232954579
C_losses,7.0,,,,,,,,0.0013306182976843132
C_losses,8.0,,,,,,,,0.07622481190594
C_losses,9.0,,,,,,,,0.0766667772325118
