date,total load,irradiation
01/01 00:00:00,759.3691889326799,0.0
01/01 01:00:00,787.7257066329778,0.0
01/01 02:00:00,776.789127881083,0.0
01/01 03:00:00,781.812716582432,0.0
01/01 04:00:00,793.7232181218282,0.0
01/01 05:00:00,805.4214934953803,0.0
01/01 06:00:00,928.8711981643038,0.0
01/01 07:00:00,989.3292260152898,0.0
01/01 08:00:00,1110.7519585514851,0.0
01/01 09:00:00,1120.3039410214076,8.08
01/01 10:00:00,1104.7411578888882,37.89
01/01 11:00:00,1122.057250130675,21.25
01/01 12:00:00,1120.8817473592273,27.28
01/01 13:00:00,1104.1952854821443,30.27
01/01 14:00:00,1098.0767028884122,23.22
01/01 15:00:00,1112.7289651425394,9.14
01/01 16:00:00,1038.765396461722,0.0
01/01 17:00:00,1054.9844816841594,0.0
01/01 18:00:00,1028.8528014674416,0.0
01/01 19:00:00,1014.0523235627164,0.0
01/01 20:00:00,1021.3378534006205,0.0
01/01 21:00:00,989.4691175534832,0.0
01/01 22:00:00,923.8050813194084,0.0
01/01 23:00:00,853.1793345350322,0.0
01/02 00:00:00,891.890313362064,0.0
01/02 01:00:00,876.0069677906047,0.0
01/02 02:00:00,884.4295788026303,0.0
01/02 03:00:00,865.7748092233511,0.0
01/02 04:00:00,872.5212428911614,0.0
01/02 05:00:00,914.4544444961589,0.0
01/02 06:00:00,1083.9119461684627,0.0
01/02 07:00:00,1438.3880616775639,0.0
01/02 08:00:00,2396.036843802149,0.0
01/02 09:00:00,2358.6677012778487,3.0
01/02 10:00:00,2308.3521845873147,19.18
01/02 11:00:00,2276.928912348477,69.47
01/02 12:00:00,2224.7514115492568,60.39
01/02 13:00:00,2281.216791859676,142.41
01/02 14:00:00,2261.0848998216607,99.28
01/02 15:00:00,2270.456027301623,100.22
01/02 16:00:00,2052.5927632216735,19.53
01/02 17:00:00,1645.6333492195504,0.0
01/02 18:00:00,1462.7471024553156,0.0
01/02 19:00:00,1457.0744234419305,0.0
01/02 20:00:00,1398.472317355278,0.0
01/02 21:00:00,1360.6981885770965,0.0
01/02 22:00:00,1228.973778326008,0.0
01/02 23:00:00,1010.8076526980494,0.0
01/03 00:00:00,875.3119505143792,0.0
01/03 01:00:00,866.3886305806133,0.0
01/03 02:00:00,868.6952227952086,0.0
01/03 03:00:00,859.2703106547999,0.0
01/03 04:00:00,873.4457829986288,0.0
01/03 05:00:00,910.1653919841455,0.0
01/03 06:00:00,1088.3684202920822,0.0
01/03 07:00:00,1460.1109448870818,0.0
01/03 08:00:00,2374.9763183064297,0.0
01/03 09:00:00,2350.4566522741766,16.31
01/03 10:00:00,2297.236903272785,37.9
01/03 11:00:00,2283.2321422107016,73.97
01/03 12:00:00,2206.5666301529095,83.35
01/03 13:00:00,2273.2363204087346,200.44
01/03 14:00:00,2230.2668903100894,176.09
01/03 15:00:00,2265.359085109332,123.32
01/03 16:00:00,2101.893645368511,27.93
01/03 17:00:00,1674.1740485243542,0.0
01/03 18:00:00,1481.8169178112441,0.0
01/03 19:00:00,1460.705548639646,0.0
01/03 20:00:00,1398.9997946452872,0.0
01/03 21:00:00,1357.916172982475,0.0
01/03 22:00:00,1220.4145381965175,0.0
01/03 23:00:00,985.8509354855714,0.0
