date,total load,irradiation
01/01 00:00:00,332.04682887620646,0.0
01/01 01:00:00,351.43129855463144,0.0
01/01 02:00:00,350.24024751889766,0.0
01/01 03:00:00,355.3321719979173,0.0
01/01 04:00:00,352.09618978889944,0.0
01/01 05:00:00,354.4133593491851,0.0
01/01 06:00:00,403.38745396808343,0.0
01/01 07:00:00,405.82483507066013,0.0
01/01 08:00:00,406.89431828558105,0.0
01/01 09:00:00,410.7244375724549,8.08
01/01 10:00:00,402.1463193402825,37.89
01/01 11:00:00,400.78257579166154,21.25
01/01 12:00:00,403.7007420558496,27.28
01/01 13:00:00,407.29583975715974,30.27
01/01 14:00:00,402.5314438663036,23.22
01/01 15:00:00,408.6579460884437,9.14
01/01 16:00:00,408.57872827017763,0.0
01/01 17:00:00,403.73315804868827,0.0
01/01 18:00:00,362.9592756146374,0.0
01/01 19:00:00,363.6555775967478,0.0
01/01 20:00:00,362.5403179660835,0.0
01/01 21:00:00,359.20744613390735,0.0
01/01 22:00:00,357.9373451379175,0.0
01/01 23:00:00,360.41255655559706,0.0
01/02 00:00:00,410.6948441886111,0.0
01/02 01:00:00,410.2653585593342,0.0
01/02 02:00:00,417.5277561699988,0.0
01/02 03:00:00,413.9913896368147,0.0
01/02 04:00:00,411.82817515061424,0.0
01/02 05:00:00,417.0174639298608,0.0
01/02 06:00:00,490.8301226956617,0.0
01/02 07:00:00,593.938099506966,0.0
01/02 08:00:00,1302.9317257503005,0.0
01/02 09:00:00,1263.4803392433412,3.0
01/02 10:00:00,1232.1470350968007,19.18
01/02 11:00:00,1199.909892728681,69.47
01/02 12:00:00,1152.400295379442,60.39
01/02 13:00:00,1201.4377692267526,142.41
01/02 14:00:00,1183.0723343406592,99.28
01/02 15:00:00,1202.7881248472386,100.22
01/02 16:00:00,1236.3231111861862,19.53
01/02 17:00:00,797.9952448976666,0.0
01/02 18:00:00,594.4373738647,0.0
01/02 19:00:00,602.8742792622662,0.0
01/02 20:00:00,557.6159320770776,0.0
01/02 21:00:00,536.8094645386208,0.0
01/02 22:00:00,498.57892211229193,0.0
01/02 23:00:00,468.12780789314036,0.0
01/03 00:00:00,408.74641660523093,0.0
01/03 01:00:00,405.82400998316876,0.0
01/03 02:00:00,413.91186714375795,0.0
01/03 03:00:00,406.8808487286526,0.0
01/03 04:00:00,408.04920449119334,0.0
01/03 05:00:00,413.48506114688195,0.0
01/03 06:00:00,494.179011408119,0.0
01/03 07:00:00,593.7106246753293,0.0
01/03 08:00:00,1282.6295040812286,0.0
01/03 09:00:00,1241.2508216555466,16.31
01/03 10:00:00,1199.923214829719,37.9
01/03 11:00:00,1184.037828486075,73.97
01/03 12:00:00,1130.790924198563,83.35
01/03 13:00:00,1193.1953060683177,200.44
01/03 14:00:00,1165.2008262532331,176.09
01/03 15:00:00,1180.1404677695111,123.32
01/03 16:00:00,1248.6467001102146,27.93
01/03 17:00:00,800.6400680521004,0.0
01/03 18:00:00,603.8833623945213,0.0
01/03 19:00:00,594.5880981988109,0.0
01/03 20:00:00,549.8072073600052,0.0
01/03 21:00:00,535.9965550714326,0.0
01/03 22:00:00,491.3463046180765,0.0
01/03 23:00:00,462.6554475720279,0.0
01/04 00:00:00,403.8843148587873,0.0
01/04 01:00:00,406.006484585102,0.0
01/04 02:00:00,406.16513928109725,0.0
01/04 03:00:00,402.55794218855453,0.0
01/04 04:00:00,401.66270285735146,0.0
01/04 05:00:00,410.5090068071083,0.0
01/04 06:00:00,487.63314579352857,0.0
01/04 07:00:00,590.4216700142447,0.0
01/04 08:00:00,1271.827182679823,0.0
01/04 09:00:00,1218.4203870675096,21.71
01/04 10:00:00,1176.567261919687,73.23
01/04 11:00:00,1182.3883224581887,120.7
01/04 12:00:00,1132.2965240580336,228.21
01/04 13:00:00,1192.3890849787006,201.43
01/04 14:00:00,1171.6734458229694,173.21
01/04 15:00:00,1188.930100956892,112.72
01/04 16:00:00,1245.4572447253186,15.61
01/04 17:00:00,801.665636345609,0.0
01/04 18:00:00,599.6200734115874,0.0
01/04 19:00:00,595.2404240728268,0.0
01/04 20:00:00,557.693189011465,0.0
01/04 21:00:00,538.7165934843464,0.0
01/04 22:00:00,493.94179231450687,0.0
01/04 23:00:00,468.9063548741476,0.0
01/05 00:00:00,414.5116997784994,0.0
01/05 01:00:00,411.302441470286,0.0
01/05 02:00:00,409.10295892197087,0.0
01/05 03:00:00,405.4970514749552,0.0
01/05 04:00:00,406.51162359817056,0.0
01/05 05:00:00,418.8912775383919,0.0
01/05 06:00:00,484.90151207255633,0.0
01/05 07:00:00,590.1177938500261,0.0
01/05 08:00:00,1263.8242890986864,1.0
01/05 09:00:00,1170.5570718047907,60.76
01/05 10:00:00,1150.764861199729,114.14
01/05 11:00:00,1152.8157603729564,171.61
01/05 12:00:00,1095.6674140806244,208.73
01/05 13:00:00,1152.024718580269,228.42
01/05 14:00:00,1141.9705005026033,192.76
01/05 15:00:00,1142.0478248416307,133.19
01/05 16:00:00,1198.3422768968726,30.87
01/05 17:00:00,780.6152847769749,0.0
01/05 18:00:00,585.9637188787373,0.0
01/05 19:00:00,589.2157718649654,0.0
01/05 20:00:00,546.9000220529498,0.0
01/05 21:00:00,524.2637393377807,0.0
01/05 22:00:00,493.40797418779766,0.0
01/05 23:00:00,475.74190311443135,0.0
01/06 00:00:00,415.2140262200743,0.0
01/06 01:00:00,415.76857208879466,0.0
01/06 02:00:00,413.16928998313205,0.0
01/06 03:00:00,410.88810174123597,0.0
01/06 04:00:00,415.290109421464,0.0
01/06 05:00:00,418.1614744817386,0.0
