date,total load,irradiation
01/01 00:00:00,766.4600948584798,0.0
01/01 01:00:00,811.252806391712,0.0
01/01 02:00:00,810.5005029457741,0.0
01/01 03:00:00,821.8138223005657,0.0
01/01 04:00:00,817.6827783028779,0.0
01/01 05:00:00,827.2256976486045,0.0
01/01 06:00:00,930.9685684045387,0.0
01/01 07:00:00,934.9121226993531,0.0
01/01 08:00:00,941.8664423330752,0.0
01/01 09:00:00,960.7776776480631,8.08
01/01 10:00:00,956.9016661243692,37.89
01/01 11:00:00,963.2460615623926,21.25
01/01 12:00:00,969.4796868177982,27.28
01/01 13:00:00,976.797632696461,30.27
01/01 14:00:00,962.6594498966091,23.22
01/01 15:00:00,978.1027551905222,9.14
01/01 16:00:00,973.6987597667132,0.0
01/01 17:00:00,942.4725338321736,0.0
01/01 18:00:00,842.5724266226853,0.0
01/01 19:00:00,844.8354807714425,0.0
01/01 20:00:00,841.7969267056641,0.0
01/01 21:00:00,835.1368351731953,0.0
01/01 22:00:00,828.0182379606799,0.0
01/01 23:00:00,830.8464853929024,0.0
01/02 00:00:00,942.5605700129645,0.0
01/02 01:00:00,941.5499824257797,0.0
01/02 02:00:00,961.23007035494,0.0
01/02 03:00:00,951.8155968838247,0.0
01/02 04:00:00,951.3225156223191,0.0
01/02 05:00:00,968.5785161636443,0.0
01/02 06:00:00,1130.2908230146136,0.0
01/02 07:00:00,1349.8960785528432,0.0
01/02 08:00:00,2821.1478325027188,0.0
01/02 09:00:00,2758.5677010633794,3.0
01/02 10:00:00,2707.8849738477174,19.18
01/02 11:00:00,2645.5220264656255,69.47
01/02 12:00:00,2521.4152822528417,60.39
01/02 13:00:00,2651.100003137308,142.41
01/02 14:00:00,2612.4175496379767,99.28
01/02 15:00:00,2660.2875229253486,100.22
01/02 16:00:00,2709.9866713477904,19.53
01/02 17:00:00,1762.7255392805744,0.0
01/02 18:00:00,1329.8705247501416,0.0
01/02 19:00:00,1352.4438202779618,0.0
01/02 20:00:00,1243.0491123483812,0.0
01/02 21:00:00,1231.936979372292,0.0
01/02 22:00:00,1142.7806297733187,0.0
01/02 23:00:00,1069.2521695121598,0.0
01/03 00:00:00,940.1409017563018,0.0
01/03 01:00:00,933.390915601303,0.0
01/03 02:00:00,954.0183269021743,0.0
01/03 03:00:00,936.7465049948268,0.0
01/03 04:00:00,945.7764031104509,0.0
01/03 05:00:00,964.8249260175853,0.0
01/03 06:00:00,1140.6803261031419,0.0
01/03 07:00:00,1351.9011594057718,0.0
01/03 08:00:00,2792.1854990640054,0.0
01/03 09:00:00,2735.8424593001587,16.31
01/03 10:00:00,2667.9686701368823,37.9
01/03 11:00:00,2638.3046593168697,73.97
01/03 12:00:00,2500.0808656926233,83.35
01/03 13:00:00,2658.1348246109033,200.44
01/03 14:00:00,2602.275490271235,176.09
01/03 15:00:00,2636.034086846901,123.32
01/03 16:00:00,2764.047991326485,27.93
01/03 17:00:00,1783.639670586542,0.0
01/03 18:00:00,1365.1535096045804,0.0
01/03 19:00:00,1338.45069406985,0.0
01/03 20:00:00,1227.4610842552097,0.0
01/03 21:00:00,1231.1874813578083,0.0
01/03 22:00:00,1126.579322001108,0.0
01/03 23:00:00,1055.7667870592613,0.0
01/04 00:00:00,927.7396518071745,0.0
01/04 01:00:00,932.7210729692034,0.0
01/04 02:00:00,934.6253567826784,0.0
01/04 03:00:00,925.61734647503,0.0
01/04 04:00:00,930.2715048880201,0.0
01/04 05:00:00,957.2835966740827,0.0
01/04 06:00:00,1125.5003009903116,0.0
01/04 07:00:00,1344.1381103619885,0.0
01/04 08:00:00,2770.9464464259167,0.0
01/04 09:00:00,2690.1435090551604,21.71
01/04 10:00:00,2623.7486602466474,73.23
