date,total load,irradiation
01/01 00:00:00,205.20682432187962,0.0
01/01 01:00:00,217.3349898584402,0.0
01/01 02:00:00,216.85317209409632,0.0
01/01 03:00:00,220.15961075988142,0.0
01/01 04:00:00,217.97201961499545,0.0
01/01 05:00:00,218.42766922356194,0.0
01/01 06:00:00,248.13110323272437,0.0
01/01 07:00:00,248.3257549122802,0.0
01/01 08:00:00,249.07025251406554,0.0
01/01 09:00:00,257.23185633129685,8.08
01/01 10:00:00,265.0556783431951,37.89
01/01 11:00:00,266.85828659289274,21.25
01/01 12:00:00,275.85278848043606,27.28
01/01 13:00:00,278.0344847486991,30.27
01/01 14:00:00,276.0774187706564,23.22
01/01 15:00:00,278.96981173122754,9.14
01/01 16:00:00,277.2052634310926,0.0
01/01 17:00:00,258.44045042407623,0.0
01/01 18:00:00,223.21772774777637,0.0
01/01 19:00:00,220.57042945358145,0.0
01/01 20:00:00,220.57095681358635,0.0
01/01 21:00:00,219.7635286143478,0.0
01/01 22:00:00,221.4176053211958,0.0
01/01 23:00:00,222.99163006316212,0.0
01/02 00:00:00,258.28851524919435,0.0
01/02 01:00:00,258.63139930781534,0.0
01/02 02:00:00,263.5334655429865,0.0
01/02 03:00:00,261.46591561086206,0.0
01/02 04:00:00,260.0637099060118,0.0
01/02 05:00:00,262.46577640271727,0.0
01/02 06:00:00,309.0795825790509,0.0
01/02 07:00:00,385.0879777373194,0.0
01/02 08:00:00,837.298389462259,0.0
01/02 09:00:00,826.0628949241121,3.0
01/02 10:00:00,810.9215472505701,19.18
01/02 11:00:00,789.8530659761943,69.47
01/02 12:00:00,749.4247308100263,60.39
01/02 13:00:00,792.2291056446514,142.41
01/02 14:00:00,781.2501710738103,99.28
01/02 15:00:00,794.9743910990171,100.22
01/02 16:00:00,812.9568871721417,19.53
01/02 17:00:00,527.2936704765041,0.0
01/02 18:00:00,382.79351031071127,0.0
01/02 19:00:00,388.7011354391785,0.0
01/02 20:00:00,354.13361716189814,0.0
01/02 21:00:00,339.0467575360283,0.0
01/02 22:00:00,316.4750053015352,0.0
01/02 23:00:00,296.593346150889,0.0
01/03 00:00:00,257.8107547798832,0.0
01/03 01:00:00,256.41892898038924,0.0
01/03 02:00:00,261.7556837743737,0.0
01/03 03:00:00,257.4903134829982,0.0
01/03 04:00:00,258.7975021012629,0.0
01/03 05:00:00,261.51366846032516,0.0
01/03 06:00:00,313.19028612332244,0.0
01/03 07:00:00,388.6008648011189,0.0
01/03 08:00:00,836.3172309803942,0.0
01/03 09:00:00,835.6420549809201,16.31
01/03 10:00:00,817.7326083092776,37.9
01/03 11:00:00,806.9432599500324,73.97
01/03 12:00:00,761.5777103349027,83.35
01/03 13:00:00,811.6344541926053,200.44
01/03 14:00:00,794.9028257264167,176.09
01/03 15:00:00,805.5135518586035,123.32
