Name,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,257.3665067177601
C_subs_hv,,,,,,,,,122.8162427809729
C_subs_mv,,,,,,,,,57.2551636016816
C_inv,,,,,,,,,39.76661946575918
C_PV,,,,,,,,,76.8
C_storage_capacity,,,,,,,,,0.0
subs_hv_inst_cost,,,,,,,,,10.0
subs_mv_inst_cost,,,,,,,,,100.0
PV_inst_cost,,,,,,,,,9.0
storage_inst_cost,,,,,,,,,-8.618332703522476e-09
C_electricity,1.0,,,,,,,,0.01435250790980076
C_electricity,2.0,,,,,,,,0.014352513841222023
C_electricity,3.0,,,,,,,,0.014352511963014328
C_electricity,4.0,,,,,,,,0.014352511536969969
C_electricity,5.0,,,,,,,,0.014523760364262306
C_electricity,6.0,,,,,,,,0.017150521769437755
C_electricity,7.0,,,,,,,,0.0213815458452111
C_electricity,8.0,,,,,,,,0.042825140733133996
C_electricity,9.0,,,,,,,,0.041961006342558525
C_electricity,10.0,,,,,,,,0.04063926877041179
C_electricity,11.0,,,,,,,,0.03995215358688469
C_electricity,12.0,,,,,,,,0.03612665488504391
C_electricity,13.0,,,,,,,,0.04142531045216727
C_electricity,14.0,,,,,,,,0.04060089505643883
C_electricity,15.0,,,,,,,,0.04099819075717558
C_electricity,16.0,,,,,,,,0.04298568497334051
C_electricity,17.0,,,,,,,,0.02895986849190082
C_electricity,18.0,,,,,,,,0.022033320825399928
C_electricity,19.0,,,,,,,,0.022240279812090598
C_electricity,20.0,,,,,,,,0.020446033297657006
C_electricity,21.0,,,,,,,,0.019079939500474822
C_electricity,22.0,,,,,,,,0.017624434459315434
C_electricity,23.0,,,,,,,,0.016721322293938294
C_electricity,24.0,,,,,,,,0.014354136724377912
C_losses,1.0,,,,,,,,3.4003373129898043e-06
C_losses,2.0,,,,,,,,3.402795624556413e-06
C_losses,3.0,,,,,,,,3.401994749247126e-06
C_losses,4.0,,,,,,,,3.401881997899625e-06
C_losses,5.0,,,,,,,,3.486316743345924e-06
C_losses,6.0,,,,,,,,4.903178381665622e-06
C_losses,7.0,,,,,,,,7.5849050049109636e-06
C_losses,8.0,,,,,,,,3.491759593060186e-05
C_losses,9.0,,,,,,,,3.132519143101631e-05
C_losses,10.0,,,,,,,,2.882872630541468e-05
C_losses,11.0,,,,,,,,2.7688938780877024e-05
C_losses,12.0,,,,,,,,2.235392567779866e-05
C_losses,13.0,,,,,,,,3.0227189740937155e-05
C_losses,14.0,,,,,,,,2.8729170915856618e-05
C_losses,15.0,,,,,,,,2.936714579613035e-05
C_losses,16.0,,,,,,,,3.296044672184521e-05
