date,total load,irradiation
01/01 00:00:00,647.9928351526167,0.0
01/01 01:00:00,1176.771601429507,0.0
01/01 02:00:00,1992.0376327330935,0.0
01/01 03:00:00,2447.8342704080005,0.0
01/01 04:00:00,2808.6423440757094,0.0
01/01 05:00:00,3846.3695997025866,0.0
01/01 06:00:00,5243.33671195504,0.0
01/01 07:00:00,4801.125473991796,13.3
01/01 08:00:00,3136.1541930866756,141.11
01/01 09:00:00,2968.470695502742,249.66
01/01 10:00:00,4196.084750530627,336.86
01/01 11:00:00,4158.906589572935,359.26
01/01 12:00:00,5214.9753343304,337.61
01/01 13:00:00,5437.978983465465,266.96
01/01 14:00:00,5903.169496259693,153.46
01/01 15:00:00,5896.380188053509,16.2
01/01 16:00:00,4022.026670832226,0.0
01/01 17:00:00,3096.560397749068,0.0
01/01 18:00:00,2867.0318251135113,0.0
01/01 19:00:00,3331.051960310776,0.0
01/01 20:00:00,2577.9262976674736,0.0
01/01 21:00:00,2941.7220553912066,0.0
01/01 22:00:00,3139.984603962237,0.0
01/01 23:00:00,3828.1611558656914,0.0
01/02 00:00:00,647.9928351526167,0.0
01/02 01:00:00,1176.771601429507,0.0
01/02 02:00:00,1992.0376327330935,0.0
01/02 03:00:00,2447.8342704080005,0.0
01/02 04:00:00,2808.6423440757094,0.0
01/02 05:00:00,3846.3695997025866,0.0
01/02 06:00:00,5243.33671195504,0.0
01/02 07:00:00,4801.125473991796,13.1
01/02 08:00:00,3136.1541930866756,132.96
01/02 09:00:00,2968.470695502742,241.11
01/02 10:00:00,4196.084750530627,329.01
01/02 11:00:00,4158.906589572935,330.21
01/02 12:00:00,5214.9753343304,313.06
01/02 13:00:00,5437.978983465465,261.96
01/02 14:00:00,5903.169496259693,146.36
01/02 15:00:00,5896.380188053509,16.55
01/02 16:00:00,4022.026670832226,0.0
01/02 17:00:00,3096.560397749068,0.0
01/02 18:00:00,2867.0318251135113,0.0
01/02 19:00:00,3331.051960310776,0.0
01/02 20:00:00,2577.9262976674736,0.0
01/02 21:00:00,2941.7220553912066,0.0
01/02 22:00:00,3139.984603962237,0.0
