date,total load,irradiation
01/01 00:00:00,147.05024149797526,0.0
01/01 01:00:00,269.82883931837176,0.0
01/01 02:00:00,459.84364265302054,0.0
01/01 03:00:00,565.3585031694545,0.0
01/01 04:00:00,647.9442877576473,0.0
01/01 05:00:00,886.9189732891812,0.0
01/01 06:00:00,1211.4184315203702,0.0
01/01 07:00:00,1107.345416179088,13.3
01/01 08:00:00,727.4685341922678,141.11
01/01 09:00:00,688.5450130169231,249.66
01/01 10:00:00,974.0217435231018,336.86
01/01 11:00:00,963.5474240363415,359.26
01/01 12:00:00,1210.9508562395122,337.61
01/01 13:00:00,1262.743180665756,266.96
01/01 14:00:00,1369.3920594819392,153.46
01/01 15:00:00,1369.41930089748,16.2
01/01 16:00:00,929.526290194857,0.0
01/01 17:00:00,714.8926337398885,0.0
01/01 18:00:00,659.9402238536071,0.0
01/01 19:00:00,766.9636928804408,0.0
01/01 20:00:00,590.3642301303653,0.0
01/01 21:00:00,678.4742661971943,0.0
01/01 22:00:00,726.6097396068781,0.0
01/01 23:00:00,886.4736852017306,0.0
01/02 00:00:00,147.05024149797526,0.0
01/02 01:00:00,269.82883931837176,0.0
01/02 02:00:00,459.84364265302054,0.0
01/02 03:00:00,565.3585031694545,0.0
01/02 04:00:00,647.9442877576473,0.0
01/02 05:00:00,886.9189732891812,0.0
01/02 06:00:00,1211.4184315203702,0.0
01/02 07:00:00,1107.345416179088,13.1
01/02 08:00:00,727.4685341922678,132.96
01/02 09:00:00,688.5450130169231,241.11
01/02 10:00:00,974.0217435231018,329.01
01/02 11:00:00,963.5474240363415,330.21
01/02 12:00:00,1210.9508562395122,313.06
01/02 13:00:00,1262.743180665756,261.96
01/02 14:00:00,1369.3920594819392,146.36
01/02 15:00:00,1369.41930089748,16.55
01/02 16:00:00,929.526290194857,0.0
01/02 17:00:00,714.8926337398885,0.0
01/02 18:00:00,659.9402238536071,0.0
01/02 19:00:00,766.9636928804408,0.0
01/02 20:00:00,590.3642301303653,0.0
01/02 21:00:00,678.4742661971943,0.0
01/02 22:00:00,726.6097396068781,0.0
01/02 23:00:00,886.4736852017306,0.0
01/03 00:00:00,147.05024149797526,0.0
01/03 01:00:00,269.82883931837176,0.0
01/03 02:00:00,459.84364265302054,0.0
01/03 03:00:00,565.3585031694545,0.0
01/03 04:00:00,647.9442877576473,0.0
01/03 05:00:00,886.9189732891812,0.0
01/03 06:00:00,1211.4184315203702,0.0
01/03 07:00:00,1107.345416179088,14.05
01/03 08:00:00,727.4685341922678,136.41
01/03 09:00:00,688.5450130169231,261.81
01/03 10:00:00,974.0217435231018,344.51
01/03 11:00:00,963.5474240363415,374.16
01/03 12:00:00,1210.9508562395122,349.21
01/03 13:00:00,1262.743180665756,274.31
01/03 14:00:00,1369.3920594819392,161.01
01/03 15:00:00,1369.41930089748,17.7
01/03 16:00:00,929.526290194857,0.0
01/03 17:00:00,714.8926337398885,0.0
01/03 18:00:00,659.9402238536071,0.0
01/03 19:00:00,766.9636928804408,0.0
01/03 20:00:00,590.3642301303653,0.0
01/03 21:00:00,678.4742661971943,0.0
01/03 22:00:00,726.6097396068781,0.0
01/03 23:00:00,886.4736852017306,0.0
01/04 00:00:00,147.05024149797526,0.0
01/04 01:00:00,269.82883931837176,0.0
01/04 02:00:00,459.84364265302054,0.0
01/04 03:00:00,565.3585031694545,0.0
01/04 04:00:00,647.9442877576473,0.0
01/04 05:00:00,886.9189732891812,0.0
01/04 06:00:00,1211.4184315203702,0.0
01/04 07:00:00,1107.345416179088,13.7
01/04 08:00:00,727.4685341922678,145.36
01/04 09:00:00,688.5450130169231,261.46
01/04 10:00:00,974.0217435231018,340.86
01/04 11:00:00,963.5474240363415,370.91
01/04 12:00:00,1210.9508562395122,347.86
01/04 13:00:00,1262.743180665756,274.31
01/04 14:00:00,1369.3920594819392,161.76
01/04 15:00:00,1369.41930089748,36.24
01/04 16:00:00,929.526290194857,0.0
01/04 17:00:00,714.8926337398885,0.0
01/04 18:00:00,659.9402238536071,0.0
01/04 19:00:00,766.9636928804408,0.0
01/04 20:00:00,590.3642301303653,0.0
01/04 21:00:00,678.4742661971943,0.0
01/04 22:00:00,726.6097396068781,0.0
01/04 23:00:00,886.4736852017306,0.0
01/05 00:00:00,147.05024149797526,0.0
01/05 01:00:00,269.82883931837176,0.0
01/05 02:00:00,459.84364265302054,0.0
01/05 03:00:00,565.3585031694545,0.0
01/05 04:00:00,647.9442877576473,0.0
01/05 05:00:00,886.9189732891812,0.0
