date,total load,irradiation
01/01 00:00:00,155.30065041709585,0.0
01/01 01:00:00,156.23914832112027,0.0
01/01 02:00:00,156.69159195743072,0.0
01/01 03:00:00,155.1784468766064,0.0
01/01 04:00:00,165.33178573754395,0.0
01/01 05:00:00,194.00433656248964,0.0
01/01 06:00:00,227.2151213732097,0.0
01/01 07:00:00,245.85898405721358,0.0
01/01 08:00:00,259.48774101672154,256.55
01/01 09:00:00,266.90951786221854,493.82
01/01 10:00:00,274.53365839701866,554.27
01/01 11:00:00,294.0365173702733,490.7
01/01 12:00:00,287.3190433237219,378.52
01/01 13:00:00,281.2524816656154,206.42
01/01 14:00:00,269.3018784664815,80.85
01/01 15:00:00,283.2080786213644,18.0
01/01 16:00:00,308.22625562006414,10.0
01/01 17:00:00,319.2012670288369,8.0
01/01 18:00:00,297.9125155590406,5.0
01/01 19:00:00,282.7803685078802,2.0
01/01 20:00:00,276.18455731624215,0.0
01/01 21:00:00,262.42504738251967,0.0
01/01 22:00:00,213.5204596667505,0.0
01/01 23:00:00,180.2523750435424,0.0
01/02 00:00:00,186.54327499132754,0.0
01/02 01:00:00,178.1260700345408,0.0
01/02 02:00:00,182.32138870989712,0.0
01/02 03:00:00,176.42688248435124,0.0
01/02 04:00:00,187.52680688227656,0.0
01/02 05:00:00,221.27247861218515,0.0
01/02 06:00:00,264.7974344845482,0.0
01/02 07:00:00,316.71863273741576,0.0
01/02 08:00:00,621.0616163900479,248.26
01/02 09:00:00,625.0296290782375,429.09
01/02 10:00:00,633.5033985348102,311.43
01/02 11:00:00,653.6451838116376,284.96
01/02 12:00:00,624.7713518565919,292.03
01/02 13:00:00,635.9683386023135,314.19
01/02 14:00:00,612.193909932856,300.61
01/02 15:00:00,622.7221362911442,241.38
01/02 16:00:00,644.7015023757918,146.3
01/02 17:00:00,482.6050892653017,71.74
01/02 18:00:00,416.4407412492878,37.14
01/02 19:00:00,413.7978577011641,7.0
01/02 20:00:00,391.43315565394465,0.0
01/02 21:00:00,322.49733162839055,0.0
01/02 22:00:00,257.99052235321375,0.0
01/02 23:00:00,214.5890403321471,0.0
01/03 00:00:00,182.3070666826613,0.0
01/03 01:00:00,174.63246671545238,0.0
01/03 02:00:00,178.98164480765973,0.0
01/03 03:00:00,173.0163454828018,0.0
01/03 04:00:00,182.0281279151037,0.0
01/03 05:00:00,217.47073187170528,0.0
01/03 06:00:00,257.11565734856003,0.0
01/03 07:00:00,307.58688369421054,0.0
01/03 08:00:00,591.81579149097,287.68
01/03 09:00:00,601.4762055401562,552.91
01/03 10:00:00,606.6644667633273,686.1
01/03 11:00:00,618.4431106498287,720.45
01/03 12:00:00,599.0520527333134,747.81
01/03 13:00:00,604.1580145550605,756.37
01/03 14:00:00,582.0542566457076,683.29
01/03 15:00:00,588.196901275399,520.5
01/03 16:00:00,619.0720170084405,274.27
01/03 17:00:00,469.6015322116126,92.12
01/03 18:00:00,410.9511759320572,4.0
01/03 19:00:00,407.8418524269113,0.0
01/03 20:00:00,386.6577950636423,0.0
01/03 21:00:00,325.9989234605815,0.0
01/03 22:00:00,259.0176291852017,0.0
01/03 23:00:00,215.20659666879763,0.0
01/04 00:00:00,183.57281798724256,0.0
