date,total load,irradiation
01/01 00:00:00,419.93737750391927,0.0
01/01 01:00:00,445.5107357661319,0.0
01/01 02:00:00,444.5748495126586,0.0
01/01 03:00:00,451.39301644093587,0.0
01/01 04:00:00,446.90597453426227,0.0
01/01 05:00:00,447.72643719522694,0.0
01/01 06:00:00,492.49362012363963,0.0
01/01 07:00:00,491.713662490138,0.0
01/01 08:00:00,491.59102178768194,256.55
01/01 09:00:00,500.81124890442754,493.82
01/01 10:00:00,497.5720015492006,554.27
01/01 11:00:00,496.5970590516008,490.7
01/01 12:00:00,502.4181899268185,378.52
01/01 13:00:00,507.7809901423453,206.42
01/01 14:00:00,502.1182147540311,80.85
01/01 15:00:00,509.46908369701055,18.0
01/01 16:00:00,504.5413587297445,10.0
01/01 17:00:00,487.15194268650316,8.0
01/01 18:00:00,444.74662044662125,5.0
01/01 19:00:00,447.6857147723028,2.0
01/01 20:00:00,447.20740153788176,0.0
01/01 21:00:00,445.16650726164397,0.0
01/01 22:00:00,448.3060925444313,0.0
01/01 23:00:00,454.19391147338666,0.0
01/02 00:00:00,496.7623370542339,0.0
01/02 01:00:00,497.3753684278304,0.0
01/02 02:00:00,507.1063381304644,0.0
01/02 03:00:00,502.94429064643555,0.0
01/02 04:00:00,500.3171555134222,0.0
01/02 05:00:00,503.2854939771892,0.0
01/02 06:00:00,572.4112848566527,0.0
01/02 07:00:00,641.7392751594508,0.0
01/02 08:00:00,1192.1582084184283,248.26
01/02 09:00:00,1187.3707079338346,429.09
01/02 10:00:00,1187.4493544943466,311.43
01/02 11:00:00,1182.7303047709904,284.96
01/02 12:00:00,1127.7932932191177,292.03
01/02 13:00:00,1189.7872348862081,314.19
01/02 14:00:00,1181.6624648754366,300.61
01/02 15:00:00,1200.18996839529,241.38
01/02 16:00:00,1174.8679609914498,146.3
01/02 17:00:00,775.0418136472424,71.74
01/02 18:00:00,643.6982202513651,37.14
01/02 19:00:00,666.2265627605308,7.0
01/02 20:00:00,617.982608160818,0.0
01/02 21:00:00,613.2898260257159,0.0
01/02 22:00:00,581.5114478315219,0.0
01/02 23:00:00,551.2256048341633,0.0
01/03 00:00:00,495.71456019665436,0.0
01/03 01:00:00,493.01267954946053,0.0
01/03 02:00:00,503.43766094569594,0.0
01/03 03:00:00,494.9045225762861,0.0
01/03 04:00:00,497.58232105420234,0.0
01/03 05:00:00,501.13194660360296,0.0
01/03 06:00:00,579.2357230177026,0.0
01/03 07:00:00,643.9607336175624,0.0
01/03 08:00:00,1182.3708738020362,287.68
01/03 09:00:00,1192.5765665417612,552.91
01/03 10:00:00,1190.6920666157575,686.1
01/03 11:00:00,1186.9241020835784,720.45
01/03 12:00:00,1125.3017768487434,747.81
01/03 13:00:00,1199.9089334955781,756.37
01/03 14:00:00,1183.5469601871205,683.29
01/03 15:00:00,1196.633041416013,520.5
01/03 16:00:00,1205.9687071864323,274.27
01/03 17:00:00,787.3869983206537,92.12
01/03 18:00:00,670.883844917512,4.0
01/03 19:00:00,660.5219499196485,0.0
01/03 20:00:00,611.0879135399643,0.0
01/03 21:00:00,612.3073435834334,0.0
01/03 22:00:00,572.6093782580926,0.0
01/03 23:00:00,543.971904415972,0.0
01/04 00:00:00,488.8465811978764,0.0
01/04 01:00:00,492.5830875216719,0.0
01/04 02:00:00,493.0185747016308,0.0
01/04 03:00:00,488.79738137237507,0.0
01/04 04:00:00,488.9690247001888,0.0
01/04 05:00:00,497.01810412599974,0.0
01/04 06:00:00,570.8027073703404,0.0
01/04 07:00:00,639.4435728767669,0.0
01/04 08:00:00,1173.7702468238454,447.11
01/04 09:00:00,1185.9140037717523,835.75
01/04 10:00:00,1187.4715687889561,928.63
01/04 11:00:00,1190.5476692404334,946.8
01/04 12:00:00,1131.3237670474973,899.97
01/04 13:00:00,1200.0565758663556,816.41
01/04 14:00:00,1189.99752912308,697.91
01/04 15:00:00,1202.9201624561053,534.35
01/04 16:00:00,1197.739694393765,324.72
01/04 17:00:00,785.179046964745,161.76
01/04 18:00:00,654.4860185319692,66.59
01/04 19:00:00,660.9633168763557,15.0
01/04 20:00:00,620.3064511472523,0.0
01/04 21:00:00,614.9868678565787,0.0
01/04 22:00:00,574.4747554217922,0.0
01/04 23:00:00,550.9938613662164,0.0
01/05 00:00:00,501.9275988313685,0.0
01/05 01:00:00,498.7869726212463,0.0
01/05 02:00:00,496.3391738907051,0.0
01/05 03:00:00,492.20171265061276,0.0
01/05 04:00:00,494.7743641679592,0.0
01/05 05:00:00,507.5845523401497,0.0
01/05 06:00:00,566.8919598379483,0.0
01/05 07:00:00,638.9099851442036,0.0
01/05 08:00:00,1171.3706446317565,430.57
01/05 09:00:00,1165.2748993370928,830.11
01/05 10:00:00,1164.9720588432033,965.5
01/05 11:00:00,1161.7520731181935,1004.74
01/05 12:00:00,1095.0811334632654,981.21
01/05 13:00:00,1159.2906657457247,889.73
01/05 14:00:00,1160.6094868830305,748.68
01/05 15:00:00,1158.5279011363618,557.9
01/05 16:00:00,1157.6480800250947,312.32
01/05 17:00:00,766.8774883888362,125.89
01/05 18:00:00,644.7342041622018,40.15
01/05 19:00:00,655.9991309820239,5.0
01/05 20:00:00,605.2122477178127,0.0
01/05 21:00:00,596.7644064375103,0.0
01/05 22:00:00,573.7195296426157,0.0
01/05 23:00:00,559.1188326031996,0.0
01/06 00:00:00,503.09274769881074,0.0
01/06 01:00:00,504.04105464424333,0.0
01/06 02:00:00,501.2302590317976,0.0
01/06 03:00:00,498.4531616579916,0.0
01/06 04:00:00,505.2420755813306,0.0
01/06 05:00:00,506.463530594482,0.0
01/06 06:00:00,560.491342092662,0.0
01/06 07:00:00,644.3152519170244,0.0
01/06 08:00:00,1179.6635998961308,374.35
01/06 09:00:00,1366.0917272631627,711.02
01/06 10:00:00,1350.2086133735406,811.41
01/06 11:00:00,1359.315543102956,794.67
01/06 12:00:00,1281.3100355910206,686.31
