date,total load,irradiation
01/01 00:00:00,1035.2105240415995,0.0
01/01 01:00:00,1089.4263960196822,0.0
01/01 02:00:00,1088.0291743527214,0.0
01/01 03:00:00,1098.5199423362797,0.0
01/01 04:00:00,1113.6285941011415,0.0
01/01 05:00:00,1101.8920028177572,0.0
01/01 06:00:00,1205.3234311039128,0.0
01/01 07:00:00,1227.997478605388,0.0
01/01 08:00:00,1405.3096351996464,256.55
01/01 09:00:00,1451.206021611511,493.82
01/01 10:00:00,1459.8491386696471,554.27
01/01 11:00:00,1473.215874594051,490.7
01/01 12:00:00,1469.8287806122414,378.52
01/01 13:00:00,1461.0589469040872,206.42
01/01 14:00:00,1460.1278506406616,80.85
01/01 15:00:00,1475.7653313703654,18.0
01/01 16:00:00,1288.5142566730726,10.0
01/01 17:00:00,1262.4144466268713,8.0
01/01 18:00:00,1201.3194617343624,5.0
01/01 19:00:00,1181.3248169251806,2.0
01/01 20:00:00,1182.590194407143,0.0
01/01 21:00:00,1164.7710172843178,0.0
01/01 22:00:00,1150.5888883709094,0.0
01/01 23:00:00,1118.241605702111,0.0
01/02 00:00:00,1245.2911344072736,0.0
01/02 01:00:00,1234.5747536188805,0.0
01/02 02:00:00,1256.0095933590655,0.0
01/02 03:00:00,1228.79445565921,0.0
01/02 04:00:00,1234.050355414058,0.0
01/02 05:00:00,1260.3957542829778,0.0
01/02 06:00:00,1400.076950584812,0.0
01/02 07:00:00,1881.569054830189,0.0
01/02 08:00:00,3190.209454349613,248.26
01/02 09:00:00,3141.4969070212173,429.09
01/02 10:00:00,3141.2011254481877,311.43
01/02 11:00:00,3137.961269861347,284.96
01/02 12:00:00,3076.3381101342766,292.03
01/02 13:00:00,3171.665231607304,314.19
01/02 14:00:00,3155.7584986848274,300.61
01/02 15:00:00,3150.250268582601,241.38
01/02 16:00:00,2629.303000595373,146.3
01/02 17:00:00,2041.181659702337,71.74
01/02 18:00:00,1819.0069771692722,37.14
01/02 19:00:00,1824.5152942417885,7.0
01/02 20:00:00,1738.6860668163536,0.0
01/02 21:00:00,1718.0685271220127,0.0
01/02 22:00:00,1618.9951602735975,0.0
01/02 23:00:00,1348.5044925680572,0.0
01/03 00:00:00,1217.5580263384647,0.0
01/03 01:00:00,1219.5734607848553,0.0
01/03 02:00:00,1229.7942576172827,0.0
01/03 03:00:00,1219.7007340527894,0.0
01/03 04:00:00,1236.9598482178162,0.0
01/03 05:00:00,1253.168049205575,0.0
01/03 06:00:00,1403.238698211931,0.0
01/03 07:00:00,1911.1884603003698,0.0
01/03 08:00:00,3154.6718572947193,287.68
01/03 09:00:00,3127.443158199605,552.91
01/03 10:00:00,3128.738232720061,686.1
01/03 11:00:00,3126.9470110004963,720.45
01/03 12:00:00,3022.677631959421,747.81
01/03 13:00:00,3131.802527224321,756.37
01/03 14:00:00,3077.9832017943154,683.29
01/03 15:00:00,3122.137759988809,520.5
01/03 16:00:00,2683.6308661411745,274.27
01/03 17:00:00,2066.160172115749,92.12
01/03 18:00:00,1848.4617088746036,4.0
01/03 19:00:00,1829.7412114678693,0.0
01/03 20:00:00,1741.9457170369324,0.0
01/03 21:00:00,1715.9093255990683,0.0
01/03 22:00:00,1608.2058282070711,0.0
01/03 23:00:00,1306.9371809637266,0.0
01/04 00:00:00,1211.2002239131825,0.0
01/04 01:00:00,1203.7045291227969,0.0
01/04 02:00:00,1215.5143125353345,0.0
01/04 03:00:00,1201.9275460683702,0.0
01/04 04:00:00,1203.919615734833,0.0
01/04 05:00:00,1238.1119333785823,0.0
01/04 06:00:00,1375.4571899725715,0.0
01/04 07:00:00,1862.2843417696304,0.0
01/04 08:00:00,3089.5709676274264,447.11
01/04 09:00:00,3083.602961015249,835.75
01/04 10:00:00,3092.222828188151,928.63
01/04 11:00:00,3127.1808195877416,946.8
01/04 12:00:00,3044.707378002161,899.97
01/04 13:00:00,3120.6873953758486,816.41
01/04 14:00:00,3106.969564528288,697.91
01/04 15:00:00,3114.105397208062,534.35
01/04 16:00:00,2655.032898855856,324.72
01/04 17:00:00,2058.355332441606,161.76
01/04 18:00:00,1813.9425629565458,66.59
01/04 19:00:00,1808.9913410587585,15.0
01/04 20:00:00,1762.740423385023,0.0
01/04 21:00:00,1719.206100695776,0.0
01/04 22:00:00,1604.6498968644974,0.0
01/04 23:00:00,1319.4827571581982,0.0
01/05 00:00:00,1229.6104797101532,0.0
01/05 01:00:00,1217.9022142622057,0.0
01/05 02:00:00,1210.223684885378,0.0
01/05 03:00:00,1209.200615420059,0.0
01/05 04:00:00,1206.5332426073182,0.0
01/05 05:00:00,1258.7969311130296,0.0
01/05 06:00:00,1351.7443929346096,0.0
01/05 07:00:00,1864.1462282765979,0.0
01/05 08:00:00,3067.5711371549282,430.57
01/05 09:00:00,3039.277326947568,830.11
01/05 10:00:00,3032.148464409146,965.5
