bus_id,Inv_size_factor,PV_fraction,PV_surf,S_inv,storage_capacity,yearly_cost
42,0.83,1.0,28.0,4.64,0.0,37
36,0.83,1.0,30.0,4.97,0.0,96
40,0.83,1.0,30.0,4.97,0.0,96
37,0.83,1.0,9.0,1.49,0.0,29
33,0.83,1.0,40.0,6.63,0.0,1513
39,0.83,1.0,30.0,4.97,0.0,96
41,0.83,1.0,10.0,1.66,0.0,74
30,0.83,1.0,12.0,1.99,0.0,99
44,0.83,1.0,25.0,4.14,0.0,8
35,0.83,1.0,35.0,5.8,0.0,112
43,0.83,1.0,18.0,2.98,0.0,29
32,0.83,1.0,56.0,9.28,0.0,1647
34,0.83,1.0,20.0,3.32,0.0,97
38,0.83,1.0,16.0,2.65,0.0,78
29,0.83,1.0,6.0,0.99,0.0,75
31,0.83,1.0,100.0,16.58,0.0,1906
