date,total load,irradiation
01/01 00:00:00,249.97186088362142,0.0
01/01 01:00:00,252.55566750000324,0.0
01/01 02:00:00,237.7425525477872,0.0
01/01 03:00:00,237.76837463472862,0.0
01/01 04:00:00,242.47319187278245,0.0
01/01 05:00:00,261.1862703588062,0.0
01/01 06:00:00,352.84366902669393,0.0
01/01 07:00:00,409.8899246801845,0.0
01/01 08:00:00,434.35068074238245,256.55
01/01 09:00:00,412.2856639621576,493.82
01/01 10:00:00,380.775910118946,554.27
01/01 11:00:00,395.3885907832395,490.7
01/01 12:00:00,389.3811991368414,378.52
01/01 13:00:00,375.5368683436612,206.42
01/01 14:00:00,367.6804132153367,80.85
01/01 15:00:00,378.5156351508084,18.0
01/01 16:00:00,408.4623440682383,10.0
01/01 17:00:00,437.5610352742157,8.0
01/01 18:00:00,452.68362050991584,5.0
01/01 19:00:00,462.68904951787084,2.0
01/01 20:00:00,477.56039257888284,0.0
01/01 21:00:00,450.10746349023304,0.0
01/01 22:00:00,378.80657204514955,0.0
01/01 23:00:00,317.04940236641073,0.0
01/02 00:00:00,282.22825568529106,0.0
01/02 01:00:00,270.11815736392015,0.0
01/02 02:00:00,267.1200068603273,0.0
01/02 03:00:00,262.3199458652103,0.0
01/02 04:00:00,267.7427690051111,0.0
01/02 05:00:00,302.1523038015911,0.0
01/02 06:00:00,440.8497049056784,0.0
01/02 07:00:00,555.039564387182,0.0
01/02 08:00:00,868.1141520996661,248.26
01/02 09:00:00,850.1369667016506,429.09
01/02 10:00:00,812.4968508056007,311.43
01/02 11:00:00,828.1757218355543,284.96
01/02 12:00:00,796.0212141795967,292.03
01/02 13:00:00,822.1346916724877,314.19
01/02 14:00:00,799.9829169887906,300.61
01/02 15:00:00,814.7256525811542,241.38
01/02 16:00:00,838.3629931693663,146.3
01/02 17:00:00,661.7585870597431,71.74
01/02 18:00:00,582.5241621711575,37.14
01/02 19:00:00,607.617419893598,7.0
01/02 20:00:00,592.735281472832,0.0
01/02 21:00:00,570.2594866796051,0.0
01/02 22:00:00,464.68721870089973,0.0
01/02 23:00:00,376.1895616360664,0.0
01/03 00:00:00,280.4075244654052,0.0
01/03 01:00:00,268.12963232031285,0.0
01/03 02:00:00,265.0579361059457,0.0
01/03 03:00:00,259.51375681754973,0.0
01/03 04:00:00,266.26174072692214,0.0
01/03 05:00:00,301.3093515494681,0.0
01/03 06:00:00,441.22350451902867,0.0
01/03 07:00:00,556.6604787159198,0.0
01/03 08:00:00,866.5086051437099,287.68
01/03 09:00:00,858.772816719456,552.91
01/03 10:00:00,819.5730635196373,686.1
01/03 11:00:00,833.1490130391364,720.45
01/03 12:00:00,801.593398866672,747.81
01/03 13:00:00,830.7720790137489,756.37
01/03 14:00:00,807.0723421285388,683.29
01/03 15:00:00,817.9235619746604,520.5
01/03 16:00:00,858.3011637281948,274.27
01/03 17:00:00,672.5479812162765,92.12
01/03 18:00:00,598.5884078499588,4.0
01/03 19:00:00,603.0090621538648,0.0
01/03 20:00:00,585.8729861334818,0.0
01/03 21:00:00,567.5494484229437,0.0
01/03 22:00:00,460.2827319547893,0.0
01/03 23:00:00,373.32271755465996,0.0
01/04 00:00:00,278.4556663876933,0.0
01/04 01:00:00,267.0494552502403,0.0
01/04 02:00:00,260.9793233487059,0.0
01/04 03:00:00,257.2520274218783,0.0
01/04 04:00:00,263.3081035719556,0.0
01/04 05:00:00,299.3354374555009,0.0
01/04 06:00:00,437.60283287034247,0.0
01/04 07:00:00,553.5174324732569,0.0
01/04 08:00:00,859.7167073802812,447.11
01/04 09:00:00,851.99692856883,835.75
01/04 10:00:00,817.1480337458518,928.63
01/04 11:00:00,835.3113194473992,946.8
01/04 12:00:00,804.4793171076524,899.97
01/04 13:00:00,828.4623974762968,816.41
01/04 14:00:00,808.2748240159067,697.91
01/04 15:00:00,818.5375181049033,534.35
01/04 16:00:00,851.4559895660345,324.72
01/04 17:00:00,666.8979690558093,161.76
01/04 18:00:00,582.1962306681495,66.59
01/04 19:00:00,603.4736666442042,15.0
01/04 20:00:00,591.291648208326,0.0
01/04 21:00:00,566.879956529515,0.0
01/04 22:00:00,458.8767343754,0.0
01/04 23:00:00,374.74655196040635,0.0
01/05 00:00:00,281.4578906769648,0.0
01/05 01:00:00,268.97231536900836,0.0
01/05 02:00:00,261.8005562894164,0.0
01/05 03:00:00,257.787478452639,0.0
01/05 04:00:00,264.1435764142373,0.0
01/05 05:00:00,303.1982785048976,0.0
01/05 06:00:00,429.90315937515254,0.0
01/05 07:00:00,551.6948126473911,0.0
01/05 08:00:00,854.3461316770565,430.57
01/05 09:00:00,843.2491478163015,830.11
01/05 10:00:00,796.7121102860136,965.5
01/05 11:00:00,809.4564832217127,1004.74
01/05 12:00:00,775.7125323864074,981.21
01/05 13:00:00,800.1097304451129,889.73
01/05 14:00:00,786.3005732995211,748.68
01/05 15:00:00,789.0030392948822,557.9
01/05 16:00:00,823.7862524010202,312.32
01/05 17:00:00,649.8414302647865,125.89
01/05 18:00:00,575.7362630811963,40.15
01/05 19:00:00,591.0473061389264,5.0
01/05 20:00:00,569.3430433496826,0.0
01/05 21:00:00,546.0262523354044,0.0
01/05 22:00:00,449.80067317917104,0.0
01/05 23:00:00,372.3665095092397,0.0
01/06 00:00:00,278.81793647085544,0.0
01/06 01:00:00,267.7640024081504,0.0
