date,total load,irradiation
01/01 00:00:00,176.466592660098,0.0
01/01 01:00:00,154.30899393227728,0.0
01/01 02:00:00,168.0440237728636,0.0
01/01 03:00:00,171.30470809827787,0.0
01/01 04:00:00,169.0174375774468,0.0
01/01 05:00:00,164.29635023500097,0.0
01/01 06:00:00,176.1179900099265,0.0
01/01 07:00:00,177.36972310899017,13.3
01/01 08:00:00,178.25231672647942,141.11
01/01 09:00:00,181.72603001899932,249.66
01/01 10:00:00,172.0421139668935,336.86
01/01 11:00:00,177.31408697794234,359.26
01/01 12:00:00,176.83069954496156,337.61
01/01 13:00:00,173.0213577491713,266.96
01/01 14:00:00,174.17620505185516,153.46
01/01 15:00:00,182.88319076364706,16.2
01/01 16:00:00,169.6859281227288,0.0
01/01 17:00:00,172.8290936008347,0.0
01/01 18:00:00,173.95798559228467,0.0
01/01 19:00:00,174.37933205602727,0.0
01/01 20:00:00,171.9939003718937,0.0
01/01 21:00:00,168.14098099783138,0.0
01/01 22:00:00,169.33336643210745,0.0
01/01 23:00:00,166.76447973953074,0.0
01/02 00:00:00,163.5064963082991,0.0
01/02 01:00:00,167.40846618596967,0.0
01/02 02:00:00,173.37725599980624,0.0
01/02 03:00:00,168.740303320139,0.0
01/02 04:00:00,167.2977820951935,0.0
01/02 05:00:00,183.29931139412471,0.0
01/02 06:00:00,171.78769856992497,0.0
01/02 07:00:00,159.523486794963,13.1
01/02 08:00:00,164.39947644475623,132.96
01/02 09:00:00,172.68794086795748,241.11
01/02 10:00:00,178.1731041034133,329.01
01/02 11:00:00,176.70261179002097,330.21
01/02 12:00:00,173.4801120273578,313.06
01/02 13:00:00,173.41796388279923,261.96
01/02 14:00:00,165.77197923693768,146.36
01/02 15:00:00,167.13632521054166,16.55
01/02 16:00:00,174.18693959003258,0.0
01/02 17:00:00,183.98359038879912,0.0
01/02 18:00:00,175.2774849700001,0.0
01/02 19:00:00,172.61171558665265,0.0
01/02 20:00:00,178.66963200378564,0.0
01/02 21:00:00,169.27160262930175,0.0
01/02 22:00:00,169.7023049230711,0.0
01/02 23:00:00,169.25699307804476,0.0
01/03 00:00:00,163.79529883831864,0.0
01/03 01:00:00,173.3416470921341,0.0
01/03 02:00:00,174.00197622653278,0.0
01/03 03:00:00,172.63801590883008,0.0
01/03 04:00:00,167.35582647921302,0.0
01/03 05:00:00,166.1410317049207,0.0
01/03 06:00:00,176.87950822405347,0.0
01/03 07:00:00,169.1144520901599,14.05
01/03 08:00:00,163.51034696033665,136.41
01/03 09:00:00,170.97277291886425,261.81
01/03 10:00:00,171.1019413495477,344.51
01/03 11:00:00,170.34958107120121,374.16
01/03 12:00:00,168.9202691939559,349.21
01/03 13:00:00,174.950406669327,274.31
01/03 14:00:00,167.99997255681365,161.01
01/03 15:00:00,177.22916196820591,17.7
01/03 16:00:00,165.50417875203675,0.0
01/03 17:00:00,173.13229152697664,0.0
01/03 18:00:00,164.99547342302589,0.0
01/03 19:00:00,172.35048753657802,0.0
01/03 20:00:00,167.4913036977841,0.0
01/03 21:00:00,169.89428642220133,0.0
01/03 22:00:00,169.248611689136,0.0
01/03 23:00:00,160.9969180106014,0.0
01/04 00:00:00,177.42842478845085,0.0
01/04 01:00:00,167.5951184613046,0.0
01/04 02:00:00,170.47243754678817,0.0
01/04 03:00:00,172.94429861542915,0.0
01/04 04:00:00,166.3673818992783,0.0
01/04 05:00:00,174.53407772585783,0.0
01/04 06:00:00,173.34692284329716,0.0
01/04 07:00:00,174.61799497467595,13.7
01/04 08:00:00,169.48236692612295,145.36
01/04 09:00:00,175.23046987493126,261.46
01/04 10:00:00,169.21869976548456,340.86
01/04 11:00:00,167.23947526043327,370.91
01/04 12:00:00,161.747561585104,347.86
01/04 13:00:00,175.49683366796484,274.31
01/04 14:00:00,166.94679757336223,161.76
01/04 15:00:00,167.31012146461055,36.24
01/04 16:00:00,165.4905522939833,0.0
01/04 17:00:00,165.8926940017216,0.0
01/04 18:00:00,178.51543097309167,0.0
01/04 19:00:00,162.19617948359817,0.0
01/04 20:00:00,167.28545367055787,0.0
01/04 21:00:00,179.85136428016764,0.0
01/04 22:00:00,178.40216948878728,0.0
01/04 23:00:00,165.71318359055073,0.0
01/05 00:00:00,175.19255109441679,0.0
