Name,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,9.626545391938635e-07
C_subs_hv,,,,,,,,,5.9896044591127
C_subs_mv,,,,,,,,,0.0
C_inv,,,,,,,,,0.0
C_PV,,,,,,,,,0.0
C_storage_capacity,,,,,,,,,0.0
C_storage_power,,,,,,,,,0.0
subs_hv_inst_cost,,,,,,,,,0.0
subs_mv_inst_cost,,,,,,,,,0.0
PV_inst_cost,,,,,,,,,0.0
storage_inst_cost,,,,,,,,,0.0
C_electricity,1.0,,,,,,,,0.008146903921983896
C_electricity,2.0,,,,,,,,0.008146903921983896
C_electricity,3.0,,,,,,,,0.008146903921983896
C_electricity,4.0,,,,,,,,0.008146903921983896
C_electricity,5.0,,,,,,,,0.008146903921983896
C_electricity,6.0,,,,,,,,0.008146903921983896
C_electricity,7.0,,,,,,,,0.006332295484741696
C_electricity,8.0,,,,,,,,0.0021871792000846195
C_electricity,9.0,,,,,,,,0.00022581107985363387
C_electricity,10.0,,,,,,,,0.0
C_electricity,11.0,,,,,,,,0.0
C_electricity,12.0,,,,,,,,0.0
C_electricity,13.0,,,,,,,,8.538853062128353e-05
C_electricity,14.0,,,,,,,,0.0011903064366133964
C_electricity,15.0,,,,,,,,0.002121433325338721
C_electricity,16.0,,,,,,,,0.005796025441268392
C_electricity,17.0,,,,,,,,0.008069109591801264
C_electricity,18.0,,,,,,,,0.008146903921983896
C_electricity,19.0,,,,,,,,0.008146903921983896
C_electricity,20.0,,,,,,,,0.008146903921983896
C_electricity,21.0,,,,,,,,0.008146903921983896
C_electricity,22.0,,,,,,,,0.00803187251896313
C_electricity,23.0,,,,,,,,0.008146903921983896
C_electricity,24.0,,,,,,,,0.008146903921983896
C_losses,1.0,,,,,,,,3.697176914966176e-06
C_losses,2.0,,,,,,,,3.168154529844955e-06
C_losses,3.0,,,,,,,,3.5855180518038454e-06
C_losses,4.0,,,,,,,,3.098753470318071e-06
C_losses,5.0,,,,,,,,3.4587514791993366e-06
C_losses,6.0,,,,,,,,3.0772504582139603e-06
C_losses,7.0,,,,,,,,6.76338954235459e-07
C_losses,8.0,,,,,,,,6.672090744143373e-06
C_losses,9.0,,,,,,,,1.0454879738505024e-05
C_losses,10.0,,,,,,,,1.4199289354458423e-05
C_losses,11.0,,,,,,,,1.4952361798537253e-05
C_losses,12.0,,,,,,,,1.416222236762791e-05
C_losses,13.0,,,,,,,,1.3698064583384696e-05
C_losses,14.0,,,,,,,,8.685712584269717e-06
C_losses,15.0,,,,,,,,7.60371949490326e-06
C_losses,16.0,,,,,,,,5.462408131688531e-07
C_losses,17.0,,,,,,,,2.8879897801029563e-06
C_losses,18.0,,,,,,,,3.1273521545066496e-06
C_losses,19.0,,,,,,,,3.6885838613267687e-06
C_losses,20.0,,,,,,,,3.199858050451692e-06
C_losses,21.0,,,,,,,,2.5776936375527902e-06
C_losses,22.0,,,,,,,,4.651260378987006e-06
C_losses,23.0,,,,,,,,2.6997227928528667e-06
C_losses,24.0,,,,,,,,3.7820933536025637e-06
unserved_fictitious_power_cost,,,,,,,,,0.0
line_opt,,0.0,Poppy,,,,,,0.999999988054427
line_opt,,0.0,Oxlip,,,,,,7.184797231225591e-09
line_opt,,0.0,Daisy,,,,,,0.0
line_opt,,0.0,Tulip,,,,,,4.760775782560475e-09
line_opt,,38.0,Poppy,,,,,,1.0
line_opt,,38.0,Oxlip,,,,,,0.0
line_opt,,38.0,Daisy,,,,,,0.0
line_opt,,38.0,Tulip,,,,,,0.0
line_opt,,40.0,Poppy,,,,,,1.0
line_opt,,40.0,Oxlip,,,,,,0.0
line_opt,,40.0,Daisy,,,,,,0.0
line_opt,,40.0,Tulip,,,,,,0.0
line_opt,,41.0,Poppy,,,,,,0.0
line_opt,,41.0,Oxlip,,,,,,1.0
line_opt,,41.0,Daisy,,,,,,0.0
line_opt,,41.0,Tulip,,,,,,0.0
line_opt,,42.0,Poppy,,,,,,0.9999999952392242
line_opt,,42.0,Oxlip,,,,,,0.0
line_opt,,42.0,Daisy,,,,,,0.0
line_opt,,42.0,Tulip,,,,,,4.760775782560475e-09
line_opt,,11.0,Poppy,,,,,,0.9999998461657451
line_opt,,11.0,Oxlip,,,,,,9.640570959684963e-08
line_opt,,11.0,Daisy,,,,,,5.2667769515103104e-08
line_opt,,11.0,Tulip,,,,,,4.760775782560475e-09
line_opt,,12.0,Poppy,,,,,,0.999999988054427
line_opt,,12.0,Oxlip,,,,,,7.184797188959689e-09
line_opt,,12.0,Daisy,,,,,,0.0
line_opt,,12.0,Tulip,,,,,,4.760775782560475e-09
line_opt,,44.0,Poppy,,,,,,0.9999999996451953
line_opt,,44.0,Oxlip,,,,,,0.0
line_opt,,44.0,Daisy,,,,,,0.0
line_opt,,44.0,Tulip,,,,,,3.5480479280629196e-10
line_opt,,47.0,Poppy,,,,,,0.9999999841292734
line_opt,,47.0,Oxlip,,,,,,7.184797053341272e-09
line_opt,,47.0,Daisy,,,,,,3.925153797801552e-09
line_opt,,47.0,Tulip,,,,,,4.760775782560475e-09
line_opt,,48.0,Poppy,,,,,,1.0
line_opt,,48.0,Oxlip,,,,,,0.0
line_opt,,48.0,Daisy,,,,,,0.0
line_opt,,48.0,Tulip,,,,,,0.0
line_opt,,50.0,Poppy,,,,,,1.0
line_opt,,50.0,Oxlip,,,,,,0.0
line_opt,,50.0,Daisy,,,,,,0.0
line_opt,,50.0,Tulip,,,,,,0.0
line_opt,,51.0,Poppy,,,,,,1.0
line_opt,,51.0,Oxlip,,,,,,0.0
line_opt,,51.0,Daisy,,,,,,0.0
line_opt,,51.0,Tulip,,,,,,0.0
line_opt,,21.0,Poppy,,,,,,1.0
line_opt,,21.0,Oxlip,,,,,,0.0
line_opt,,21.0,Daisy,,,,,,-4.760775782560475e-09
line_opt,,21.0,Tulip,,,,,,4.760775782560475e-09
line_opt,,22.0,Poppy,,,,,,0.9999999952392242
line_opt,,22.0,Oxlip,,,,,,0.0
line_opt,,22.0,Daisy,,,,,,0.0
line_opt,,22.0,Tulip,,,,,,4.760775782560475e-09
line_opt,,24.0,Poppy,,,,,,1.0
line_opt,,24.0,Oxlip,,,,,,0.0
line_opt,,24.0,Daisy,,,,,,0.0
line_opt,,24.0,Tulip,,,,,,0.0
line_opt,,57.0,Poppy,,,,,,1.0
line_opt,,57.0,Oxlip,,,,,,0.0
line_opt,,57.0,Daisy,,,,,,0.0
line_opt,,57.0,Tulip,,,,,,0.0
line_opt,,56.0,Poppy,,,,,,1.0
line_opt,,56.0,Oxlip,,,,,,0.0
line_opt,,56.0,Daisy,,,,,,0.0
line_opt,,56.0,Tulip,,,,,,0.0
line_act,,0.0,,,,,,,1.0
line_act,,38.0,,,,,,,1.0
line_act,,40.0,,,,,,,1.0
line_act,,41.0,,,,,,,1.0
line_act,,42.0,,,,,,,1.0
line_act,,11.0,,,,,,,1.0
line_act,,12.0,,,,,,,1.0
line_act,,44.0,,,,,,,1.0
line_act,,47.0,,,,,,,1.0
line_act,,48.0,,,,,,,1.0
line_act,,50.0,,,,,,,1.0
line_act,,51.0,,,,,,,1.0
line_act,,21.0,,,,,,,1.0
line_act,,22.0,,,,,,,1.0
line_act,,24.0,,,,,,,1.0
line_act,,57.0,,,,,,,1.0
line_act,,56.0,,,,,,,1.0
subs_hv_capacity,,,,0.0,,,,,0.06115006649693383
subs_hv_capacity,,,,1.0,,,,,0.0
subs_hv_capacity,,,,27.0,,,,,0.05523427524569328
subs_hv_S,1.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,1.0,,,1.0,,,,,0.0
subs_hv_S,1.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,2.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,2.0,,,1.0,,,,,0.0
subs_hv_S,2.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,3.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,3.0,,,1.0,,,,,0.0
subs_hv_S,3.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,4.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,4.0,,,1.0,,,,,0.0
subs_hv_S,4.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,5.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,5.0,,,1.0,,,,,0.0
subs_hv_S,5.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,6.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,6.0,,,1.0,,,,,0.0
subs_hv_S,6.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,7.0,,,0.0,,,,,0.04594718947101807
subs_hv_S,7.0,,,1.0,,,,,0.0
subs_hv_S,7.0,,,27.0,,,,,0.044514174596720454
subs_hv_S,8.0,,,0.0,,,,,0.024786232050044273
subs_hv_S,8.0,,,1.0,,,,,0.0
subs_hv_S,8.0,,,27.0,,,,,0.006459185094021722
subs_hv_S,9.0,,,0.0,,,,,0.0032258725693376272
subs_hv_S,9.0,,,1.0,,,,,0.0
subs_hv_S,9.0,,,27.0,,,,,0.0
subs_hv_S,10.0,,,0.0,,,,,0.0
subs_hv_S,10.0,,,1.0,,,,,0.0
subs_hv_S,10.0,,,27.0,,,,,0.0
subs_hv_S,11.0,,,0.0,,,,,0.0
subs_hv_S,11.0,,,1.0,,,,,0.0
subs_hv_S,11.0,,,27.0,,,,,0.0
subs_hv_S,12.0,,,0.0,,,,,0.0
subs_hv_S,12.0,,,1.0,,,,,0.0
subs_hv_S,12.0,,,27.0,,,,,0.0
subs_hv_S,13.0,,,0.0,,,,,0.0012198361517326219
subs_hv_S,13.0,,,1.0,,,,,0.0
subs_hv_S,13.0,,,27.0,,,,,0.0
subs_hv_S,14.0,,,0.0,,,,,0.011984682832548887
subs_hv_S,14.0,,,1.0,,,,,0.0
subs_hv_S,14.0,,,27.0,,,,,0.005019694833356778
subs_hv_S,15.0,,,0.0,,,,,0.018990442841153195
subs_hv_S,15.0,,,1.0,,,,,0.0
subs_hv_S,15.0,,,27.0,,,,,0.011315747520828538
subs_hv_S,16.0,,,0.0,,,,,0.0437793909626829
subs_hv_S,16.0,,,1.0,,,,,0.0
subs_hv_S,16.0,,,27.0,,,,,0.039020972484008425
subs_hv_S,17.0,,,0.0,,,,,0.06003871892289623
subs_hv_S,17.0,,,1.0,,,,,0.0
subs_hv_S,17.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,18.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,18.0,,,1.0,,,,,0.0
subs_hv_S,18.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,19.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,19.0,,,1.0,,,,,0.0
subs_hv_S,19.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,20.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,20.0,,,1.0,,,,,0.0
subs_hv_S,20.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,21.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,21.0,,,1.0,,,,,0.0
subs_hv_S,21.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,22.0,,,0.0,,,,,0.0595067607394943
subs_hv_S,22.0,,,1.0,,,,,0.0
subs_hv_S,22.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,23.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,23.0,,,1.0,,,,,0.0
subs_hv_S,23.0,,,27.0,,,,,0.05523427524569328
subs_hv_S,24.0,,,0.0,,,,,0.06115006649693383
subs_hv_S,24.0,,,1.0,,,,,0.0
subs_hv_S,24.0,,,27.0,,,,,0.05523427524569328
subs_hv_P,1.0,,,0.0,,,,,0.05310297997455054
subs_hv_P,1.0,,,1.0,,,,,0.0
subs_hv_P,1.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,2.0,,,0.0,,,,,0.05222834281062377
subs_hv_P,2.0,,,1.0,,,,,0.0
subs_hv_P,2.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,3.0,,,0.0,,,,,0.05239525010558827
subs_hv_P,3.0,,,1.0,,,,,0.0
subs_hv_P,3.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,4.0,,,0.0,,,,,0.05274366505264205
subs_hv_P,4.0,,,1.0,,,,,0.0
subs_hv_P,4.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,5.0,,,0.0,,,,,0.05295434763252806
subs_hv_P,5.0,,,1.0,,,,,0.0
subs_hv_P,5.0,,,27.0,,,,,0.053691533088684
subs_hv_P,6.0,,,0.0,,,,,0.05296335083784982
subs_hv_P,6.0,,,1.0,,,,,0.0
subs_hv_P,6.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,7.0,,,0.0,,,,,0.04091130351489929
subs_hv_P,7.0,,,1.0,,,,,0.0
subs_hv_P,7.0,,,27.0,,,,,0.04365884721376283
subs_hv_P,8.0,,,0.0,,,,,0.023610949835985027
subs_hv_P,8.0,,,1.0,,,,,0.0
subs_hv_P,8.0,,,27.0,,,,,0.0063350736636164605
subs_hv_P,9.0,,,0.0,,,,,0.0030271526063423556
subs_hv_P,9.0,,,1.0,,,,,0.0
subs_hv_P,9.0,,,27.0,,,,,0.0
subs_hv_P,10.0,,,0.0,,,,,0.0
subs_hv_P,10.0,,,1.0,,,,,0.0
subs_hv_P,10.0,,,27.0,,,,,0.0
subs_hv_P,11.0,,,0.0,,,,,0.0
subs_hv_P,11.0,,,1.0,,,,,0.0
subs_hv_P,11.0,,,27.0,,,,,0.0
subs_hv_P,12.0,,,0.0,,,,,0.0
subs_hv_P,12.0,,,1.0,,,,,0.0
subs_hv_P,12.0,,,27.0,,,,,0.0
subs_hv_P,13.0,,,0.0,,,,,0.0011963973421230771
subs_hv_P,13.0,,,1.0,,,,,0.0
subs_hv_P,13.0,,,27.0,,,,,0.0
subs_hv_P,14.0,,,0.0,,,,,0.011370106550290901
subs_hv_P,14.0,,,1.0,,,,,0.0
subs_hv_P,14.0,,,27.0,,,,,0.004923242804672474
subs_hv_P,15.0,,,0.0,,,,,0.01745817594283846
subs_hv_P,15.0,,,1.0,,,,,0.0
subs_hv_P,15.0,,,27.0,,,,,0.011098318605187977
subs_hv_P,16.0,,,0.0,,,,,0.03912161635707059
subs_hv_P,16.0,,,1.0,,,,,0.0
subs_hv_P,16.0,,,27.0,,,,,0.038271195439334944
subs_hv_P,17.0,,,0.0,,,,,0.054091592465416234
subs_hv_P,17.0,,,1.0,,,,,0.0
subs_hv_P,17.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,18.0,,,0.0,,,,,0.05246405246860527
subs_hv_P,18.0,,,1.0,,,,,0.0
subs_hv_P,18.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,19.0,,,0.0,,,,,0.05371746881353582
subs_hv_P,19.0,,,1.0,,,,,0.0
subs_hv_P,19.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,20.0,,,0.0,,,,,0.05187751281068885
subs_hv_P,20.0,,,1.0,,,,,0.0
subs_hv_P,20.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,21.0,,,0.0,,,,,0.0526385187203849
subs_hv_P,21.0,,,1.0,,,,,0.0
subs_hv_P,21.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,22.0,,,0.0,,,,,0.05161929693323328
subs_hv_P,22.0,,,1.0,,,,,0.0
subs_hv_P,22.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,23.0,,,0.0,,,,,0.052549191882464624
subs_hv_P,23.0,,,1.0,,,,,0.0
subs_hv_P,23.0,,,27.0,,,,,0.05417296413471649
subs_hv_P,24.0,,,0.0,,,,,0.05199876086902278
subs_hv_P,24.0,,,1.0,,,,,0.0
subs_hv_P,24.0,,,27.0,,,,,0.05407987526444003
subs_hv_Q,1.0,,,0.0,,,,,0.028520482950597954
subs_hv_Q,1.0,,,1.0,,,,,0.0
subs_hv_Q,1.0,,,27.0,,,,,0.008660960626566074
subs_hv_Q,2.0,,,0.0,,,,,0.0306320473080653
subs_hv_Q,2.0,,,1.0,,,,,0.0
subs_hv_Q,2.0,,,27.0,,,,,0.010245277083850065
subs_hv_Q,3.0,,,0.0,,,,,0.03022909679374453
subs_hv_Q,3.0,,,1.0,,,,,0.0
subs_hv_Q,3.0,,,27.0,,,,,0.009893539361640393
subs_hv_Q,4.0,,,0.0,,,,,0.029387947327256483
subs_hv_Q,4.0,,,1.0,,,,,0.0
subs_hv_Q,4.0,,,27.0,,,,,0.007703853723281238
subs_hv_Q,5.0,,,0.0,,,,,0.028879313753502018
subs_hv_Q,5.0,,,1.0,,,,,0.0
