Name,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,396.42199286183074
C_subs_hv,,,,,,,,,49.451629539149025
C_subs_mv,,,,,,,,,23.805880561563043
C_inv,,,,,,,,,43.15129369515992
C_PV,,,,,,,,,216.74121481441452
C_storage_capacity,,,,,,,,,14.145866718319137
subs_hv_inst_cost,,,,,,,,,10.0
subs_mv_inst_cost,,,,,,,,,200.0
PV_inst_cost,,,,,,,,,15.0
storage_inst_cost,,,,,,,,,3.0
C_electricity,1.0,,,,,,,,0.017308070338702155
C_electricity,2.0,,,,,,,,0.017308070338702155
C_electricity,3.0,,,,,,,,0.017073152550533287
C_electricity,4.0,,,,,,,,0.017308070338702155
C_electricity,5.0,,,,,,,,0.016580477735289426
C_electricity,6.0,,,,,,,,0.016850418503161574
C_electricity,7.0,,,,,,,,0.01322790348245131
C_electricity,8.0,,,,,,,,0.008522052840648327
C_electricity,9.0,,,,,,,,0.004286866984777139
C_electricity,10.0,,,,,,,,0.0
C_electricity,11.0,,,,,,,,0.0
C_electricity,12.0,,,,,,,,0.0
C_electricity,13.0,,,,,,,,0.0012325406186926402
C_electricity,14.0,,,,,,,,0.007194355988671455
C_electricity,15.0,,,,,,,,0.008608927089274267
C_electricity,16.0,,,,,,,,0.012828814156259484
C_electricity,17.0,,,,,,,,0.015434588593301353
C_electricity,18.0,,,,,,,,0.017308070338702155
C_electricity,19.0,,,,,,,,0.01695598262822582
C_electricity,20.0,,,,,,,,0.017308070338702155
C_electricity,21.0,,,,,,,,0.017308070338702155
C_electricity,22.0,,,,,,,,0.016787577668741848
C_electricity,23.0,,,,,,,,0.016820965401083528
C_electricity,24.0,,,,,,,,0.01728073651856751
C_losses,1.0,,,,,,,,2.5834453042691917e-05
C_losses,2.0,,,,,,,,2.2132788747369238e-05
C_losses,3.0,,,,,,,,2.727484203247523e-05
C_losses,4.0,,,,,,,,2.7453972887690937e-05
C_losses,5.0,,,,,,,,2.887941772114827e-05
C_losses,6.0,,,,,,,,2.5298851149041514e-05
C_losses,7.0,,,,,,,,8.158800410242878e-06
C_losses,8.0,,,,,,,,2.8567281523507734e-06
C_losses,9.0,,,,,,,,9.398896759290327e-06
C_losses,10.0,,,,,,,,2.9777632164971957e-05
C_losses,11.0,,,,,,,,1.7205527377818142e-05
C_losses,12.0,,,,,,,,3.437700404692362e-05
C_losses,13.0,,,,,,,,2.2328909974715117e-05
C_losses,14.0,,,,,,,,2.7965390795634753e-06
C_losses,15.0,,,,,,,,2.536652452167628e-06
C_losses,16.0,,,,,,,,7.731281206295348e-06
C_losses,17.0,,,,,,,,1.965295883540625e-05
C_losses,18.0,,,,,,,,2.3388210641560347e-05
C_losses,19.0,,,,,,,,2.6663301114285353e-05
C_losses,20.0,,,,,,,,2.7177595618757966e-05
C_losses,21.0,,,,,,,,2.8412699158712115e-05
C_losses,22.0,,,,,,,,3.0336357250164752e-05
C_losses,23.0,,,,,,,,2.748921722816326e-05
C_losses,24.0,,,,,,,,3.03567114966866e-05
unserved_fictitious_power_cost,,,,,,,,,0.0
line_opt,,0.0,Poppy,,,,,,0.0
line_opt,,0.0,Oxlip,,,,,,0.0
line_opt,,0.0,Daisy,,,,,,0.0
line_opt,,0.0,Tulip,,,,,,0.0
line_opt,,7.0,Poppy,,,,,,0.0
line_opt,,7.0,Oxlip,,,,,,0.0
line_opt,,7.0,Daisy,,,,,,0.0
line_opt,,7.0,Tulip,,,,,,0.0
line_opt,,9.0,Poppy,,,,,,1.0
line_opt,,9.0,Oxlip,,,,,,0.0
line_opt,,9.0,Daisy,,,,,,0.0
line_opt,,9.0,Tulip,,,,,,0.0
line_opt,,10.0,Poppy,,,,,,0.0
line_opt,,10.0,Oxlip,,,,,,0.0
line_opt,,10.0,Daisy,,,,,,0.0
line_opt,,10.0,Tulip,,,,,,0.0
line_opt,,11.0,Poppy,,,,,,1.0
line_opt,,11.0,Oxlip,,,,,,0.0
line_opt,,11.0,Daisy,,,,,,0.0
line_opt,,11.0,Tulip,,,,,,0.0
line_opt,,12.0,Poppy,,,,,,1.0
line_opt,,12.0,Oxlip,,,,,,0.0
line_opt,,12.0,Daisy,,,,,,0.0
line_opt,,12.0,Tulip,,,,,,0.0
line_opt,,17.0,Poppy,,,,,,1.0
line_opt,,17.0,Oxlip,,,,,,0.0
line_opt,,17.0,Daisy,,,,,,0.0
line_opt,,17.0,Tulip,,,,,,0.0
line_opt,,18.0,Poppy,,,,,,0.0
line_opt,,18.0,Oxlip,,,,,,0.0
line_opt,,18.0,Daisy,,,,,,0.0
line_opt,,18.0,Tulip,,,,,,0.0
line_opt,,21.0,Poppy,,,,,,1.0
line_opt,,21.0,Oxlip,,,,,,0.0
line_opt,,21.0,Daisy,,,,,,0.0
line_opt,,21.0,Tulip,,,,,,0.0
line_opt,,22.0,Poppy,,,,,,0.0
line_opt,,22.0,Oxlip,,,,,,0.0
line_opt,,22.0,Daisy,,,,,,0.0
line_opt,,22.0,Tulip,,,,,,0.0
line_opt,,23.0,Poppy,,,,,,1.0
