date,total load,irradiation
01/01 00:00:00,115.93915804468662,0.0
01/01 01:00:00,100.932344485394,0.0
01/01 02:00:00,110.3599895329727,0.0
01/01 03:00:00,112.56624359237979,0.0
01/01 04:00:00,110.81670015698525,0.0
01/01 05:00:00,107.6161974482194,0.0
01/01 06:00:00,115.98615912375718,0.0
01/01 07:00:00,116.94946026857392,13.3
01/01 08:00:00,117.23261668870279,141.11
01/01 09:00:00,119.70811453044657,249.66
01/01 10:00:00,113.14846925758361,336.86
01/01 11:00:00,116.59617291236253,359.26
01/01 12:00:00,116.4538715608945,337.61
01/01 13:00:00,113.6848714929611,266.96
01/01 14:00:00,114.67202149203675,153.46
01/01 15:00:00,120.68117921004782,16.2
01/01 16:00:00,111.62580919461433,0.0
01/01 17:00:00,113.66976409846873,0.0
01/01 18:00:00,114.5579983148061,0.0
01/01 19:00:00,114.65661136395875,0.0
01/01 20:00:00,112.9424595439547,0.0
01/01 21:00:00,110.34739255019551,0.0
01/01 22:00:00,111.30090684809392,0.0
01/01 23:00:00,109.5514967736301,0.0
01/02 00:00:00,107.11571129745377,0.0
01/02 01:00:00,109.7340095858361,0.0
01/02 02:00:00,114.18601374245374,0.0
01/02 03:00:00,110.89813931718454,0.0
01/02 04:00:00,109.86437045108072,0.0
01/02 05:00:00,120.93750660600716,0.0
01/02 06:00:00,112.84505936896223,0.0
01/02 07:00:00,104.54537474601587,13.1
01/02 08:00:00,107.58141775079775,132.96
01/02 09:00:00,113.49871302127151,241.11
01/02 10:00:00,117.50135392637193,329.01
01/02 11:00:00,116.00198265974268,330.21
01/02 12:00:00,113.9741289223756,313.06
01/02 13:00:00,113.98199811611161,261.96
01/02 14:00:00,108.7531087020702,146.36
01/02 15:00:00,109.73157252321212,16.55
01/02 16:00:00,114.48500653334577,0.0
01/02 17:00:00,121.28562503490788,0.0
01/02 18:00:00,115.16855029798317,0.0
01/02 19:00:00,113.55513969142524,0.0
01/02 20:00:00,117.68779775879405,0.0
01/02 21:00:00,111.21711851101864,0.0
01/02 22:00:00,111.42067491277365,0.0
01/02 23:00:00,111.17505593918159,0.0
01/03 00:00:00,107.27926772408341,0.0
01/03 01:00:00,113.91684573387444,0.0
01/03 02:00:00,114.53078633824265,0.0
01/03 03:00:00,113.41061334447437,0.0
01/03 04:00:00,109.84321726794428,0.0
01/03 05:00:00,108.96994865953513,0.0
01/03 06:00:00,116.6930847996649,0.0
01/03 07:00:00,110.84288430832778,14.05
01/03 08:00:00,107.35818662316407,136.41
01/03 09:00:00,112.36592265529247,261.81
01/03 10:00:00,112.6731195289866,344.51
01/03 11:00:00,111.80389593769793,374.16
01/03 12:00:00,111.02432390638286,349.21
01/03 13:00:00,115.12846961575475,274.31
01/03 14:00:00,110.11860405926492,161.01
01/03 15:00:00,116.64589431398416,17.7
01/03 16:00:00,108.57028209122942,0.0
01/03 17:00:00,113.58195125098055,0.0
01/03 18:00:00,108.13713475535562,0.0
01/03 19:00:00,113.38732195553618,0.0
01/03 20:00:00,109.8861184089343,0.0
01/03 21:00:00,111.71183861799611,0.0
01/03 22:00:00,111.09525464739852,0.0
01/03 23:00:00,105.51271811284387,0.0
01/04 00:00:00,116.68934376703078,0.0
01/04 01:00:00,110.08944200531272,0.0
01/04 02:00:00,112.00443993762619,0.0
01/04 03:00:00,113.47581335813723,0.0
01/04 04:00:00,108.94801606023645,0.0
01/04 05:00:00,114.62459728626499,0.0
01/04 06:00:00,113.99587626320056,0.0
01/04 07:00:00,115.17441641764104,13.7
01/04 08:00:00,111.45433935606415,145.36
01/04 09:00:00,115.3424375926719,261.46
01/04 10:00:00,111.24364962827504,340.86
01/04 11:00:00,109.67665773851729,370.91
01/04 12:00:00,106.15387996228785,347.86
01/04 13:00:00,115.20834508429866,274.31
01/04 14:00:00,109.6145295462236,161.76
01/04 15:00:00,109.77276618091688,36.24
01/04 16:00:00,108.37761089394915,0.0
01/04 17:00:00,108.86681128438781,0.0
01/04 18:00:00,117.40926416001389,0.0
01/04 19:00:00,106.19345540806094,0.0
01/04 20:00:00,109.80989898662236,0.0
01/04 21:00:00,118.53894453560557,0.0
01/04 22:00:00,117.53190249791422,0.0
01/04 23:00:00,108.72012701888997,0.0
01/05 00:00:00,115.54044801438397,0.0
01/05 01:00:00,110.95202654457583,0.0
01/05 02:00:00,115.13579708512722,0.0
01/05 03:00:00,114.22992654575182,0.0
01/05 04:00:00,107.86984667178017,0.0
01/05 05:00:00,113.83560980875131,0.0
01/05 06:00:00,112.54649282022002,0.0
01/05 07:00:00,112.45557257709176,15.65
01/05 08:00:00,109.33187657370895,124.26
01/05 09:00:00,107.46867723911137,226.11
01/05 10:00:00,120.92882670806524,294.91
01/05 11:00:00,116.38576325914623,329.96
01/05 12:00:00,119.74173326267496,317.06
01/05 13:00:00,107.05351947663246,245.91
01/05 14:00:00,111.0811998995304,123.76
01/05 15:00:00,117.89461077102352,31.71
01/05 16:00:00,113.25164982551578,0.0
01/05 17:00:00,107.36603778355195,0.0
01/05 18:00:00,113.04878268517517,0.0
01/05 19:00:00,110.89306874101747,0.0
01/05 20:00:00,114.42250014551401,0.0
01/05 21:00:00,110.44642913718552,0.0
01/05 22:00:00,109.79068062088675,0.0
01/05 23:00:00,108.58212410395285,0.0
01/06 00:00:00,109.73867003493405,0.0
01/06 01:00:00,109.63746694146838,0.0
01/06 02:00:00,117.39698407938111,0.0
