date,total load,irradiation
01/01 00:00:00,8421.916557272025,0.0
01/01 01:00:00,7514.167691789997,0.0
01/01 02:00:00,7972.223928404303,0.0
01/01 03:00:00,8107.586544676884,0.0
01/01 04:00:00,8181.345728429352,0.0
01/01 05:00:00,7990.45858907979,0.0
01/01 06:00:00,8171.097166205657,0.0
01/01 07:00:00,8125.848110007412,13.3
01/01 08:00:00,8424.864504558778,141.11
01/01 09:00:00,8464.543784256184,249.66
01/01 10:00:00,8068.616568684252,336.86
01/01 11:00:00,8387.26539916569,359.26
01/01 12:00:00,8212.81878619395,337.61
01/01 13:00:00,8214.692046885,266.96
01/01 14:00:00,8090.721740410628,153.46
01/01 15:00:00,8353.746004538085,16.2
01/01 16:00:00,7910.988172469585,0.0
01/01 17:00:00,8110.63949062305,0.0
01/01 18:00:00,8053.5647360451285,0.0
01/01 19:00:00,8226.864515184941,0.0
01/01 20:00:00,8211.484243675162,0.0
01/01 21:00:00,8041.587319267719,0.0
01/01 22:00:00,7968.5003853292,0.0
01/01 23:00:00,7871.24988965905,0.0
01/02 00:00:00,7929.305253342571,0.0
01/02 01:00:00,8109.55808706408,0.0
01/02 02:00:00,8011.95199679517,0.0
01/02 03:00:00,7945.122965176237,0.0
01/02 04:00:00,7933.470053787799,0.0
01/02 05:00:00,8392.100415850782,0.0
01/02 06:00:00,8167.731219642346,0.0
01/02 07:00:00,7659.800496805548,13.1
01/02 08:00:00,8082.099801614355,132.96
01/02 09:00:00,8167.898451025025,241.11
01/02 10:00:00,8152.258129349682,329.01
01/02 11:00:00,8512.65287273005,330.21
01/02 12:00:00,8251.404783849834,313.06
01/02 13:00:00,8207.115399052993,261.96
01/02 14:00:00,7936.024980378165,146.36
01/02 15:00:00,7946.446062906528,16.55
01/02 16:00:00,8253.491412395479,0.0
01/02 17:00:00,8516.492647778328,0.0
01/02 18:00:00,8344.169818856684,0.0
01/02 19:00:00,8074.495457616507,0.0
01/02 20:00:00,8297.796919976325,0.0
01/02 21:00:00,8001.026280368688,0.0
01/02 22:00:00,8092.320965425426,0.0
01/02 23:00:00,8027.304778445916,0.0
01/03 00:00:00,7967.909257832623,0.0
01/03 01:00:00,8215.239057667677,0.0
01/03 02:00:00,8102.996623488105,0.0
01/03 03:00:00,8211.210953144191,0.0
01/03 04:00:00,7986.368167566766,0.0
01/03 05:00:00,7978.808856508697,0.0
01/03 06:00:00,8042.569903445062,0.0
01/03 07:00:00,8218.341326113721,14.05
01/03 08:00:00,7729.0481239162455,136.41
01/03 09:00:00,8073.5251928427615,261.81
01/03 10:00:00,7895.240536015486,344.51
01/03 11:00:00,8164.929036093697,374.16
01/03 12:00:00,7948.904703360764,349.21
01/03 13:00:00,8179.171318198574,274.31
01/03 14:00:00,8147.174822659588,161.01
01/03 15:00:00,8294.18540266953,17.7
01/03 16:00:00,7926.266724484784,0.0
01/03 17:00:00,8368.004310152239,0.0
01/03 18:00:00,7979.464717169027,0.0
01/03 19:00:00,8056.185400344999,0.0
