Name,lv_load,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,,0.0
C_subs_hv,,,,,,,,,,12.875200676728767
C_subs_mv,,,,,,,,,,7.123138726688271
C_inv,,,,,,,,,,0.0
C_PV,,,,,,,,,,0.0
C_EV,,,,,,,,,,0.0
C_gas,8.0,,,,,,,,,0.0024552000000000003
C_gas,9.0,,,,,,,,,0.0047366000000000005
C_gas,10.0,,,,,,,,,0.0045914
C_gas,11.0,,,,,,,,,0.0045671999999999996
C_gas,16.0,,,,,,,,,0.0034408000000000004
C_gas,17.0,,,,,,,,,0.0066088
C_gas,18.0,,,,,,,,,0.0076582
C_gas,19.0,,,,,,,,,0.0057376
C_gas,20.0,,,,,,,,,0.0062348
C_storage_capacity,,,,,,,,,,0.0
C_storage_power,,,,,,,,,,0.0
subs_hv_inst_cost,,,,,,,,,,0.0
subs_mv_inst_cost,,,,,,,,,,0.0
PV_inst_cost,,,,,,,,,,0.0
storage_inst_cost,,,,,,,,,,0.0
C_electricity,,1.0,,,,,,,,0.02310424296878557
C_electricity,,2.0,,,,,,,,0.02366243181049775
C_electricity,,3.0,,,,,,,,0.022428963564873425
C_electricity,,4.0,,,,,,,,0.022707854081916064
C_electricity,,5.0,,,,,,,,0.021677778153155518
C_electricity,,6.0,,,,,,,,0.0219935864085336
C_electricity,,7.0,,,,,,,,0.021298873729840333
C_electricity,,8.0,,,,,,,,0.01726611265940342
C_electricity,,9.0,,,,,,,,0.013206495870791275
C_electricity,,10.0,,,,,,,,0.008970402389299813
C_electricity,,11.0,,,,,,,,0.008559194060541907
C_electricity,,12.0,,,,,,,,0.009413197680926064
C_electricity,,13.0,,,,,,,,0.008197606722716909
C_electricity,,14.0,,,,,,,,0.010375412784767894
C_electricity,,15.0,,,,,,,,0.013016902915412111
C_electricity,,16.0,,,,,,,,0.017146695541287137
C_electricity,,17.0,,,,,,,,0.022311326159934135
C_electricity,,18.0,,,,,,,,0.02153217746742428
C_electricity,,19.0,,,,,,,,0.022357751043411332
C_electricity,,20.0,,,,,,,,0.022656156722539754
C_electricity,,21.0,,,,,,,,0.022954928174744513
C_electricity,,22.0,,,,,,,,0.02224808602415004
C_electricity,,23.0,,,,,,,,0.022101613650249353
C_electricity,,24.0,,,,,,,,0.022054158229776098
C_losses,,1.0,,,,,,,,6.829779451360668e-05
C_losses,,2.0,,,,,,,,6.892148977664333e-05
C_losses,,3.0,,,,,,,,7.103412249084753e-05
C_losses,,4.0,,,,,,,,6.273868267654476e-05
C_losses,,5.0,,,,,,,,6.709627962371685e-05
C_losses,,6.0,,,,,,,,6.926888145671837e-05
C_losses,,7.0,,,,,,,,4.5130580363633084e-05
C_losses,,8.0,,,,,,,,2.2350243359138455e-05
C_losses,,9.0,,,,,,,,6.010785107611152e-06
C_losses,,10.0,,,,,,,,3.3897336536779537e-06
C_losses,,11.0,,,,,,,,3.899389673307817e-06
C_losses,,12.0,,,,,,,,5.704382097639697e-06
C_losses,,13.0,,,,,,,,4.849731401317178e-06
C_losses,,14.0,,,,,,,,3.5145980201370734e-06
C_losses,,15.0,,,,,,,,4.835095522901256e-06
C_losses,,16.0,,,,,,,,2.877682467604583e-05
C_losses,,17.0,,,,,,,,7.04583960734003e-05
C_losses,,18.0,,,,,,,,7.02071902253876e-05
C_losses,,19.0,,,,,,,,5.944731959024968e-05
C_losses,,20.0,,,,,,,,6.813360727462865e-05
C_losses,,21.0,,,,,,,,5.82766315133229e-05
C_losses,,22.0,,,,,,,,6.652171920361484e-05
C_losses,,23.0,,,,,,,,6.16918627303702e-05
