date,total load,irradiation
01/01 00:00:00,2589.756795894854,0.0
01/01 01:00:00,2280.1496640518976,0.0
01/01 02:00:00,2448.18858145858,0.0
01/01 03:00:00,2494.1560716446884,0.0
01/01 04:00:00,2500.413918941345,0.0
01/01 05:00:00,2435.022756099925,0.0
01/01 06:00:00,2530.9042264605296,0.0
01/01 07:00:00,2526.36505026218,13.3
01/01 08:00:00,2598.6858028283596,141.11
01/01 09:00:00,2623.801827122738,249.66
01/01 10:00:00,2488.671901306645,336.86
01/01 11:00:00,2585.7672363211536,359.26
01/01 12:00:00,2543.7209279853205,337.61
01/01 13:00:00,2526.536059968029,266.96
01/01 14:00:00,2503.5835436484967,153.46
01/01 15:00:00,2603.866178720241,16.2
01/01 16:00:00,2441.804941002815,0.0
01/01 17:00:00,2501.900750058001,0.0
01/01 18:00:00,2494.094816790349,0.0
01/01 19:00:00,2535.5925556156753,0.0
01/01 20:00:00,2521.0535726767484,0.0
01/01 21:00:00,2464.466645387477,0.0
01/01 22:00:00,2453.3000482179177,0.0
01/01 23:00:00,2419.228831131909,0.0
01/02 00:00:00,2417.414765537538,0.0
01/02 01:00:00,2476.591852993562,0.0
01/02 02:00:00,2481.91316872114,0.0
01/02 03:00:00,2445.2229548255846,0.0
01/02 04:00:00,2435.894129922977,0.0
01/02 05:00:00,2614.543162113115,0.0
01/02 06:00:00,2510.115096660367,0.0
01/02 07:00:00,2337.4943418893836,13.1
01/02 08:00:00,2456.4134812939615,132.96
01/02 09:00:00,2514.315504013082,241.11
01/02 10:00:00,2536.106627371928,329.01
01/02 11:00:00,2611.5554360876595,330.21
01/02 12:00:00,2537.0355035613866,313.06
01/02 13:00:00,2526.6406494845564,261.96
01/02 14:00:00,2429.4227005707844,146.36
01/02 15:00:00,2438.1089624419,16.55
01/02 16:00:00,2540.779699577008,0.0
01/02 17:00:00,2646.0951121775747,0.0
01/02 18:00:00,2566.5159999065236,0.0
01/02 19:00:00,2492.6470891319277,0.0
01/02 20:00:00,2571.616483687809,0.0
01/02 21:00:00,2460.437391188495,0.0
01/02 22:00:00,2483.2635714763674,0.0
01/02 23:00:00,2466.366998988863,0.0
01/03 00:00:00,2427.560058581013,0.0
01/03 01:00:00,2528.1417441165822,0.0
01/03 02:00:00,2505.579317821379,0.0
01/03 03:00:00,2523.9692519925225,0.0
01/03 04:00:00,2448.234653823548,0.0
01/03 05:00:00,2440.8929372834045,0.0
01/03 06:00:00,2505.0931981658455,0.0
01/03 07:00:00,2509.3054229829972,14.05
01/03 08:00:00,2371.7308334552536,136.41
01/03 09:00:00,2484.8480588381926,261.81
01/03 10:00:00,2444.7579834857183,344.51
01/03 11:00:00,2502.8265035204277,374.16
01/03 12:00:00,2446.9180719241735,349.21
01/03 13:00:00,2527.3485855705235,274.31
01/03 14:00:00,2487.911378101594,161.01
01/03 15:00:00,2564.1323113414896,17.7
01/03 16:00:00,2425.9575502270827,0.0
01/03 17:00:00,2562.037158889499,0.0
01/03 18:00:00,2435.7461611940626,0.0
01/03 19:00:00,2487.2606745528656,0.0
01/03 20:00:00,2459.4431831827073,0.0
01/03 21:00:00,2455.2202119134995,0.0
01/03 22:00:00,2480.383945137899,0.0
01/03 23:00:00,2363.912831361973,0.0
01/04 00:00:00,2584.3649963215394,0.0
01/04 01:00:00,2435.531086951878,0.0
01/04 02:00:00,2482.169582605674,0.0
01/04 03:00:00,2555.370758801308,0.0
01/04 04:00:00,2477.4692474974267,0.0
01/04 05:00:00,2563.843478540255,0.0
01/04 06:00:00,2513.827301541709,0.0
01/04 07:00:00,2471.01422141262,13.7
01/04 08:00:00,2445.367926468375,145.36
01/04 09:00:00,2526.6307079476005,261.46
01/04 10:00:00,2447.807237854526,340.86
01/04 11:00:00,2463.3424434306808,370.91
01/04 12:00:00,2349.085272678174,347.86
01/04 13:00:00,2590.3201542466372,274.31
01/04 14:00:00,2433.302292919819,161.76
01/04 15:00:00,2455.127120859993,36.24
01/04 16:00:00,2460.7457978363964,0.0
01/04 17:00:00,2425.018126477377,0.0
01/04 18:00:00,2602.6585137666734,0.0
01/04 19:00:00,2405.743223717645,0.0
01/04 20:00:00,2444.516320952615,0.0
01/04 21:00:00,2578.4446196543827,0.0
01/04 22:00:00,2563.064451706997,0.0
01/04 23:00:00,2427.2970566109507,0.0
01/05 00:00:00,2483.447459022832,0.0
01/05 01:00:00,2448.291872570595,0.0
01/05 02:00:00,2551.2963980157556,0.0
01/05 03:00:00,2571.9328955378496,0.0
01/05 04:00:00,2370.8808811052604,0.0
01/05 05:00:00,2502.12778337379,0.0
01/05 06:00:00,2541.2735683738056,0.0
01/05 07:00:00,2482.231159529928,15.65
01/05 08:00:00,2433.498762411397,124.26
01/05 09:00:00,2368.7814658060306,226.11
01/05 10:00:00,2593.662583715559,294.91
01/05 11:00:00,2511.541043958323,329.96
01/05 12:00:00,2635.357663254222,317.06
01/05 13:00:00,2444.5962629699384,245.91
01/05 14:00:00,2465.1949986771056,123.76
01/05 15:00:00,2633.1999966236385,31.71
01/05 16:00:00,2492.80055419412,0.0
01/05 17:00:00,2452.12071838968,0.0
01/05 18:00:00,2524.9204989038735,0.0
01/05 19:00:00,2425.379327057735,0.0
01/05 20:00:00,2524.6460480469586,0.0
01/05 21:00:00,2504.2691507314053,0.0
01/05 22:00:00,2442.4134441011256,0.0
01/05 23:00:00,2448.1228384373458,0.0
01/06 00:00:00,2408.5378009375163,0.0
01/06 01:00:00,2461.6531126617297,0.0
01/06 02:00:00,2550.65223048368,0.0
01/06 03:00:00,2509.6932150790894,0.0
01/06 04:00:00,2368.8252419126075,0.0
01/06 05:00:00,2446.2747468339116,0.0
01/06 06:00:00,2555.8257713216285,0.0
01/06 07:00:00,2370.3052456198566,12.75
01/06 08:00:00,2465.482718668294,115.76
01/06 09:00:00,2450.164900347196,222.91
01/06 10:00:00,2500.847576642044,299.91
01/06 11:00:00,2652.071137315529,358.71
01/06 12:00:00,2434.8040075892795,346.41
01/06 13:00:00,2374.454348526451,276.61
01/06 14:00:00,2576.200899940465,164.61
01/06 15:00:00,2393.217435899182,38.76
01/06 16:00:00,2389.4325797587444,0.0
01/06 17:00:00,2541.360674323944,0.0
01/06 18:00:00,2418.1686340079077,0.0
01/06 19:00:00,2425.6384074829684,0.0
01/06 20:00:00,2539.8863947673963,0.0
01/06 21:00:00,2534.3779708515913,0.0
01/06 22:00:00,2531.018931875353,0.0
01/06 23:00:00,2448.062992911991,0.0
01/07 00:00:00,2501.128055024321,0.0
01/07 01:00:00,2474.9663570347925,0.0
01/07 02:00:00,2495.2386906124298,0.0
01/07 03:00:00,2469.8874390212686,0.0
01/07 04:00:00,2532.847175054902,0.0
01/07 05:00:00,2493.6020996871653,0.0
