Name,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,0.3047650292878594
C_subs_hv,,,,,,,,,5.8594241141536525
C_subs_mv,,,,,,,,,0.9401435244242693
C_inv,,,,,,,,,0.0
C_PV,,,,,,,,,0.0
C_storage_capacity,,,,,,,,,0.0
C_storage_power,,,,,,,,,0.0
subs_hv_inst_cost,,,,,,,,,0.0
subs_mv_inst_cost,,,,,,,,,0.0
PV_inst_cost,,,,,,,,,0.0
storage_inst_cost,,,,,,,,,0.0
C_electricity,1.0,,,,,,,,0.008280937300954038
C_electricity,2.0,,,,,,,,0.008280937300954038
C_electricity,3.0,,,,,,,,0.008280937300954038
C_electricity,4.0,,,,,,,,0.008280937300954038
C_electricity,5.0,,,,,,,,0.008280937300954038
C_electricity,6.0,,,,,,,,0.008280937300954038
C_electricity,7.0,,,,,,,,0.007858019968078781
C_electricity,8.0,,,,,,,,0.00433452731019948
C_electricity,9.0,,,,,,,,0.0012355350862919769
C_electricity,10.0,,,,,,,,0.0
C_electricity,11.0,,,,,,,,0.0
C_electricity,12.0,,,,,,,,0.0
C_electricity,13.0,,,,,,,,0.0
C_electricity,14.0,,,,,,,,0.0003850792334685167
C_electricity,15.0,,,,,,,,0.0014253536655732307
C_electricity,16.0,,,,,,,,0.004944304218356666
C_electricity,17.0,,,,,,,,0.008280937300954038
C_electricity,18.0,,,,,,,,0.008280937300954038
C_electricity,19.0,,,,,,,,0.008280937300954038
C_electricity,20.0,,,,,,,,0.008280937300954038
C_electricity,21.0,,,,,,,,0.008280937300954038
C_electricity,22.0,,,,,,,,0.008280937300954038
C_electricity,23.0,,,,,,,,0.008280937300954038
C_electricity,24.0,,,,,,,,0.008280937300954038
C_losses,1.0,,,,,,,,3.2345928373070898e-06
C_losses,2.0,,,,,,,,2.957819587528988e-06
C_losses,3.0,,,,,,,,4.064931407564286e-06
C_losses,4.0,,,,,,,,4.208928954051801e-06
C_losses,5.0,,,,,,,,4.537711891911672e-06
C_losses,6.0,,,,,,,,4.528808472737819e-06
C_losses,7.0,,,,,,,,1.9514763203546446e-06
C_losses,8.0,,,,,,,,2.0587874540933643e-06
C_losses,9.0,,,,,,,,8.744290785807313e-06
C_losses,10.0,,,,,,,,8.38035821481559e-06
C_losses,11.0,,,,,,,,1.099380559064556e-05
C_losses,12.0,,,,,,,,1.3804265514973094e-05
C_losses,13.0,,,,,,,,1.2323151555644425e-05
C_losses,14.0,,,,,,,,1.0664962037354e-05
C_losses,15.0,,,,,,,,9.7532610905317e-06
C_losses,16.0,,,,,,,,9.780225976683227e-07
C_losses,17.0,,,,,,,,2.800739207575317e-06
C_losses,18.0,,,,,,,,5.173761554341768e-06
C_losses,19.0,,,,,,,,3.419443428127113e-06
C_losses,20.0,,,,,,,,4.096183762062303e-06
C_losses,21.0,,,,,,,,3.8886564107606955e-06
C_losses,22.0,,,,,,,,3.2533640958395053e-06
