date,total load,irradiation
01/01 00:00:00,8244.280722201116,0.0
01/01 01:00:00,7336.53185671909,0.0
01/01 02:00:00,7794.588093333394,0.0
01/01 03:00:00,7929.950709605975,0.0
01/01 04:00:00,8003.709893358444,0.0
01/01 05:00:00,7812.822754008882,0.0
01/01 06:00:00,7993.461331134748,0.0
01/01 07:00:00,7948.2122749365035,13.3
01/01 08:00:00,8247.22866948787,141.11
01/01 09:00:00,8286.907949185277,249.66
01/01 10:00:00,7890.980733613344,336.86
01/01 11:00:00,8209.62956409478,359.26
01/01 12:00:00,8035.182951123041,337.61
01/01 13:00:00,8037.056211814091,266.96
01/01 14:00:00,7913.085905339718,153.46
01/01 15:00:00,8176.110169467173,16.2
01/01 16:00:00,7733.3523373986745,0.0
01/01 17:00:00,7933.003655552141,0.0
01/01 18:00:00,7875.928900974219,0.0
01/01 19:00:00,8049.228680114033,0.0
01/01 20:00:00,8033.8484086042545,0.0
01/01 21:00:00,7863.95148419681,0.0
01/01 22:00:00,7790.8645502582895,0.0
01/01 23:00:00,7693.614054588141,0.0
01/02 00:00:00,7751.66941827166,0.0
01/02 01:00:00,7931.922251993172,0.0
01/02 02:00:00,7834.316161724262,0.0
01/02 03:00:00,7767.487130105328,0.0
01/02 04:00:00,7755.834218716892,0.0
01/02 05:00:00,8214.464580779872,0.0
01/02 06:00:00,7990.0953845714375,0.0
01/02 07:00:00,7482.16466173464,13.1
01/02 08:00:00,7904.463966543445,132.96
01/02 09:00:00,7990.262615954115,241.11
01/02 10:00:00,7974.6222942787745,329.01
01/02 11:00:00,8335.017037659141,330.21
01/02 12:00:00,8073.768948778927,313.06
01/02 13:00:00,8029.479563982084,261.96
01/02 14:00:00,7758.389145307257,146.36
01/02 15:00:00,7768.810227835619,16.55
01/02 16:00:00,8075.855577324571,0.0
01/02 17:00:00,8338.85681270742,0.0
01/02 18:00:00,8166.533983785777,0.0
01/02 19:00:00,7896.8596225455985,0.0
01/02 20:00:00,8120.161084905417,0.0
01/02 21:00:00,7823.3904452977795,0.0
