Name,buses,periods,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,lv_load,NPWB,Value
C_cond,,,,,,,,,,1.716656857868287
C_subs_hv,,,,,,,,,,0.20646776171249925
C_subs_mv,,,,,,,,,,0.0
C_inv,,,,,,,,,,0.19840709248562605
C_PV,,,,,,,,,,0.0
C_EV,,,,,,,,,,0.0
C_gas,8.0,,,,,,,,,0.0
C_gas,9.0,,,,,,,,,0.0
C_gas,10.0,,,,,,,,,0.0
C_gas,11.0,,,,,,,,,0.0
C_gas,16.0,,,,,,,,,0.0
C_gas,17.0,,,,,,,,,0.0
C_gas,18.0,,,,,,,,,0.0
C_gas,19.0,,,,,,,,,0.0
C_gas,20.0,,,,,,,,,0.0
C_gas,21.0,,,,,,,,,
C_gas,22.0,,,,,,,,,
C_gas,23.0,,,,,,,,,
C_gas,24.0,,,,,,,,,
C_gas,25.0,,,,,,,,,
C_gas,26.0,,,,,,,,,
C_storage_capacity,,,,,,,,,,29.581018659476463
C_storage_power,,,,,,,,,,3.067962742892284
subs_hv_inst_cost,,,,,,,,,,0.0
subs_mv_inst_cost,,,,,,,,,,0.0
PV_inst_cost,,,,,,,,,,0.0
storage_inst_cost,,,,,,,,,,3.0
C_electricity,,1.0,,,,,,,,0.01253490817607391
C_electricity,,2.0,,,,,,,,0.012564281402734558
C_electricity,,3.0,,,,,,,,0.012313285497336113
C_electricity,,4.0,,,,,,,,0.01210538635769445
C_electricity,,5.0,,,,,,,,0.012508323844456867
C_electricity,,6.0,,,,,,,,0.012066768184466503
C_electricity,,7.0,,,,,,,,0.010995944735535489
C_electricity,,8.0,,,,,,,,0.006782026636885937
C_electricity,,9.0,,,,,,,,0.0019551712938445298
C_electricity,,10.0,,,,,,,,0.0
C_electricity,,11.0,,,,,,,,0.0
C_electricity,,12.0,,,,,,,,0.0
C_electricity,,13.0,,,,,,,,0.0
C_electricity,,14.0,,,,,,,,0.00026698029763305145
C_electricity,,15.0,,,,,,,,0.00398501187792593
C_electricity,,16.0,,,,,,,,0.008390212735336423
C_electricity,,17.0,,,,,,,,0.012624312985445342
C_electricity,,18.0,,,,,,,,0.012425256827274073
C_electricity,,19.0,,,,,,,,0.012781344552946954
C_electricity,,20.0,,,,,,,,0.012701198235324711
C_electricity,,21.0,,,,,,,,0.012662426557048252
C_electricity,,22.0,,,,,,,,0.012587015195772752
C_electricity,,23.0,,,,,,,,0.012458205244012206
C_electricity,,24.0,,,,,,,,0.012237569126964012
C_losses,,1.0,,,,,,,,2.6497983264662854e-05
C_losses,,2.0,,,,,,,,2.4719166941362557e-05
C_losses,,3.0,,,,,,,,2.375995383955217e-05
C_losses,,4.0,,,,,,,,2.2780073748702504e-05
C_losses,,5.0,,,,,,,,2.4697235934522052e-05
C_losses,,6.0,,,,,,,,2.6062798338468303e-05
C_losses,,7.0,,,,,,,,1.5906782809621652e-05
C_losses,,8.0,,,,,,,,1.091760177804239e-05
C_losses,,9.0,,,,,,,,3.1577321848880296e-05
C_losses,,10.0,,,,,,,,2.2478765565023848e-05
C_losses,,11.0,,,,,,,,2.321034973001215e-05
C_losses,,12.0,,,,,,,,2.8016426466211653e-05
C_losses,,13.0,,,,,,,,2.9038261165010556e-05
C_losses,,14.0,,,,,,,,3.819400352392924e-05
C_losses,,15.0,,,,,,,,1.9806601010539418e-05
C_losses,,16.0,,,,,,,,8.670924893334832e-06
C_losses,,17.0,,,,,,,,2.2445877040011114e-05
C_losses,,18.0,,,,,,,,2.1984066945871262e-05
C_losses,,19.0,,,,,,,,2.4295092650569742e-05
C_losses,,20.0,,,,,,,,2.371646452394169e-05
C_losses,,21.0,,,,,,,,2.6338237538295854e-05
C_losses,,22.0,,,,,,,,2.541612994104008e-05
C_losses,,23.0,,,,,,,,2.5790931022145075e-05
C_losses,,24.0,,,,,,,,2.4689858663431472e-05
unserved_fictitious_power_cost,,,,,,,,,,0.0
line_opt,,,0.0,Poppy,,,,,,0.9999999800008227
line_opt,,,0.0,Oxlip,,,,,,0.0
line_opt,,,0.0,Daisy,,,,,,1.9999177358491296e-08
line_opt,,,0.0,Tulip,,,,,,0.0
line_opt,,,34.0,Poppy,,,,,,1.0
line_opt,,,34.0,Oxlip,,,,,,0.0
line_opt,,,34.0,Daisy,,,,,,0.0
line_opt,,,34.0,Tulip,,,,,,0.0
line_opt,,,36.0,Poppy,,,,,,1.0
line_opt,,,36.0,Oxlip,,,,,,0.0
line_opt,,,36.0,Daisy,,,,,,0.0
line_opt,,,36.0,Tulip,,,,,,0.0
line_opt,,,37.0,Poppy,,,,,,1.0
line_opt,,,37.0,Oxlip,,,,,,0.0
line_opt,,,37.0,Daisy,,,,,,0.0
line_opt,,,37.0,Tulip,,,,,,0.0
line_opt,,,38.0,Poppy,,,,,,0.9999999800008227
line_opt,,,38.0,Oxlip,,,,,,0.0
line_opt,,,38.0,Daisy,,,,,,1.9999177357546457e-08
line_opt,,,38.0,Tulip,,,,,,0.0
line_opt,,,7.0,Poppy,,,,,,1.0
line_opt,,,7.0,Oxlip,,,,,,0.0
line_opt,,,7.0,Daisy,,,,,,0.0
line_opt,,,7.0,Tulip,,,,,,0.0
line_opt,,,8.0,Poppy,,,,,,1.0
line_opt,,,8.0,Oxlip,,,,,,0.0
line_opt,,,8.0,Daisy,,,,,,0.0
line_opt,,,8.0,Tulip,,,,,,0.0
line_opt,,,40.0,Poppy,,,,,,0.999999943393332
line_opt,,,40.0,Oxlip,,,,,,3.660749073378698e-08
line_opt,,,40.0,Daisy,,,,,,1.9999177357760505e-08
line_opt,,,40.0,Tulip,,,,,,0.0
line_opt,,,43.0,Poppy,,,,,,0.9999999633925093
line_opt,,,43.0,Oxlip,,,,,,3.660749073378698e-08
line_opt,,,43.0,Daisy,,,,,,0.0
line_opt,,,43.0,Tulip,,,,,,0.0
line_opt,,,44.0,Poppy,,,,,,1.0
line_opt,,,44.0,Oxlip,,,,,,0.0
line_opt,,,44.0,Daisy,,,,,,0.0
line_opt,,,44.0,Tulip,,,,,,0.0
line_opt,,,46.0,Poppy,,,,,,1.0
line_opt,,,46.0,Oxlip,,,,,,0.0
line_opt,,,46.0,Daisy,,,,,,0.0
line_opt,,,46.0,Tulip,,,,,,0.0
line_opt,,,47.0,Poppy,,,,,,1.0
line_opt,,,47.0,Oxlip,,,,,,0.0
line_opt,,,47.0,Daisy,,,,,,0.0
line_opt,,,47.0,Tulip,,,,,,0.0
line_opt,,,17.0,Poppy,,,,,,0.9999999800008227
line_opt,,,17.0,Oxlip,,,,,,0.0
line_opt,,,17.0,Daisy,,,,,,1.9999177357546457e-08
line_opt,,,17.0,Tulip,,,,,,0.0
line_opt,,,18.0,Poppy,,,,,,0.999999943393332
line_opt,,,18.0,Oxlip,,,,,,3.660749073390258e-08
line_opt,,,18.0,Daisy,,,,,,1.999917735784676e-08
line_opt,,,18.0,Tulip,,,,,,0.0
line_opt,,,20.0,Poppy,,,,,,0.0
line_opt,,,20.0,Oxlip,,,,,,1.0
