date,total load,irradiation
01/01 00:00:00,543.0264734902053,0.0
01/01 01:00:00,496.68916148041023,0.0
01/01 02:00:00,521.8226316626,0.0
01/01 03:00:00,544.6708048913858,0.0
01/01 04:00:00,522.8587354137185,0.0
01/01 05:00:00,510.1086740170029,0.0
01/01 06:00:00,530.2144205796383,0.0
01/01 07:00:00,550.8482992058086,13.3
01/01 08:00:00,561.7821669649039,141.11
01/01 09:00:00,545.7959916408992,249.66
01/01 10:00:00,535.1262931412789,336.86
01/01 11:00:00,541.4269611413912,359.26
01/01 12:00:00,540.530751856837,337.61
01/01 13:00:00,542.0699150214782,266.96
01/01 14:00:00,537.3584064888782,153.46
01/01 15:00:00,555.9161718025437,16.2
01/01 16:00:00,531.1511525199064,0.0
01/01 17:00:00,541.7891338674759,0.0
01/01 18:00:00,535.0316822198176,0.0
01/01 19:00:00,549.7856082024545,0.0
01/01 20:00:00,545.0871318404946,0.0
01/01 21:00:00,520.8773886737665,0.0
01/01 22:00:00,539.726541460402,0.0
01/01 23:00:00,518.9992946466003,0.0
01/02 00:00:00,515.1901476810694,0.0
01/02 01:00:00,527.4809507131355,0.0
01/02 02:00:00,530.0731726222689,0.0
01/02 03:00:00,515.5949912759479,0.0
01/02 04:00:00,528.9949657729686,0.0
01/02 05:00:00,555.1300924424121,0.0
01/02 06:00:00,533.9229744036827,0.0
01/02 07:00:00,517.0150161042484,13.1
01/02 08:00:00,516.0324411387141,132.96
01/02 09:00:00,542.8310332289955,241.11
01/02 10:00:00,545.6158689179191,329.01
01/02 11:00:00,553.4969832369864,330.21
01/02 12:00:00,546.7386951905921,313.06
01/02 13:00:00,536.8334736687075,261.96
01/02 14:00:00,537.0987911729474,146.36
01/02 15:00:00,518.6439670198597,16.55
01/02 16:00:00,534.0793901013794,0.0
01/02 17:00:00,553.5129029426811,0.0
01/02 18:00:00,540.2938418604156,0.0
01/02 19:00:00,534.1401276879718,0.0
01/02 20:00:00,546.6433515970607,0.0
01/02 21:00:00,521.4175168242804,0.0
01/02 22:00:00,549.3553906585753,0.0
01/02 23:00:00,535.7354709007197,0.0
01/03 00:00:00,519.5934057042516,0.0
01/03 01:00:00,532.174197960645,0.0
01/03 02:00:00,529.742518670499,0.0
01/03 03:00:00,546.2868853993969,0.0
01/03 04:00:00,528.8100042604558,0.0
01/03 05:00:00,523.421469431018,0.0
01/03 06:00:00,536.6027637712607,0.0
01/03 07:00:00,522.3158616275205,14.05
01/03 08:00:00,505.8536042375623,136.41
01/03 09:00:00,535.6609935534894,261.81
01/03 10:00:00,532.1332891569007,344.51
01/03 11:00:00,522.7845977702934,374.16
01/03 12:00:00,542.7509150015678,349.21
01/03 13:00:00,546.4949018230961,274.31
01/03 14:00:00,528.9182517033266,161.01
01/03 15:00:00,557.0273645235301,17.7
01/03 16:00:00,525.0127896785314,0.0
01/03 17:00:00,547.443228775232,0.0
01/03 18:00:00,518.3671246460156,0.0
01/03 19:00:00,544.9652188965076,0.0
01/03 20:00:00,520.3809050157257,0.0
01/03 21:00:00,535.1009528684137,0.0
01/03 22:00:00,536.4658010280255,0.0
01/03 23:00:00,517.5808396317927,0.0
01/04 00:00:00,554.3606402648551,0.0
01/04 01:00:00,520.5300302065018,0.0
01/04 02:00:00,530.1836024120463,0.0
01/04 03:00:00,544.0771573237761,0.0
01/04 04:00:00,528.9179324574594,0.0
01/04 05:00:00,551.3177469827731,0.0
01/04 06:00:00,528.8887391714105,0.0
