Name,lv_load,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
C_cond,,,,,,,,,,0.0
C_subs_hv,,,,,,,,,,4.913694975126745
C_subs_mv,,,,,,,,,,2.0598933567578728
C_inv,,,,,,,,,,0.0
C_PV,,,,,,,,,,0.0
C_EV,,,,,,,,,,0.0
C_gas,8.0,,,,,,,,,0.0024552000000000003
C_gas,9.0,,,,,,,,,0.0047366000000000005
C_gas,10.0,,,,,,,,,0.0045914
C_gas,11.0,,,,,,,,,0.0045671999999999996
C_gas,16.0,,,,,,,,,0.0034408000000000004
C_gas,17.0,,,,,,,,,0.0066088
C_gas,18.0,,,,,,,,,0.0076582
C_gas,19.0,,,,,,,,,0.0057376
C_gas,20.0,,,,,,,,,0.0062348
C_storage_capacity,,,,,,,,,,0.0
C_storage_power,,,,,,,,,,0.0
subs_hv_inst_cost,,,,,,,,,,0.0
subs_mv_inst_cost,,,,,,,,,,0.0
PV_inst_cost,,,,,,,,,,0.0
storage_inst_cost,,,,,,,,,,0.0
C_electricity,,1.0,,,,,,,,0.013704433610503757
C_electricity,,2.0,,,,,,,,0.014027120890809135
C_electricity,,3.0,,,,,,,,0.014055435237538515
C_electricity,,4.0,,,,,,,,0.013502861610534756
C_electricity,,5.0,,,,,,,,0.013817366959002072
C_electricity,,6.0,,,,,,,,0.014055435237538515
C_electricity,,7.0,,,,,,,,0.013185865734017786
C_electricity,,8.0,,,,,,,,0.011275163864962896
C_electricity,,9.0,,,,,,,,0.009102983092223075
C_electricity,,10.0,,,,,,,,0.004110942257226794
C_electricity,,11.0,,,,,,,,0.0023679975593377416
C_electricity,,12.0,,,,,,,,0.0009039791075871128
C_electricity,,13.0,,,,,,,,0.0012744217693070473
C_electricity,,14.0,,,,,,,,0.0013419650250568152
C_electricity,,15.0,,,,,,,,0.004061824481539373
C_electricity,,16.0,,,,,,,,0.007660534095686386
C_electricity,,17.0,,,,,,,,0.011950440440297003
C_electricity,,18.0,,,,,,,,0.01397938785525831
C_electricity,,19.0,,,,,,,,0.013961032619815135
C_electricity,,20.0,,,,,,,,0.013866139362203163
C_electricity,,21.0,,,,,,,,0.01321658982148435
C_electricity,,22.0,,,,,,,,0.01378715432874374
C_electricity,,23.0,,,,,,,,0.013942438997579598
C_electricity,,24.0,,,,,,,,0.013835602426912513
C_losses,,1.0,,,,,,,,1.9394208457067628e-05
C_losses,,2.0,,,,,,,,1.767752197066841e-05
C_losses,,3.0,,,,,,,,1.564861338756806e-05
C_losses,,4.0,,,,,,,,2.0153273801141056e-05
C_losses,,5.0,,,,,,,,1.7109333428355603e-05
C_losses,,6.0,,,,,,,,1.5987096504380375e-05
C_losses,,7.0,,,,,,,,1.5303023270313257e-05
C_losses,,8.0,,,,,,,,8.704041348134863e-06
C_losses,,9.0,,,,,,,,1.6324269296133543e-06
C_losses,,10.0,,,,,,,,5.8587243836019825e-06
C_losses,,11.0,,,,,,,,1.3073943315786591e-05
C_losses,,12.0,,,,,,,,9.996749069674148e-06
C_losses,,13.0,,,,,,,,1.0122881818881926e-05
C_losses,,14.0,,,,,,,,1.1789299395621783e-05
C_losses,,15.0,,,,,,,,8.254825424171221e-06
C_losses,,16.0,,,,,,,,1.276848077893704e-06
C_losses,,17.0,,,,,,,,7.563899294897072e-06
C_losses,,18.0,,,,,,,,1.975705242398115e-05
C_losses,,19.0,,,,,,,,1.5874289095503617e-05
C_losses,,20.0,,,,,,,,1.8610773090008236e-05
C_losses,,21.0,,,,,,,,1.763128566462782e-05
C_losses,,22.0,,,,,,,,1.8608228909441826e-05
C_losses,,23.0,,,,,,,,1.897580961760355e-05
C_losses,,24.0,,,,,,,,1.6345258165355376e-05
unserved_fictitious_power_cost,,,,,,,,,,0.0
line_opt,,,0.0,Poppy,,,,,,1.0
line_opt,,,0.0,Oxlip,,,,,,0.0
line_opt,,,0.0,Daisy,,,,,,0.0
line_opt,,,0.0,Tulip,,,,,,0.0
line_opt,,,34.0,Poppy,,,,,,1.0
line_opt,,,34.0,Oxlip,,,,,,0.0
line_opt,,,34.0,Daisy,,,,,,0.0
line_opt,,,34.0,Tulip,,,,,,0.0
line_opt,,,36.0,Poppy,,,,,,1.0
line_opt,,,36.0,Oxlip,,,,,,0.0
line_opt,,,36.0,Daisy,,,,,,0.0
line_opt,,,36.0,Tulip,,,,,,0.0
line_opt,,,37.0,Poppy,,,,,,1.0
line_opt,,,37.0,Oxlip,,,,,,0.0
line_opt,,,37.0,Daisy,,,,,,0.0
line_opt,,,37.0,Tulip,,,,,,0.0
line_opt,,,38.0,Poppy,,,,,,1.0
line_opt,,,38.0,Oxlip,,,,,,0.0
line_opt,,,38.0,Daisy,,,,,,0.0
line_opt,,,38.0,Tulip,,,,,,0.0
line_opt,,,7.0,Poppy,,,,,,1.0
line_opt,,,7.0,Oxlip,,,,,,0.0
line_opt,,,7.0,Daisy,,,,,,0.0
line_opt,,,7.0,Tulip,,,,,,0.0
line_opt,,,8.0,Poppy,,,,,,1.0
line_opt,,,8.0,Oxlip,,,,,,0.0
line_opt,,,8.0,Daisy,,,,,,0.0
line_opt,,,8.0,Tulip,,,,,,0.0
line_opt,,,40.0,Poppy,,,,,,1.0
line_opt,,,40.0,Oxlip,,,,,,0.0
line_opt,,,40.0,Daisy,,,,,,0.0
line_opt,,,40.0,Tulip,,,,,,0.0
line_opt,,,43.0,Poppy,,,,,,1.0
line_opt,,,43.0,Oxlip,,,,,,0.0
line_opt,,,43.0,Daisy,,,,,,0.0
line_opt,,,43.0,Tulip,,,,,,0.0
line_opt,,,44.0,Poppy,,,,,,1.0
line_opt,,,44.0,Oxlip,,,,,,0.0
line_opt,,,44.0,Daisy,,,,,,0.0
line_opt,,,44.0,Tulip,,,,,,0.0
line_opt,,,46.0,Poppy,,,,,,1.0
line_opt,,,46.0,Oxlip,,,,,,0.0
line_opt,,,46.0,Daisy,,,,,,0.0
line_opt,,,46.0,Tulip,,,,,,0.0
line_opt,,,47.0,Poppy,,,,,,1.0
line_opt,,,47.0,Oxlip,,,,,,0.0
line_opt,,,47.0,Daisy,,,,,,0.0
line_opt,,,47.0,Tulip,,,,,,0.0
line_opt,,,17.0,Poppy,,,,,,1.0
line_opt,,,17.0,Oxlip,,,,,,0.0
line_opt,,,17.0,Daisy,,,,,,0.0
