date,total load,irradiation
01/01 00:00:00,612.569443543026,0.0
01/01 01:00:00,636.4432520728133,0.0
01/01 02:00:00,635.6814172048058,0.0
01/01 03:00:00,640.3307081153716,0.0
01/01 04:00:00,647.1459375783726,0.0
01/01 05:00:00,680.829146282495,0.0
01/01 06:00:00,774.573416317881,22.0
01/01 07:00:00,795.6847921249307,193.29
01/01 08:00:00,808.4956610390715,279.24
01/01 09:00:00,829.0681482624419,500.8
01/01 10:00:00,839.8530200870138,674.51
01/01 11:00:00,863.854446287302,724.02
01/01 12:00:00,856.938689960659,681.8
01/01 13:00:00,853.3514620644405,581.44
01/01 14:00:00,832.4928397189899,431.58
01/01 15:00:00,852.4795331387711,214.9
01/01 16:00:00,880.4688247316152,77.67
01/01 17:00:00,891.1294070598517,0.0
01/01 18:00:00,813.2917692937764,0.0
01/01 19:00:00,799.6149950770704,0.0
01/01 20:00:00,788.3503558443101,0.0
01/01 21:00:00,767.8233549491828,0.0
01/01 22:00:00,714.150420241213,0.0
01/01 23:00:00,682.3128511799985,0.0
01/02 00:00:00,740.1061754899596,0.0
01/02 01:00:00,730.0770663782022,0.0
01/02 02:00:00,744.8733195418138,0.0
01/02 03:00:00,733.5220530294246,0.0
01/02 04:00:00,743.9004117431001,0.0
01/02 05:00:00,786.5661060218247,0.0
01/02 06:00:00,919.7827993530367,71.0
01/02 07:00:00,1067.9849154140707,251.89
01/02 08:00:00,2077.372340591857,414.86
01/02 09:00:00,2047.5118091481115,641.42
01/02 10:00:00,2056.5820373210227,875.24
01/02 11:00:00,2079.2507153453444,993.82
01/02 12:00:00,1986.459653094264,1061.36
01/02 13:00:00,2074.5157268217295,1061.12
01/02 14:00:00,2029.7749387232545,994.67
01/02 15:00:00,2068.6517026425536,886.71
01/02 16:00:00,2070.3942585163268,722.72
01/02 17:00:00,1432.4330278816637,507.29
01/02 18:00:00,1137.1406271004016,315.22
01/02 19:00:00,1136.8917779289525,139.51
01/02 20:00:00,1082.0339950399734,0.0
01/02 21:00:00,1056.8365342278482,0.0
01/02 22:00:00,941.3232297132311,0.0
01/02 23:00:00,853.6176799444039,0.0
01/03 00:00:00,737.3163154597702,0.0
01/03 01:00:00,724.3795067612486,0.0
01/03 02:00:00,738.9975741407183,0.0
01/03 03:00:00,722.9345183858186,0.0
01/03 04:00:00,739.0261616489016,0.0
01/03 05:00:00,784.6517191909081,0.0
01/03 06:00:00,922.6961197156432,38.0
01/03 07:00:00,1062.2242434505033,205.82
01/03 08:00:00,2052.1745472687094,422.59
01/03 09:00:00,2044.6182175051258,640.42
01/03 10:00:00,2045.546981541401,862.26
01/03 11:00:00,2063.0932544321267,996.04
01/03 12:00:00,1968.1468101093371,1060.89
